timestamp_ns,value_g_rms
1720429200000000000,0.000
1720429200010000000,0.082
1720429200020000000,0.000
1720429200030000000,0.000
1720429200040000000,0.026
1720429200050000000,0.000
1720429200060000000,0.001
1720429200070000000,0.000
1720429200080000000,0.000
1720429200090000000,0.106
1720429200100000000,0.000
1720429200110000000,0.002
1720429200120000000,0.000
1720429200130000000,0.185
1720429200140000000,0.000
1720429200150000000,0.000
1720429200160000000,0.008
1720429200170000000,0.000
1720429200180000000,0.000
1720429200190000000,0.000
1720429200200000000,0.062
1720429200210000000,0.000
1720429200220000000,0.000
1720429200230000000,0.000
1720429200240000000,0.032
1720429200250000000,0.136
1720429200260000000,0.000
1720429200270000000,0.000
1720429200280000000,0.111
1720429200290000000,0.000
1720429200300000000,0.000
1720429200310000000,0.070
1720429200320000000,0.107
1720429200330000000,0.019
1720429200340000000,0.097
1720429200350000000,0.000
1720429200360000000,0.032
1720429200370000000,0.002
1720429200380000000,0.000
1720429200390000000,0.000
1720429200400000000,0.090
1720429200410000000,0.007
1720429200420000000,0.000
1720429200430000000,0.000
1720429200440000000,0.000
1720429200450000000,0.000
1720429200460000000,0.010
1720429200470000000,0.221
1720429200480000000,0.000
1720429200490000000,0.121
1720429200500000000,0.000
1720429200510000000,0.031
1720429200520000000,0.000
1720429200530000000,0.000
1720429200540000000,0.000
1720429200550000000,0.000
1720429200560000000,0.055
1720429200570000000,0.014
1720429200580000000,0.053
1720429200590000000,0.014
1720429200600000000,0.237
1720429200610000000,0.064
1720429200620000000,0.159
1720429200630000000,0.016
1720429200640000000,0.104
1720429200650000000,0.000
1720429200660000000,0.000
1720429200670000000,0.102
1720429200680000000,0.000
1720429200690000000,0.000
1720429200700000000,0.078
1720429200710000000,0.000
1720429200720000000,0.254
1720429200730000000,0.000
1720429200740000000,0.008
1720429200750000000,0.000
1720429200760000000,0.114
1720429200770000000,0.000
1720429200780000000,0.000
1720429200790000000,0.000
1720429200800000000,0.052
1720429200810000000,0.050
1720429200820000000,0.097
1720429200830000000,0.000
1720429200840000000,0.072
1720429200850000000,0.000
1720429200860000000,0.171
1720429200870000000,0.015
1720429200880000000,0.000
1720429200890000000,0.000
1720429200900000000,0.075
1720429200910000000,0.034
1720429200920000000,0.168
1720429200930000000,0.219
1720429200940000000,0.017
1720429200950000000,0.035
1720429200960000000,0.098
1720429200970000000,0.083
1720429200980000000,0.125
1720429200990000000,0.000
1720429201000000000,0.000
1720429201010000000,0.000
1720429201020000000,0.000
1720429201030000000,0.114
1720429201040000000,0.003
1720429201050000000,0.003
1720429201060000000,0.136
1720429201070000000,0.000
1720429201080000000,0.053
1720429201090000000,0.000
1720429201100000000,0.000
1720429201110000000,0.000
1720429201120000000,0.000
1720429201130000000,0.000
1720429201140000000,0.000
1720429201150000000,0.000
1720429201160000000,0.020
1720429201170000000,0.000
1720429201180000000,0.058
1720429201190000000,0.018
1720429201200000000,0.000
1720429201210000000,0.167
1720429201220000000,0.103
1720429201230000000,0.027
1720429201240000000,0.000
1720429201250000000,0.181
1720429201260000000,0.000
1720429201270000000,0.000
1720429201280000000,0.000
1720429201290000000,0.000
1720429201300000000,0.016
1720429201310000000,0.093
1720429201320000000,0.000
1720429201330000000,0.005
1720429201340000000,0.016
1720429201350000000,0.049
1720429201360000000,0.000
1720429201370000000,0.000
1720429201380000000,0.084
1720429201390000000,0.145
1720429201400000000,0.000
1720429201410000000,0.000
1720429201420000000,0.000
1720429201430000000,0.000
1720429201440000000,0.000
1720429201450000000,0.144
1720429201460000000,0.000
1720429201470000000,0.109
1720429201480000000,0.000
1720429201490000000,0.000
1720429201500000000,0.074
1720429201510000000,0.097
1720429201520000000,0.000
1720429201530000000,0.042
1720429201540000000,0.000
1720429201550000000,0.012
1720429201560000000,0.086
1720429201570000000,0.000
1720429201580000000,0.000
1720429201590000000,0.028
1720429201600000000,0.070
1720429201610000000,0.090
1720429201620000000,0.000
1720429201630000000,0.045
1720429201640000000,0.000
1720429201650000000,0.000
1720429201660000000,0.123
1720429201670000000,0.000
1720429201680000000,0.000
1720429201690000000,0.000
1720429201700000000,0.000
1720429201710000000,0.000
1720429201720000000,0.089
1720429201730000000,0.000
1720429201740000000,0.000
1720429201750000000,0.000
1720429201760000000,0.000
1720429201770000000,0.109
1720429201780000000,0.116
1720429201790000000,0.076
1720429201800000000,0.000
1720429201810000000,0.152
1720429201820000000,0.000
1720429201830000000,0.000
1720429201840000000,0.000
1720429201850000000,0.035
1720429201860000000,0.192
1720429201870000000,0.000
1720429201880000000,0.051
1720429201890000000,0.006
1720429201900000000,0.000
1720429201910000000,0.074
1720429201920000000,0.097
1720429201930000000,0.014
1720429201940000000,0.000
1720429201950000000,0.009
1720429201960000000,0.023
1720429201970000000,0.059
1720429201980000000,0.000
1720429201990000000,0.000
1720429202000000000,0.000
1720429202009999999,0.203
1720429202020000000,0.000
1720429202029999999,0.000
1720429202040000000,0.000
1720429202049999999,0.000
1720429202060000000,0.028
1720429202069999999,0.008
1720429202080000000,0.011
1720429202089999999,0.000
1720429202100000000,0.085
1720429202109999999,0.100
1720429202120000000,0.000
1720429202130000000,0.000
1720429202140000000,0.000
1720429202150000000,0.305
1720429202160000000,0.048
1720429202170000000,0.092
1720429202180000000,0.551
1720429202190000000,0.051
1720429202200000000,0.040
1720429202210000000,0.018
1720429202220000000,0.403
1720429202230000000,0.000
1720429202240000000,0.000
1720429202250000000,0.374
1720429202260000000,0.000
1720429202270000000,0.798
1720429202280000000,0.000
1720429202290000000,0.513
1720429202300000000,0.000
1720429202310000000,0.248
1720429202320000000,0.000
1720429202330000000,0.353
1720429202340000000,0.641
1720429202350000000,0.366
1720429202360000000,0.239
1720429202370000000,0.294
1720429202380000000,0.220
1720429202390000000,0.745
1720429202400000000,0.000
1720429202410000000,0.126
1720429202420000000,0.127
1720429202430000000,0.259
1720429202440000000,0.274
1720429202450000000,0.295
1720429202460000000,0.730
1720429202470000000,0.168
1720429202480000000,0.182
1720429202490000000,0.000
1720429202500000000,0.383
1720429202510000000,0.000
1720429202520000000,0.137
1720429202530000000,0.398
1720429202540000000,0.328
1720429202550000000,0.625
1720429202560000000,0.437
1720429202570000000,0.513
1720429202580000000,0.032
1720429202590000000,0.161
1720429202600000000,0.161
1720429202610000000,0.850
1720429202620000000,0.552
1720429202630000000,0.682
1720429202640000000,0.339
1720429202650000000,0.465
1720429202660000000,0.506
1720429202670000000,0.344
1720429202680000000,0.636
1720429202690000000,0.508
1720429202700000000,0.543
1720429202710000000,0.356
1720429202720000000,0.276
1720429202730000000,0.711
1720429202740000000,0.267
1720429202750000000,0.582
1720429202760000000,0.736
1720429202770000000,0.692
1720429202780000000,0.550
1720429202790000000,0.344
1720429202800000000,0.670
1720429202810000000,0.907
1720429202820000000,1.069
1720429202830000000,0.846
1720429202840000000,0.552
1720429202850000000,0.404
1720429202860000000,0.831
1720429202870000000,0.401
1720429202880000000,0.742
1720429202890000000,0.637
1720429202900000000,0.582
1720429202910000000,0.715
1720429202920000000,0.045
1720429202930000000,0.055
1720429202940000000,0.732
1720429202950000000,0.191
1720429202960000000,0.558
1720429202970000000,0.708
1720429202980000000,0.887
1720429202990000000,0.889
1720429203000000000,0.480
1720429203010000000,0.682
1720429203020000000,0.377
1720429203030000000,1.044
1720429203040000000,1.234
1720429203050000000,1.003
1720429203060000000,0.763
1720429203070000000,0.817
1720429203080000000,0.420
1720429203090000000,1.034
1720429203100000000,1.134
1720429203110000000,1.551
1720429203120000000,1.210
1720429203130000000,0.713
1720429203140000000,1.098
1720429203150000000,0.628
1720429203160000000,0.894
1720429203170000000,0.653
1720429203180000000,0.845
1720429203190000000,0.935
1720429203200000000,0.725
1720429203210000000,1.135
1720429203220000000,1.063
1720429203230000000,0.846
1720429203240000000,1.098
1720429203250000000,0.449
1720429203260000000,0.551
1720429203270000000,1.063
1720429203280000000,1.431
1720429203290000000,0.834
1720429203300000000,1.187
1720429203310000000,0.659
1720429203320000000,0.895
1720429203330000000,0.530
1720429203340000000,0.425
1720429203350000000,0.821
1720429203360000000,0.751
1720429203370000000,0.386
1720429203380000000,0.956
1720429203390000000,0.866
1720429203400000000,0.988
1720429203410000000,0.964
1720429203420000000,0.650
1720429203430000000,0.743
1720429203440000000,0.735
1720429203450000000,0.977
1720429203460000000,1.390
1720429203470000000,0.986
1720429203480000000,0.783
1720429203490000000,1.171
1720429203500000000,1.355
1720429203510000000,0.879
1720429203520000000,0.684
1720429203530000000,1.178
1720429203540000000,1.119
1720429203550000000,0.744
1720429203560000000,0.878
1720429203570000000,0.720
1720429203580000000,0.525
1720429203590000000,0.798
1720429203600000000,0.591
1720429203610000000,0.993
1720429203620000000,0.846
1720429203630000000,0.163
1720429203640000000,1.248
1720429203650000000,0.531
1720429203660000000,0.961
1720429203670000000,0.573
1720429203680000000,0.570
1720429203690000000,1.386
1720429203700000000,0.857
1720429203710000000,0.695
1720429203720000000,0.965
1720429203730000000,0.988
1720429203740000000,1.228
1720429203750000000,0.670
1720429203760000000,1.039
1720429203770000000,0.578
1720429203780000000,0.749
1720429203790000000,0.898
1720429203800000000,0.952
1720429203810000000,0.958
1720429203820000000,1.168
1720429203830000000,1.088
1720429203840000000,0.737
1720429203850000000,0.836
1720429203860000000,0.718
1720429203870000000,1.019
1720429203880000000,1.103
1720429203890000000,0.865
1720429203900000000,1.008
1720429203910000000,1.150
1720429203920000000,0.514
1720429203930000000,1.137
1720429203940000000,1.116
1720429203950000000,1.228
1720429203960000000,0.777
1720429203970000000,1.080
1720429203980000000,0.870
1720429203990000000,1.279
1720429204000000000,1.074
1720429204010000000,0.989
1720429204019999999,0.799
1720429204030000000,1.130
1720429204040000000,0.735
1720429204050000000,1.140
1720429204059999999,1.070
1720429204070000000,0.814
1720429204080000000,0.662
1720429204090000000,0.610
1720429204099999999,0.835
1720429204110000000,1.220
1720429204120000000,0.949
1720429204130000000,1.138
1720429204139999999,0.858
1720429204150000000,0.861
1720429204160000000,0.917
1720429204170000000,1.321
1720429204179999999,1.532
1720429204190000000,1.186
1720429204200000000,0.925
1720429204210000000,0.941
1720429204219999999,0.887
1720429204230000000,0.953
1720429204240000000,0.992
1720429204250000000,1.296
1720429204260000000,0.945
1720429204269999999,1.025
1720429204280000000,1.125
1720429204290000000,1.084
1720429204300000000,1.410
1720429204310000000,0.778
1720429204320000000,0.836
1720429204330000000,1.347
1720429204340000000,0.904
1720429204350000000,1.321
1720429204360000000,0.681
1720429204370000000,0.775
1720429204380000000,1.104
1720429204390000000,1.062
1720429204400000000,1.126
1720429204410000000,1.247
1720429204420000000,0.793
1720429204430000000,0.954
1720429204440000000,1.468
1720429204450000000,1.220
1720429204460000000,0.540
1720429204470000000,0.646
1720429204480000000,1.219
1720429204490000000,0.684
1720429204500000000,1.275
1720429204510000000,1.355
1720429204520000000,1.670
1720429204530000000,0.798
1720429204540000000,1.334
1720429204550000000,0.723
1720429204560000000,0.842
1720429204570000000,0.912
1720429204580000000,1.411
1720429204590000000,0.810
1720429204600000000,1.250
1720429204610000000,0.661
1720429204620000000,0.891
1720429204630000000,1.037
1720429204640000000,1.300
1720429204650000000,0.800
1720429204660000000,1.255
1720429204670000000,1.063
1720429204680000000,1.269
1720429204690000000,1.290
1720429204700000000,0.787
1720429204710000000,1.453
1720429204720000000,1.060
1720429204730000000,1.347
1720429204740000000,1.365
1720429204750000000,0.874
1720429204760000000,1.169
1720429204770000000,1.172
1720429204780000000,1.346
1720429204790000000,0.702
1720429204800000000,1.734
1720429204810000000,0.872
1720429204820000000,1.420
1720429204830000000,1.723
1720429204840000000,1.124
1720429204850000000,1.660
1720429204860000000,1.249
1720429204870000000,1.534
1720429204880000000,1.541
1720429204890000000,1.108
1720429204900000000,1.345
1720429204910000000,0.876
