timestamp_ns,value_degC
1720688400000000000,1.051
1720688400010000000,-1.769
1720688400020000000,-0.082
1720688400030000000,0.034
1720688400040000000,-0.169
1720688400050000000,-0.974
1720688400060000000,0.335
1720688400070000000,0.115
1720688400080000000,0.615
1720688400090000000,-0.169
1720688400100000000,-0.801
1720688400110000000,0.106
1720688400120000000,1.009
1720688400130000000,-0.319
1720688400140000000,-1.726
1720688400150000000,-0.552
1720688400160000000,-0.966
1720688400170000000,0.062
1720688400180000000,-1.472
1720688400190000000,1.110
1720688400200000000,-0.180
1720688400210000000,-0.990
1720688400220000000,0.599
1720688400230000000,-1.425
1720688400240000000,0.007
1720688400250000000,-1.030
1720688400260000000,-1.137
1720688400270000000,-0.799
1720688400280000000,0.020
1720688400290000000,-1.786
1720688400300000000,1.019
1720688400310000000,0.857
1720688400320000000,-0.529
1720688400330000000,0.547
1720688400340000000,-1.460
1720688400350000000,-0.977
1720688400360000000,-0.801
1720688400370000000,-1.408
1720688400380000000,-0.298
1720688400390000000,-0.202
1720688400400000000,-1.350
1720688400410000000,-0.000
1720688400420000000,-0.756
1720688400430000000,0.283
1720688400440000000,0.046
1720688400450000000,1.054
1720688400460000000,1.399
1720688400470000000,0.010
1720688400480000000,1.200
1720688400490000000,0.573
1720688400500000000,1.721
1720688400510000000,-0.291
1720688400520000000,0.246
1720688400530000000,0.172
1720688400540000000,0.650
1720688400550000000,-0.177
1720688400560000000,-0.669
1720688400570000000,0.934
1720688400580000000,0.130
1720688400590000000,-1.422
1720688400600000000,-1.438
1720688400610000000,-1.047
1720688400620000000,0.424
1720688400630000000,-0.479
1720688400640000000,-1.537
1720688400650000000,0.433
1720688400660000000,1.060
1720688400670000000,0.705
1720688400680000000,-1.145
1720688400690000000,-0.145
1720688400700000000,1.356
1720688400710000000,0.542
1720688400720000000,0.800
1720688400730000000,0.823
1720688400740000000,1.435
1720688400750000000,-1.997
1720688400760000000,1.089
1720688400770000000,-0.972
1720688400780000000,1.091
1720688400790000000,0.336
1720688400800000000,-0.320
1720688400810000000,-1.157
1720688400820000000,-0.999
1720688400830000000,0.201
1720688400840000000,-2.492
1720688400850000000,-0.470
1720688400860000000,-1.025
1720688400870000000,-2.177
1720688400880000000,-1.282
1720688400890000000,0.884
1720688400900000000,-1.114
1720688400910000000,-0.510
1720688400920000000,0.088
1720688400930000000,0.366
1720688400940000000,0.273
1720688400950000000,-0.335
1720688400960000000,0.228
1720688400970000000,0.988
1720688400980000000,-0.767
1720688400990000000,-1.882
1720688401000000000,0.311
1720688401010000000,-0.737
1720688401020000000,0.052
1720688401030000000,-0.247
1720688401040000000,-0.084
1720688401050000000,0.339
1720688401060000000,-1.272
1720688401070000000,0.032
1720688401080000000,0.598
1720688401090000000,-1.053
1720688401100000000,-0.452
1720688401110000000,1.203
1720688401120000000,-1.163
1720688401130000000,0.122
1720688401140000000,-0.295
1720688401150000000,-0.309
1720688401160000000,1.363
1720688401170000000,0.660
1720688401180000000,-0.021
1720688401190000000,-0.757
1720688401200000000,0.243
1720688401210000000,-0.072
1720688401220000000,1.249
1720688401230000000,1.487
1720688401240000000,0.820
1720688401250000000,-0.107
1720688401260000000,0.201
1720688401270000000,0.848
1720688401280000000,0.252
1720688401290000000,-1.215
1720688401300000000,-0.269
1720688401310000000,-1.811
1720688401320000000,1.250
1720688401330000000,-1.290
1720688401340000000,0.018
1720688401350000000,2.824
1720688401360000000,0.176
1720688401370000000,-1.306
1720688401380000000,-0.073
1720688401390000000,-0.515
1720688401400000000,-0.858
1720688401410000000,0.528
1720688401420000000,-0.423
1720688401430000000,1.111
1720688401440000000,-1.568
1720688401450000000,-0.400
1720688401460000000,-0.176
1720688401470000000,1.206
1720688401480000000,-0.598
1720688401490000000,-0.279
1720688401500000000,1.448
1720688401510000000,0.359
1720688401520000000,-0.218
1720688401530000000,1.105
1720688401540000000,-0.208
1720688401550000000,-0.294
1720688401560000000,-1.096
1720688401570000000,-1.162
1720688401580000000,-2.996
1720688401590000000,0.253
1720688401600000000,0.284
1720688401610000000,-0.262
1720688401620000000,-0.004
1720688401630000000,0.560
1720688401640000000,-2.437
1720688401650000000,-0.006
