timestamp_ns,value_kg/s
1720947600000000000,0.015
1720947600010000000,0.000
1720947600020000000,0.003
1720947600030000000,0.000
1720947600040000000,0.000
1720947600050000000,0.011
1720947600060000000,0.001
1720947600070000000,0.000
1720947600080000000,0.000
1720947600090000000,0.015
1720947600100000000,0.000
1720947600110000000,0.000
1720947600120000000,0.000
1720947600130000000,0.000
1720947600140000000,0.000
1720947600150000000,0.000
1720947600160000000,0.000
1720947600170000000,0.000
1720947600180000000,0.000
1720947600190000000,0.000
1720947600200000000,0.000
1720947600210000000,0.009
1720947600220000000,0.012
1720947600230000000,0.000
1720947600240000000,0.000
1720947600250000000,0.000
1720947600260000000,0.003
1720947600270000000,0.002
1720947600280000000,0.000
1720947600290000000,0.009
1720947600300000000,0.000
1720947600310000000,0.000
1720947600320000000,0.000
1720947600330000000,0.003
1720947600340000000,0.007
1720947600350000000,0.017
1720947600360000000,0.000
1720947600370000000,0.003
1720947600380000000,0.000
1720947600390000000,0.012
1720947600400000000,0.000
1720947600410000000,0.000
1720947600420000000,0.000
1720947600430000000,0.000
1720947600440000000,0.010
1720947600450000000,0.000
1720947600460000000,0.004
1720947600470000000,0.002
1720947600480000000,0.002
1720947600490000000,0.000
1720947600500000000,0.010
1720947600510000000,0.007
1720947600520000000,0.001
1720947600530000000,0.009
1720947600540000000,0.003
1720947600550000000,0.009
1720947600560000000,0.007
1720947600570000000,0.000
1720947600580000000,0.002
1720947600590000000,0.001
1720947600600000000,0.001
1720947600610000000,0.000
1720947600620000000,0.008
1720947600630000000,0.000
1720947600640000000,0.000
1720947600650000000,0.006
1720947600660000000,0.000
1720947600670000000,0.000
1720947600680000000,0.008
1720947600690000000,0.004
1720947600700000000,0.010
1720947600710000000,0.005
1720947600720000000,0.000
1720947600730000000,0.000
1720947600740000000,0.006
1720947600750000000,0.001
1720947600760000000,0.000
1720947600770000000,0.012
1720947600780000000,0.000
1720947600790000000,0.000
1720947600800000000,0.007
1720947600810000000,0.002
1720947600820000000,0.000
1720947600830000000,0.008
1720947600840000000,0.003
1720947600850000000,0.006
1720947600860000000,0.004
1720947600870000000,0.000
1720947600880000000,0.000
1720947600890000000,0.000
1720947600900000000,0.000
1720947600910000000,0.002
1720947600920000000,0.007
1720947600930000000,0.000
1720947600940000000,0.000
1720947600950000000,0.007
1720947600960000000,0.007
1720947600970000000,0.004
1720947600980000000,0.006
1720947600990000000,0.010
1720947601000000000,0.000
1720947601010000000,0.000
1720947601020000000,0.006
1720947601030000000,0.007
1720947601040000000,0.018
1720947601050000000,0.001
1720947601060000000,0.025
1720947601070000000,0.005
1720947601080000000,0.003
1720947601090000000,0.000
1720947601100000000,0.001
1720947601110000000,0.009
1720947601120000000,0.000
1720947601130000000,0.014
1720947601140000000,0.002
1720947601150000000,0.009
1720947601160000000,0.000
1720947601170000000,0.000
1720947601180000000,0.007
1720947601190000000,0.000
1720947601200000000,0.001
1720947601210000000,0.000
1720947601220000000,0.012
1720947601230000000,0.000
1720947601240000000,0.000
1720947601250000000,0.001
1720947601260000000,0.002
1720947601270000000,0.000
1720947601280000000,0.000
1720947601290000000,0.004
1720947601300000000,0.000
1720947601310000000,0.000
1720947601320000000,0.005
1720947601330000000,0.000
1720947601340000000,0.002
1720947601350000000,0.002
1720947601360000000,0.005
1720947601370000000,0.010
1720947601380000000,0.002
1720947601390000000,0.004
1720947601400000000,0.009
1720947601410000000,0.000
1720947601420000000,0.000
1720947601430000000,0.004
1720947601440000000,0.000
1720947601450000000,0.002
1720947601460000000,0.008
1720947601470000000,0.000
1720947601480000000,0.007
1720947601490000000,0.001
1720947601500000000,0.000
1720947601510000000,0.008
1720947601520000000,0.000
1720947601530000000,0.001
1720947601540000000,0.000
1720947601550000000,0.000
1720947601560000000,0.000
1720947601570000000,0.010
1720947601580000000,0.000
1720947601590000000,0.000
1720947601600000000,0.016
1720947601610000000,0.000
1720947601620000000,0.008
1720947601630000000,0.010
1720947601640000000,0.009
1720947601650000000,0.004
1720947601660000000,0.000
1720947601670000000,0.000
1720947601680000000,0.014
1720947601690000000,0.000
1720947601700000000,0.006
1720947601710000000,0.012
1720947601720000000,0.008
1720947601730000000,0.006
1720947601740000000,0.000
1720947601750000000,0.012
1720947601760000000,0.000
1720947601770000000,0.003
1720947601780000000,0.000
1720947601790000000,0.000
1720947601800000000,0.002
1720947601810000000,0.010
1720947601820000000,0.000
1720947601830000000,0.000
1720947601840000000,0.000
1720947601850000000,0.000
1720947601860000000,0.008
1720947601870000000,0.005
1720947601880000000,0.003
1720947601890000000,0.010
1720947601900000000,0.000
1720947601910000000,0.003
1720947601920000000,0.000
1720947601930000000,0.004
1720947601940000000,0.000
1720947601950000000,0.000
1720947601960000000,0.010
1720947601970000000,0.009
1720947601980000000,0.000
1720947601990000000,0.000
1720947602000000000,0.014
1720947602009999999,0.019
1720947602020000000,0.000
1720947602029999999,0.013
1720947602040000000,0.041
1720947602049999999,0.032
1720947602060000000,0.002
1720947602069999999,0.042
1720947602080000000,0.069
1720947602089999999,0.064
1720947602100000000,0.055
1720947602109999999,0.055
1720947602120000000,0.104
1720947602130000000,0.080
1720947602140000000,0.080
1720947602150000000,0.107
1720947602160000000,0.089
1720947602170000000,0.085
1720947602180000000,0.130
1720947602190000000,0.121
1720947602200000000,0.082
1720947602210000000,0.125
1720947602220000000,0.151
1720947602230000000,0.185
1720947602240000000,0.140
1720947602250000000,0.164
1720947602260000000,0.162
1720947602270000000,0.162
1720947602280000000,0.188
1720947602290000000,0.199
1720947602300000000,0.217
1720947602310000000,0.166
1720947602320000000,0.210
1720947602330000000,0.208
1720947602340000000,0.225
1720947602350000000,0.180
1720947602360000000,0.215
1720947602370000000,0.238
1720947602380000000,0.223
1720947602390000000,0.224
1720947602400000000,0.200
1720947602410000000,0.227
1720947602420000000,0.221
1720947602430000000,0.237
1720947602440000000,0.262
1720947602450000000,0.257
1720947602460000000,0.276
1720947602470000000,0.304
1720947602480000000,0.300
1720947602490000000,0.280
1720947602500000000,0.272
1720947602510000000,0.291
1720947602520000000,0.309
1720947602530000000,0.317
1720947602540000000,0.329
1720947602550000000,0.289
1720947602560000000,0.342
1720947602570000000,0.340
1720947602580000000,0.335
1720947602590000000,0.359
1720947602600000000,0.340
1720947602610000000,0.340
1720947602620000000,0.382
1720947602630000000,0.367
1720947602640000000,0.374
1720947602650000000,0.368
1720947602660000000,0.385
1720947602670000000,0.457
1720947602680000000,0.395
1720947602690000000,0.440
1720947602700000000,0.429
1720947602710000000,0.412
1720947602720000000,0.467
1720947602730000000,0.436
1720947602740000000,0.442
1720947602750000000,0.447
1720947602760000000,0.445
1720947602770000000,0.493
1720947602780000000,0.476
1720947602790000000,0.532
1720947602800000000,0.451
1720947602810000000,0.475
1720947602820000000,0.457
1720947602830000000,0.482
1720947602840000000,0.522
1720947602850000000,0.519
1720947602860000000,0.542
1720947602870000000,0.519
1720947602880000000,0.529
1720947602890000000,0.516
1720947602900000000,0.543
1720947602910000000,0.529
1720947602920000000,0.507
1720947602930000000,0.560
1720947602940000000,0.552
1720947602950000000,0.609
1720947602960000000,0.578
1720947602970000000,0.517
1720947602980000000,0.603
1720947602990000000,0.598
1720947603000000000,0.645
1720947603010000000,0.659
1720947603020000000,0.664
1720947603030000000,0.675
1720947603040000000,0.649
1720947603050000000,0.692
1720947603060000000,0.678
1720947603070000000,0.676
1720947603080000000,0.680
1720947603090000000,0.684
1720947603100000000,0.630
1720947603110000000,0.667
1720947603120000000,0.681
1720947603130000000,0.662
1720947603140000000,0.684
1720947603150000000,0.642
1720947603160000000,0.693
1720947603170000000,0.656
1720947603180000000,0.642
1720947603190000000,0.725
1720947603200000000,0.664
1720947603210000000,0.695
1720947603220000000,0.672
1720947603230000000,0.659
1720947603240000000,0.691
1720947603250000000,0.682
1720947603260000000,0.679
1720947603270000000,0.691
1720947603280000000,0.687
1720947603290000000,0.634
1720947603300000000,0.715
1720947603310000000,0.687
1720947603320000000,0.682
1720947603330000000,0.716
1720947603340000000,0.677
1720947603350000000,0.656
1720947603360000000,0.689
1720947603370000000,0.687
1720947603380000000,0.667
1720947603390000000,0.703
1720947603400000000,0.707
1720947603410000000,0.689
1720947603420000000,0.690
1720947603430000000,0.667
1720947603440000000,0.725
1720947603450000000,0.717
1720947603460000000,0.700
1720947603470000000,0.708
1720947603480000000,0.706
1720947603490000000,0.671
1720947603500000000,0.690
1720947603510000000,0.702
1720947603520000000,0.709
1720947603530000000,0.684
1720947603540000000,0.686
1720947603550000000,0.704
1720947603560000000,0.729
1720947603570000000,0.715
1720947603580000000,0.755
1720947603590000000,0.740
1720947603600000000,0.717
1720947603610000000,0.716
1720947603620000000,0.757
1720947603630000000,0.721
1720947603640000000,0.746
1720947603650000000,0.752
1720947603660000000,0.716
1720947603670000000,0.745
1720947603680000000,0.722
1720947603690000000,0.737
1720947603700000000,0.754
1720947603710000000,0.746
1720947603720000000,0.717
1720947603730000000,0.734
1720947603740000000,0.753
1720947603750000000,0.745
1720947603760000000,0.745
1720947603770000000,0.741
1720947603780000000,0.743
1720947603790000000,0.747
1720947603800000000,0.726
1720947603810000000,0.744
1720947603820000000,0.785
1720947603830000000,0.739
1720947603840000000,0.791
1720947603850000000,0.769
1720947603860000000,0.793
1720947603870000000,0.778
1720947603880000000,0.800
1720947603890000000,0.750
1720947603900000000,0.761
1720947603910000000,0.804
1720947603920000000,0.736
1720947603930000000,0.802
1720947603940000000,0.758
1720947603950000000,0.793
1720947603960000000,0.772
1720947603970000000,0.776
1720947603980000000,0.804
1720947603990000000,0.716
1720947604000000000,0.804
1720947604010000000,0.798
1720947604019999999,0.800
1720947604030000000,0.785
1720947604040000000,0.751
1720947604050000000,0.809
1720947604059999999,0.816
1720947604070000000,0.775
1720947604080000000,0.797
1720947604090000000,0.793
1720947604099999999,0.801
1720947604110000000,0.813
1720947604120000000,0.830
1720947604130000000,0.840
1720947604139999999,0.828
1720947604150000000,0.797
1720947604160000000,0.781
1720947604170000000,0.880
1720947604179999999,0.811
1720947604190000000,0.814
1720947604200000000,0.860
1720947604210000000,0.813
1720947604219999999,0.837
1720947604230000000,0.812
1720947604240000000,0.837
1720947604250000000,0.802
1720947604260000000,0.870
1720947604269999999,0.843
1720947604280000000,0.858
1720947604290000000,0.837
1720947604300000000,0.843
1720947604310000000,0.882
1720947604320000000,0.880
1720947604330000000,0.862
1720947604340000000,0.883
1720947604350000000,0.884
1720947604360000000,0.893
1720947604370000000,0.895
1720947604380000000,0.852
1720947604390000000,0.874
1720947604400000000,0.894
1720947604410000000,0.928
1720947604420000000,0.925
1720947604430000000,0.912
1720947604440000000,0.916
1720947604450000000,0.959
1720947604460000000,0.889
1720947604470000000,0.928
1720947604480000000,0.913
1720947604490000000,0.953
1720947604500000000,0.884
1720947604510000000,0.914
1720947604520000000,0.931
1720947604530000000,0.959
1720947604540000000,0.956
1720947604550000000,0.962
1720947604560000000,0.924
1720947604570000000,0.901
1720947604580000000,0.935
1720947604590000000,0.958
1720947604600000000,0.965
1720947604610000000,0.974
1720947604620000000,0.987
1720947604630000000,0.966
1720947604640000000,0.979
1720947604650000000,1.003
1720947604660000000,1.010
1720947604670000000,1.006
1720947604680000000,0.983
1720947604690000000,0.986
1720947604700000000,1.029
1720947604710000000,1.022
1720947604720000000,1.005
1720947604730000000,1.025
1720947604740000000,1.024
1720947604750000000,1.020
1720947604760000000,1.033
1720947604770000000,0.995
1720947604780000000,1.011
1720947604790000000,1.021
1720947604800000000,1.033
1720947604810000000,1.056
1720947604820000000,1.060
1720947604830000000,1.071
1720947604840000000,1.046
1720947604850000000,1.038
1720947604860000000,1.077
1720947604870000000,1.080
1720947604880000000,1.086
1720947604890000000,1.051
1720947604900000000,1.027
1720947604910000000,1.103
1720947604920000000,1.081
1720947604930000000,1.079
1720947604940000000,1.124
1720947604950000000,1.109
1720947604960000000,1.111
1720947604970000000,1.149
1720947604980000000,1.090
1720947604990000000,1.063
1720947605000000000,1.084
1720947605010000000,1.093
1720947605020000000,1.127
1720947605030000000,1.197
1720947605040000000,1.120
1720947605050000000,1.141
1720947605060000000,1.148
1720947605070000000,1.181
1720947605080000000,1.162
1720947605090000000,1.103
1720947605100000000,1.165
1720947605110000000,1.173
1720947605120000000,1.168
1720947605130000000,1.162
1720947605140000000,1.172
1720947605150000000,1.201
1720947605160000000,1.209
1720947605170000000,1.174
1720947605180000000,1.203
1720947605190000000,1.204
1720947605200000000,1.195
1720947605210000000,1.214
1720947605220000000,1.202
1720947605230000000,1.207
1720947605240000000,1.206
1720947605250000000,1.246
1720947605260000000,1.251
1720947605270000000,1.247
1720947605280000000,1.180
1720947605290000000,1.258
1720947605300000000,1.218
1720947605310000000,1.233
1720947605320000000,1.248
1720947605330000000,1.239
1720947605340000000,1.277
1720947605350000000,1.280
1720947605360000000,1.274
1720947605370000000,1.272
1720947605380000000,1.315
1720947605390000000,1.285
1720947605400000000,1.281
1720947605410000000,1.322
1720947605420000000,1.283
1720947605430000000,1.293
1720947605440000000,1.349
1720947605450000000,1.339
1720947605460000000,1.359
1720947605470000000,1.327
1720947605480000000,1.368
1720947605490000000,1.318
1720947605500000000,1.341
1720947605510000000,1.346
1720947605520000000,1.347
1720947605530000000,1.340
1720947605540000000,1.381
1720947605550000000,1.365
1720947605560000000,1.382
1720947605570000000,1.395
1720947605580000000,1.410
1720947605590000000,1.390
1720947605600000000,1.406
1720947605610000000,1.402
1720947605620000000,1.397
1720947605630000000,1.381
1720947605640000000,1.424
1720947605650000000,1.449
1720947605660000000,1.437
1720947605670000000,1.458
1720947605680000000,1.436
1720947605690000000,1.422
1720947605700000000,1.412
1720947605710000000,1.451
1720947605720000000,1.465
1720947605730000000,1.445
