timestamp_ns,value_bar
1720947600000000000,0.256
1720947600010000000,0.040
1720947600020000000,0.076
1720947600030000000,0.000
1720947600040000000,0.000
1720947600050000000,0.293
1720947600060000000,0.000
1720947600070000000,0.266
1720947600080000000,0.000
1720947600090000000,0.145
1720947600100000000,0.056
1720947600110000000,0.371
1720947600120000000,0.000
1720947600130000000,0.000
1720947600140000000,0.000
1720947600150000000,0.117
1720947600160000000,0.000
1720947600170000000,0.000
1720947600180000000,0.200
1720947600190000000,0.088
1720947600200000000,0.179
1720947600210000000,0.040
1720947600220000000,0.000
1720947600230000000,0.020
1720947600240000000,0.155
1720947600250000000,0.000
1720947600260000000,0.529
1720947600270000000,0.000
1720947600280000000,0.638
1720947600290000000,0.152
1720947600300000000,0.000
1720947600310000000,0.000
1720947600320000000,0.129
1720947600330000000,0.110
1720947600340000000,0.281
1720947600350000000,0.000
1720947600360000000,0.000
1720947600370000000,0.107
1720947600380000000,0.221
1720947600390000000,0.286
1720947600400000000,0.000
1720947600410000000,0.000
1720947600420000000,0.000
1720947600430000000,0.152
1720947600440000000,0.059
1720947600450000000,0.692
1720947600460000000,0.000
1720947600470000000,0.042
1720947600480000000,0.317
1720947600490000000,0.000
1720947600500000000,0.211
1720947600510000000,0.000
1720947600520000000,0.199
1720947600530000000,0.000
1720947600540000000,0.075
1720947600550000000,0.000
1720947600560000000,0.295
1720947600570000000,0.084
1720947600580000000,0.000
1720947600590000000,0.131
1720947600600000000,0.000
1720947600610000000,0.096
1720947600620000000,0.000
1720947600630000000,0.000
1720947600640000000,0.276
1720947600650000000,0.000
1720947600660000000,0.000
1720947600670000000,0.000
1720947600680000000,0.000
1720947600690000000,0.174
1720947600700000000,0.058
1720947600710000000,0.239
1720947600720000000,0.000
1720947600730000000,0.210
1720947600740000000,0.000
1720947600750000000,0.000
1720947600760000000,0.194
1720947600770000000,0.185
1720947600780000000,0.000
1720947600790000000,0.496
1720947600800000000,0.000
1720947600810000000,0.000
1720947600820000000,0.000
1720947600830000000,0.000
1720947600840000000,0.000
1720947600850000000,0.000
1720947600860000000,0.000
1720947600870000000,0.000
1720947600880000000,0.132
1720947600890000000,0.320
1720947600900000000,0.472
1720947600910000000,0.000
1720947600920000000,0.000
1720947600930000000,0.229
1720947600940000000,0.144
1720947600950000000,0.000
1720947600960000000,0.094
1720947600970000000,0.012
1720947600980000000,0.000
1720947600990000000,0.222
1720947601000000000,0.320
1720947601010000000,0.000
1720947601020000000,0.140
1720947601030000000,0.111
1720947601040000000,0.000
1720947601050000000,0.000
1720947601060000000,0.379
1720947601070000000,0.000
