timestamp_ns,value_ustrain
1720947600000000000,-0.712
1720947600010000000,-0.563
1720947600020000000,-0.226
1720947600030000000,-0.760
1720947600040000000,2.229
1720947600050000000,-0.456
1720947600060000000,1.726
1720947600070000000,-1.461
1720947600080000000,1.450
1720947600090000000,0.844
1720947600100000000,-1.699
1720947600110000000,1.049
1720947600120000000,-3.790
1720947600130000000,-2.393
1720947600140000000,2.221
1720947600150000000,4.696
1720947600160000000,-0.501
1720947600170000000,-0.401
1720947600180000000,4.307
1720947600190000000,2.397
1720947600200000000,-0.218
1720947600210000000,-1.270
1720947600220000000,1.738
1720947600230000000,-0.740
1720947600240000000,-1.744
1720947600250000000,6.457
1720947600260000000,1.836
1720947600270000000,-0.099
1720947600280000000,-0.371
1720947600290000000,-2.326
1720947600300000000,-1.392
1720947600310000000,2.953
1720947600320000000,1.167
1720947600330000000,0.931
1720947600340000000,0.631
1720947600350000000,2.408
1720947600360000000,-5.129
1720947600370000000,1.557
1720947600380000000,-5.656
1720947600390000000,-2.525
1720947600400000000,2.753
1720947600410000000,4.198
1720947600420000000,-0.910
1720947600430000000,2.531
1720947600440000000,-1.447
1720947600450000000,-1.126
1720947600460000000,-0.865
1720947600470000000,0.690
1720947600480000000,3.436
1720947600490000000,2.827
1720947600500000000,-1.451
1720947600510000000,-1.863
1720947600520000000,-0.412
1720947600530000000,0.533
1720947600540000000,3.655
1720947600550000000,-0.885
1720947600560000000,2.294
1720947600570000000,-1.707
1720947600580000000,-5.337
1720947600590000000,-0.322
1720947600600000000,1.077
1720947600610000000,0.100
1720947600620000000,-3.114
1720947600630000000,-2.734
1720947600640000000,-4.224
1720947600650000000,-2.324
1720947600660000000,-2.521
1720947600670000000,3.290
1720947600680000000,1.515
1720947600690000000,-1.403
1720947600700000000,0.559
1720947600710000000,-0.892
1720947600720000000,-1.769
1720947600730000000,-5.032
1720947600740000000,-1.491
1720947600750000000,1.464
1720947600760000000,-3.385
1720947600770000000,1.611
1720947600780000000,0.552
1720947600790000000,3.093
1720947600800000000,-2.270
1720947600810000000,-2.163
1720947600820000000,-1.577
1720947600830000000,3.090
1720947600840000000,2.782
1720947600850000000,-1.924
1720947600860000000,-2.319
1720947600870000000,0.787
1720947600880000000,-5.577
1720947600890000000,-1.141
1720947600900000000,-0.004
1720947600910000000,-1.442
1720947600920000000,-1.928
1720947600930000000,-0.673
1720947600940000000,4.055
1720947600950000000,-2.803
1720947600960000000,1.315
1720947600970000000,0.220
1720947600980000000,8.052
1720947600990000000,2.252
1720947601000000000,1.406
1720947601010000000,0.530
1720947601020000000,-5.108
1720947601030000000,-0.119
1720947601040000000,-4.833
1720947601050000000,0.729
1720947601060000000,1.210
1720947601070000000,1.151
1720947601080000000,-1.691
1720947601090000000,-1.382
1720947601100000000,-3.564
1720947601110000000,-1.835
1720947601120000000,4.378
1720947601130000000,7.183
1720947601140000000,1.110
1720947601150000000,-1.242
1720947601160000000,0.994
1720947601170000000,6.314
1720947601180000000,1.940
1720947601190000000,-1.748
1720947601200000000,-0.860
1720947601210000000,1.011
1720947601220000000,-2.730
1720947601230000000,0.670
1720947601240000000,-1.252
1720947601250000000,1.042
1720947601260000000,-5.496
1720947601270000000,-1.403
1720947601280000000,4.845
1720947601290000000,-2.808
1720947601300000000,-0.444
1720947601310000000,-1.049
1720947601320000000,1.779
1720947601330000000,1.240
1720947601340000000,3.794
1720947601350000000,-3.705
1720947601360000000,-5.641
1720947601370000000,0.260
1720947601380000000,-5.136
1720947601390000000,3.046
1720947601400000000,-0.640
1720947601410000000,2.477
1720947601420000000,3.852
1720947601430000000,3.663
1720947601440000000,-1.277
1720947601450000000,1.336
1720947601460000000,-2.953
1720947601470000000,0.747
1720947601480000000,3.803
1720947601490000000,0.451
1720947601500000000,1.835
1720947601510000000,-1.585
1720947601520000000,-3.108
1720947601530000000,-3.649
1720947601540000000,-1.042
1720947601550000000,1.454
1720947601560000000,0.955
1720947601570000000,2.661
1720947601580000000,0.977
1720947601590000000,-1.042
1720947601600000000,6.372
1720947601610000000,1.819
1720947601620000000,-2.704
1720947601630000000,-0.298
1720947601640000000,-2.324
1720947601650000000,-0.840
1720947601660000000,-0.669
1720947601670000000,-0.212
1720947601680000000,-0.603
1720947601690000000,-3.651
1720947601700000000,1.865
1720947601710000000,-1.225
1720947601720000000,3.267
1720947601730000000,-4.243
1720947601740000000,-0.479
1720947601750000000,-0.747
1720947601760000000,0.094
1720947601770000000,-1.233
1720947601780000000,-2.083
1720947601790000000,-2.834
1720947601800000000,4.589
1720947601810000000,0.994
1720947601820000000,1.731
1720947601830000000,0.655
1720947601840000000,3.514
1720947601850000000,-3.653
1720947601860000000,2.683
1720947601870000000,5.972
1720947601880000000,1.064
1720947601890000000,-3.991
1720947601900000000,-0.050
1720947601910000000,-0.821
1720947601920000000,-1.674
1720947601930000000,1.834
1720947601940000000,-2.687
1720947601950000000,-2.317
1720947601960000000,-1.355
1720947601970000000,1.770
1720947601980000000,-3.935
1720947601990000000,2.036
1720947602000000000,-18.610
1720947602009999999,-3.947
1720947602020000000,11.635
1720947602029999999,9.570
1720947602040000000,-1.734
1720947602049999999,-4.035
1720947602060000000,6.145
1720947602069999999,15.661
1720947602080000000,16.376
1720947602089999999,18.517
1720947602100000000,18.815
1720947602109999999,7.398
1720947602120000000,4.979
1720947602130000000,15.333
1720947602140000000,5.637
1720947602150000000,21.109
1720947602160000000,18.660
1720947602170000000,23.986
1720947602180000000,28.806
1720947602190000000,19.584
1720947602200000000,36.457
1720947602210000000,27.688
1720947602220000000,34.776
1720947602230000000,26.303
1720947602240000000,39.727
1720947602250000000,37.691
1720947602260000000,30.977
1720947602270000000,36.998
1720947602280000000,37.824
1720947602290000000,33.226
1720947602300000000,43.395
1720947602310000000,52.668
1720947602320000000,47.443
1720947602330000000,57.318
1720947602340000000,41.398
1720947602350000000,64.200
1720947602360000000,59.789
1720947602370000000,43.714
1720947602380000000,51.739
1720947602390000000,41.884
1720947602400000000,56.827
1720947602410000000,54.490
1720947602420000000,45.360
1720947602430000000,69.149
1720947602440000000,61.829
1720947602450000000,55.667
1720947602460000000,53.056
1720947602470000000,57.672
1720947602480000000,69.850
1720947602490000000,71.907
1720947602500000000,53.352
1720947602510000000,80.524
1720947602520000000,64.659
1720947602530000000,78.049
1720947602540000000,74.636
1720947602550000000,73.350
1720947602560000000,84.005
1720947602570000000,81.399
1720947602580000000,65.869
1720947602590000000,73.535
1720947602600000000,86.390
1720947602610000000,79.443
1720947602620000000,72.687
1720947602630000000,87.801
1720947602640000000,82.282
1720947602650000000,99.844
1720947602660000000,81.895
1720947602670000000,81.121
1720947602680000000,91.711
1720947602690000000,91.922
1720947602700000000,100.119
1720947602710000000,97.844
1720947602720000000,92.709
1720947602730000000,111.038
1720947602740000000,97.592
1720947602750000000,100.863
1720947602760000000,83.448
1720947602770000000,94.764
1720947602780000000,93.288
1720947602790000000,98.971
1720947602800000000,96.196
1720947602810000000,109.869
1720947602820000000,118.167
1720947602830000000,110.294
1720947602840000000,105.730
1720947602850000000,102.368
1720947602860000000,110.183
1720947602870000000,100.619
1720947602880000000,110.866
1720947602890000000,112.456
1720947602900000000,127.625
1720947602910000000,121.356
1720947602920000000,118.479
1720947602930000000,134.067
1720947602940000000,126.758
1720947602950000000,121.510
1720947602960000000,126.392
1720947602970000000,134.752
1720947602980000000,142.918
1720947602990000000,138.364
1720947603000000000,145.171
1720947603010000000,139.748
1720947603020000000,154.015
1720947603030000000,147.169
1720947603040000000,134.038
1720947603050000000,136.468
1720947603060000000,144.343
1720947603070000000,149.985
1720947603080000000,152.553
1720947603090000000,136.561
1720947603100000000,146.886
1720947603110000000,148.352
1720947603120000000,143.551
1720947603130000000,150.222
1720947603140000000,139.898
1720947603150000000,157.649
1720947603160000000,143.881
1720947603170000000,152.802
1720947603180000000,152.721
1720947603190000000,152.655
1720947603200000000,148.617
1720947603210000000,149.071
1720947603220000000,142.566
1720947603230000000,152.394
1720947603240000000,152.076
1720947603250000000,145.480
1720947603260000000,145.647
1720947603270000000,156.975
1720947603280000000,143.377
1720947603290000000,156.216
1720947603300000000,163.186
1720947603310000000,154.855
1720947603320000000,158.542
1720947603330000000,149.378
1720947603340000000,142.882
1720947603350000000,161.281
1720947603360000000,155.147
1720947603370000000,159.452
1720947603380000000,143.799
1720947603390000000,156.545
1720947603400000000,156.707
1720947603410000000,164.286
1720947603420000000,157.180
1720947603430000000,151.468
1720947603440000000,162.724
1720947603450000000,163.464
1720947603460000000,155.016
1720947603470000000,154.986
1720947603480000000,149.111
1720947603490000000,157.524
1720947603500000000,153.513
1720947603510000000,165.440
1720947603520000000,176.825
1720947603530000000,145.215
1720947603540000000,147.314
1720947603550000000,175.687
1720947603560000000,160.495
1720947603570000000,153.811
1720947603580000000,159.836
1720947603590000000,167.262
1720947603600000000,171.737
1720947603610000000,155.548
1720947603620000000,161.445
1720947603630000000,165.063
1720947603640000000,173.110
1720947603650000000,168.983
1720947603660000000,167.195
1720947603670000000,158.321
1720947603680000000,165.902
1720947603690000000,172.328
1720947603700000000,172.655
1720947603710000000,157.855
1720947603720000000,164.016
1720947603730000000,168.850
1720947603740000000,166.857
1720947603750000000,166.249
1720947603760000000,172.356
1720947603770000000,153.283
1720947603780000000,166.992
1720947603790000000,162.368
1720947603800000000,156.766
1720947603810000000,170.635
1720947603820000000,170.423
1720947603830000000,180.023
1720947603840000000,181.526
1720947603850000000,175.077
1720947603860000000,170.715
1720947603870000000,178.790
1720947603880000000,168.994
1720947603890000000,176.850
1720947603900000000,169.876
1720947603910000000,187.399
1720947603920000000,170.106
1720947603930000000,175.356
1720947603940000000,177.328
1720947603950000000,168.511
1720947603960000000,166.078
1720947603970000000,182.295
1720947603980000000,176.161
1720947603990000000,173.835
1720947604000000000,170.701
1720947604010000000,175.235
1720947604019999999,168.098
1720947604030000000,175.793
1720947604040000000,172.865
1720947604050000000,178.861
1720947604059999999,184.588
1720947604070000000,182.385
1720947604080000000,178.413
1720947604090000000,184.581
1720947604099999999,170.836
1720947604110000000,186.507
1720947604120000000,171.410
1720947604130000000,187.875
1720947604139999999,174.942
1720947604150000000,190.283
1720947604160000000,171.280
1720947604170000000,186.522
1720947604179999999,188.393
1720947604190000000,183.848
1720947604200000000,191.163
1720947604210000000,190.271
1720947604219999999,187.320
1720947604230000000,194.136
1720947604240000000,192.460
1720947604250000000,184.916
1720947604260000000,192.792
1720947604269999999,194.980
1720947604280000000,188.990
