timestamp_ns,value_K
1721206800000000000,300.67
1721206800010000000,301.00
1721206800020000000,299.65
1721206800030000000,301.10
1721206800040000000,298.98
1721206800050000000,300.55
1721206800060000000,302.36
1721206800070000000,298.16
1721206800080000000,300.68
1721206800090000000,297.35
1721206800100000000,300.88
1721206800110000000,298.80
1721206800120000000,301.51
1721206800130000000,300.85
1721206800140000000,301.60
1721206800150000000,300.47
1721206800160000000,299.80
1721206800170000000,298.59
1721206800180000000,299.80
1721206800190000000,299.88
1721206800200000000,299.36
1721206800210000000,298.80
1721206800220000000,299.88
1721206800230000000,298.52
1721206800240000000,300.19
1721206800250000000,301.33
1721206800260000000,298.76
1721206800270000000,299.91
1721206800280000000,301.10
1721206800290000000,301.04
1721206800300000000,301.34
1721206800310000000,300.51
1721206800320000000,298.17
1721206800330000000,301.42
1721206800340000000,301.32
1721206800350000000,299.09
1721206800360000000,301.53
1721206800370000000,298.78
1721206800380000000,298.02
1721206800390000000,300.61
1721206800400000000,298.90
1721206800410000000,301.10
1721206800420000000,300.98
1721206800430000000,300.06
1721206800440000000,299.70
1721206800450000000,301.80
1721206800460000000,301.98
1721206800470000000,299.03
1721206800480000000,301.91
1721206800490000000,300.89
1721206800500000000,299.20
1721206800510000000,299.24
1721206800520000000,298.86
1721206800530000000,299.34
1721206800540000000,300.31
1721206800550000000,298.49
1721206800560000000,301.12
1721206800570000000,301.17
1721206800580000000,300.98
1721206800590000000,299.40
1721206800600000000,298.41
1721206800610000000,299.26
1721206800620000000,298.84
1721206800630000000,299.53
1721206800640000000,300.89
1721206800650000000,298.49
1721206800660000000,299.38
1721206800670000000,300.88
1721206800680000000,299.19
1721206800690000000,300.83
1721206800700000000,299.81
1721206800710000000,300.34
1721206800720000000,300.55
1721206800730000000,299.71
1721206800740000000,297.50
1721206800750000000,301.61
1721206800760000000,300.06
1721206800770000000,300.72
1721206800780000000,297.47
1721206800790000000,300.11
1721206800800000000,301.55
1721206800810000000,298.19
1721206800820000000,299.13
1721206800830000000,302.73
1721206800840000000,300.67
1721206800850000000,300.45
1721206800860000000,301.52
1721206800870000000,300.88
1721206800880000000,301.04
1721206800890000000,299.67
1721206800900000000,298.26
1721206800910000000,300.86
1721206800920000000,298.37
1721206800930000000,298.58
1721206800940000000,299.45
1721206800950000000,301.15
1721206800960000000,299.42
1721206800970000000,300.70
1721206800980000000,299.86
1721206800990000000,299.09
1721206801000000000,300.29
1721206801010000000,299.21
1721206801020000000,300.53
1721206801030000000,299.87
1721206801040000000,300.50
1721206801050000000,299.23
1721206801060000000,298.53
1721206801070000000,303.30
1721206801080000000,299.88
1721206801090000000,301.96
1721206801100000000,298.01
1721206801110000000,299.32
1721206801120000000,300.90
1721206801130000000,299.80
1721206801140000000,299.16
1721206801150000000,301.91
1721206801160000000,299.55
1721206801170000000,298.91
1721206801180000000,299.63
1721206801190000000,302.71
1721206801200000000,298.92
1721206801210000000,300.65
1721206801220000000,300.53
1721206801230000000,299.21
1721206801240000000,299.84
1721206801250000000,298.34
1721206801260000000,301.07
1721206801270000000,298.72
1721206801280000000,300.38
1721206801290000000,300.94
1721206801300000000,297.90
1721206801310000000,301.93
1721206801320000000,298.41
1721206801330000000,300.47
1721206801340000000,300.42
1721206801350000000,302.00
1721206801360000000,301.35
1721206801370000000,300.93
1721206801380000000,299.69
1721206801390000000,298.82
1721206801400000000,301.01
1721206801410000000,298.93
1721206801420000000,300.74
1721206801430000000,300.23
1721206801440000000,299.50
1721206801450000000,300.43
1721206801460000000,299.37
1721206801470000000,298.68
1721206801480000000,299.11
1721206801490000000,299.91
1721206801500000000,300.10
1721206801510000000,300.39
1721206801520000000,301.74
1721206801530000000,300.14
1721206801540000000,301.42
1721206801550000000,300.76
1721206801560000000,301.00
1721206801570000000,300.81
1721206801580000000,300.75
1721206801590000000,301.88
1721206801600000000,297.65
1721206801610000000,297.98
1721206801620000000,298.12
1721206801630000000,297.44
1721206801640000000,299.05
1721206801650000000,299.22
1721206801660000000,299.31
1721206801670000000,300.25
1721206801680000000,301.00
1721206801690000000,299.34
1721206801700000000,299.78
1721206801710000000,299.47
1721206801720000000,299.78
1721206801730000000,296.29
1721206801740000000,297.93
1721206801750000000,299.61
1721206801760000000,300.76
1721206801770000000,300.35
1721206801780000000,296.50
1721206801790000000,299.71
1721206801800000000,299.23
1721206801810000000,298.19
1721206801820000000,299.87
1721206801830000000,301.89
1721206801840000000,301.23
1721206801850000000,300.28
1721206801860000000,299.60
1721206801870000000,299.18
1721206801880000000,298.98
1721206801890000000,298.44
1721206801900000000,299.93
1721206801910000000,300.45
1721206801920000000,298.55
1721206801930000000,299.48
1721206801940000000,300.08
1721206801950000000,300.73
1721206801960000000,298.89
1721206801970000000,298.38
1721206801980000000,301.25
1721206801990000000,300.71
1721206802000000000,300.13
1721206802009999999,298.96
1721206802020000000,299.42
1721206802029999999,299.84
1721206802040000000,305.48
1721206802049999999,308.65
1721206802060000000,306.27
1721206802069999999,306.08
1721206802080000000,301.54
1721206802089999999,305.08
1721206802100000000,307.07
1721206802109999999,306.97
1721206802120000000,311.63
1721206802130000000,307.39
1721206802140000000,309.15
1721206802150000000,317.62
1721206802160000000,307.66
1721206802170000000,309.99
1721206802180000000,313.66
1721206802190000000,315.21
1721206802200000000,309.57
1721206802210000000,312.99
1721206802220000000,315.50
1721206802230000000,319.19
1721206802240000000,319.23
1721206802250000000,320.12
1721206802260000000,319.29
1721206802270000000,316.46
1721206802280000000,315.29
1721206802290000000,318.52
1721206802300000000,320.72
1721206802310000000,318.32
1721206802320000000,319.87
1721206802330000000,319.65
1721206802340000000,321.28
1721206802350000000,322.71
1721206802360000000,327.14
1721206802370000000,320.66
1721206802380000000,327.09
1721206802390000000,326.16
1721206802400000000,320.94
1721206802410000000,330.39
1721206802420000000,329.80
1721206802430000000,327.68
1721206802440000000,325.43
1721206802450000000,331.83
1721206802460000000,325.10
1721206802470000000,328.80
1721206802480000000,333.49
1721206802490000000,329.91
1721206802500000000,330.67
1721206802510000000,332.86
1721206802520000000,332.45
1721206802530000000,329.77
1721206802540000000,337.73
1721206802550000000,334.82
1721206802560000000,336.62
1721206802570000000,335.99
1721206802580000000,340.36
1721206802590000000,340.33
1721206802600000000,346.38
1721206802610000000,340.14
1721206802620000000,335.03
1721206802630000000,341.34
1721206802640000000,342.28
1721206802650000000,345.96
1721206802660000000,343.90
1721206802670000000,347.95
1721206802680000000,349.70
1721206802690000000,342.33
1721206802700000000,347.14
1721206802710000000,343.88
1721206802720000000,352.03
1721206802730000000,349.98
1721206802740000000,351.09
1721206802750000000,345.61
1721206802760000000,349.86
1721206802770000000,347.83
1721206802780000000,357.52
1721206802790000000,352.87
1721206802800000000,350.49
1721206802810000000,358.11
1721206802820000000,359.03
1721206802830000000,353.45
1721206802840000000,354.69
1721206802850000000,356.47
1721206802860000000,359.03
1721206802870000000,355.97
1721206802880000000,360.13
1721206802890000000,359.98
1721206802900000000,358.41
1721206802910000000,356.12
1721206802920000000,356.86
1721206802930000000,357.77
1721206802940000000,362.43
1721206802950000000,360.30
1721206802960000000,361.66
1721206802970000000,364.57
1721206802980000000,362.65
1721206802990000000,364.42
1721206803000000000,374.43
