timestamp_ns,value_K
1721725200000000000,300.45
1721725200010000000,301.32
1721725200020000000,295.61
1721725200030000000,305.89
1721725200040000000,293.15
1721725200050000000,303.55
1721725200060000000,301.46
1721725200070000000,304.72
1721725200080000000,304.01
1721725200090000000,302.17
1721725200100000000,296.83
1721725200110000000,296.80
1721725200120000000,291.76
1721725200130000000,298.10
1721725200140000000,302.01
1721725200150000000,303.22
1721725200160000000,297.82
1721725200170000000,300.14
1721725200180000000,292.67
1721725200190000000,299.20
1721725200200000000,298.81
1721725200210000000,304.10
1721725200220000000,294.40
1721725200230000000,306.95
1721725200240000000,296.95
1721725200250000000,297.30
1721725200260000000,302.33
1721725200270000000,299.21
1721725200280000000,295.31
1721725200290000000,303.01
1721725200300000000,301.85
1721725200310000000,304.34
1721725200320000000,301.90
1721725200330000000,298.39
1721725200340000000,306.20
1721725200350000000,302.38
1721725200360000000,304.43
1721725200370000000,296.05
1721725200380000000,298.04
1721725200390000000,310.46
1721725200400000000,297.92
1721725200410000000,301.35
1721725200420000000,294.80
1721725200430000000,297.34
1721725200440000000,299.69
1721725200450000000,297.96
1721725200460000000,294.20
1721725200470000000,305.48
1721725200480000000,309.30
1721725200490000000,303.11
1721725200500000000,301.46
1721725200510000000,305.09
1721725200520000000,307.40
1721725200530000000,297.32
1721725200540000000,303.70
1721725200550000000,295.93
1721725200560000000,297.12
1721725200570000000,307.30
1721725200580000000,299.78
1721725200590000000,299.74
1721725200600000000,304.67
1721725200610000000,304.59
1721725200620000000,298.35
1721725200630000000,299.65
1721725200640000000,295.21
1721725200650000000,290.95
1721725200660000000,298.19
1721725200670000000,297.55
1721725200680000000,304.26
1721725200690000000,302.70
1721725200700000000,305.89
1721725200710000000,297.31
1721725200720000000,298.96
1721725200730000000,302.68
1721725200740000000,308.71
1721725200750000000,292.08
1721725200760000000,301.51
1721725200770000000,302.29
1721725200780000000,295.98
1721725200790000000,304.00
1721725200800000000,308.36
1721725200810000000,305.79
1721725200820000000,304.40
1721725200830000000,303.93
1721725200840000000,300.71
1721725200850000000,294.05
1721725200860000000,294.50
1721725200870000000,303.94
1721725200880000000,302.24
1721725200890000000,305.67
1721725200900000000,297.15
1721725200910000000,296.97
1721725200920000000,299.63
1721725200930000000,299.50
1721725200940000000,301.36
1721725200950000000,303.90
1721725200960000000,297.36
1721725200970000000,302.95
1721725200980000000,296.37
1721725200990000000,302.29
1721725201000000000,298.73
1721725201010000000,310.57
1721725201020000000,303.91
1721725201030000000,301.66
1721725201040000000,301.40
1721725201050000000,301.76
1721725201060000000,305.05
1721725201070000000,306.36
1721725201080000000,291.22
1721725201090000000,305.33
1721725201100000000,301.97
1721725201110000000,311.20
1721725201120000000,294.53
1721725201130000000,293.41
1721725201140000000,304.00
1721725201150000000,299.37
1721725201160000000,299.28
1721725201170000000,304.42
1721725201180000000,308.07
1721725201190000000,305.09
1721725201200000000,296.66
1721725201210000000,304.93
1721725201220000000,305.81
1721725201230000000,302.50
1721725201240000000,299.39
1721725201250000000,301.43
1721725201260000000,296.17
1721725201270000000,306.07
1721725201280000000,298.85
1721725201290000000,297.44
1721725201300000000,292.00
1721725201310000000,302.13
1721725201320000000,301.12
1721725201330000000,302.31
1721725201340000000,301.36
1721725201350000000,295.05
1721725201360000000,298.03
1721725201370000000,302.90
1721725201380000000,299.55
1721725201390000000,298.53
1721725201400000000,298.76
1721725201410000000,302.22
1721725201420000000,300.19
1721725201430000000,300.27
1721725201440000000,300.03
1721725201450000000,299.84
1721725201460000000,304.55
1721725201470000000,290.82
1721725201480000000,303.87
1721725201490000000,296.88
1721725201500000000,302.19
1721725201510000000,309.89
1721725201520000000,298.88
1721725201530000000,308.12
1721725201540000000,291.68
1721725201550000000,298.12
1721725201560000000,294.01
1721725201570000000,296.11
1721725201580000000,303.83
1721725201590000000,304.76
1721725201600000000,298.16
1721725201610000000,303.28
1721725201620000000,304.83
1721725201630000000,303.04
1721725201640000000,295.73
1721725201650000000,296.84
1721725201660000000,304.81
1721725201670000000,300.41
1721725201680000000,294.43
1721725201690000000,299.53
1721725201700000000,301.48
1721725201710000000,300.12
1721725201720000000,299.58
1721725201730000000,295.50
1721725201740000000,295.71
1721725201750000000,297.18
1721725201760000000,295.42
1721725201770000000,306.21
1721725201780000000,299.10
1721725201790000000,298.98
1721725201800000000,306.56
1721725201810000000,308.55
1721725201820000000,290.92
1721725201830000000,297.59
1721725201840000000,306.58
1721725201850000000,294.71
1721725201860000000,303.61
1721725201870000000,297.79
1721725201880000000,299.23
1721725201890000000,299.85
1721725201900000000,307.99
1721725201910000000,302.04
1721725201920000000,299.13
1721725201930000000,307.73
1721725201940000000,304.56
1721725201950000000,296.52
1721725201960000000,296.28
1721725201970000000,300.02
1721725201980000000,287.61
1721725201990000000,304.58
1721725202000000000,299.34
1721725202009999999,305.76
1721725202020000000,306.24
1721725202029999999,315.71
1721725202040000000,326.25
1721725202049999999,335.54
1721725202060000000,369.74
1721725202069999999,359.30
1721725202080000000,371.71
1721725202089999999,380.98
1721725202100000000,389.53
1721725202109999999,403.11
1721725202120000000,412.00
1721725202130000000,413.93
1721725202140000000,406.39
1721725202150000000,436.35
1721725202160000000,443.49
1721725202170000000,462.80
1721725202180000000,470.78
1721725202190000000,483.11
1721725202200000000,467.21
1721725202210000000,486.69
1721725202220000000,494.14
1721725202230000000,510.71
1721725202240000000,510.93
1721725202250000000,502.04
1721725202260000000,538.16
1721725202270000000,536.06
1721725202280000000,559.05
1721725202290000000,551.51
1721725202300000000,567.44
1721725202310000000,558.80
1721725202320000000,598.40
1721725202330000000,596.21
1721725202340000000,598.77
1721725202350000000,627.70
1721725202360000000,616.26
1721725202370000000,635.25
1721725202380000000,634.99
1721725202390000000,650.34
1721725202400000000,672.65
1721725202410000000,671.65
1721725202420000000,664.77
1721725202430000000,696.36
1721725202440000000,689.38
1721725202450000000,731.01
1721725202460000000,739.26
1721725202470000000,732.77
1721725202480000000,730.73
1721725202490000000,729.95
1721725202500000000,772.83
1721725202510000000,740.18
1721725202520000000,798.10
1721725202530000000,769.86
1721725202540000000,770.64
1721725202550000000,812.63
1721725202560000000,810.57
1721725202570000000,818.41
1721725202580000000,822.06
1721725202590000000,818.43
1721725202600000000,849.42
1721725202610000000,849.45
1721725202620000000,847.25
1721725202630000000,874.96
1721725202640000000,878.53
1721725202650000000,886.98
1721725202660000000,911.88
1721725202670000000,902.42
1721725202680000000,901.04
1721725202690000000,909.69
1721725202700000000,920.53
1721725202710000000,937.25
1721725202720000000,945.76
1721725202730000000,954.81
1721725202740000000,956.87
1721725202750000000,963.57
1721725202760000000,971.04
1721725202770000000,995.98
1721725202780000000,1020.06
1721725202790000000,1005.74
1721725202800000000,1022.92
1721725202810000000,1033.12
1721725202820000000,1042.27
1721725202830000000,1052.75
1721725202840000000,1042.72
1721725202850000000,1077.94
1721725202860000000,1070.18
1721725202870000000,1087.01
1721725202880000000,1094.48
1721725202890000000,1110.91
1721725202900000000,1115.18
1721725202910000000,1126.68
1721725202920000000,1125.68
1721725202930000000,1128.73
1721725202940000000,1128.45
1721725202950000000,1149.82
1721725202960000000,1160.30
1721725202970000000,1206.79
1721725202980000000,1207.36
1721725202990000000,1189.75
1721725203000000000,1299.06
1721725203010000000,1299.23
1721725203020000000,1278.46
1721725203030000000,1265.33
1721725203040000000,1276.98
1721725203050000000,1289.13
1721725203060000000,1301.78
1721725203070000000,1284.08
1721725203080000000,1280.62
1721725203090000000,1263.43
1721725203100000000,1288.11
1721725203110000000,1283.60
1721725203120000000,1289.27
1721725203130000000,1293.60
1721725203140000000,1301.13
1721725203150000000,1288.62
1721725203160000000,1286.95
1721725203170000000,1295.31
1721725203180000000,1312.19
1721725203190000000,1305.68
1721725203200000000,1323.41
1721725203210000000,1312.84
1721725203220000000,1293.89
1721725203230000000,1316.60
1721725203240000000,1312.42
1721725203250000000,1292.47
1721725203260000000,1310.39
1721725203270000000,1320.71
1721725203280000000,1310.16
1721725203290000000,1306.43
1721725203300000000,1327.35
1721725203310000000,1312.73
1721725203320000000,1336.37
1721725203330000000,1338.48
1721725203340000000,1323.40
1721725203350000000,1316.23
1721725203360000000,1341.51
1721725203370000000,1328.44
1721725203380000000,1337.61
1721725203390000000,1338.68
1721725203400000000,1324.61
1721725203410000000,1346.50
1721725203420000000,1331.83
1721725203430000000,1346.42
1721725203440000000,1340.77
1721725203450000000,1350.86
1721725203460000000,1359.25
1721725203470000000,1363.60
1721725203480000000,1353.91
1721725203490000000,1380.11
1721725203500000000,1348.45
1721725203510000000,1360.02
1721725203520000000,1333.82
1721725203530000000,1375.52
1721725203540000000,1369.78
1721725203550000000,1362.78
1721725203560000000,1380.49
1721725203570000000,1374.34
1721725203580000000,1364.95
1721725203590000000,1377.46
1721725203600000000,1363.63
1721725203610000000,1355.36
1721725203620000000,1355.92
1721725203630000000,1411.11
1721725203640000000,1395.91
1721725203650000000,1394.28
1721725203660000000,1368.04
1721725203670000000,1384.02
1721725203680000000,1392.82
1721725203690000000,1402.00
1721725203700000000,1388.69
1721725203710000000,1378.10
1721725203720000000,1407.90
1721725203730000000,1376.07
1721725203740000000,1400.00
1721725203750000000,1411.00
1721725203760000000,1404.69
1721725203770000000,1424.46
1721725203780000000,1425.06
1721725203790000000,1423.35
1721725203800000000,1409.94
1721725203810000000,1411.05
1721725203820000000,1414.69
1721725203830000000,1448.19
1721725203840000000,1425.94
1721725203850000000,1439.31
1721725203860000000,1457.84
1721725203870000000,1469.40
1721725203880000000,1447.07
1721725203890000000,1453.53
1721725203900000000,1457.61
1721725203910000000,1430.07
1721725203920000000,1461.89
1721725203930000000,1459.71
1721725203940000000,1454.01
1721725203950000000,1458.65
1721725203960000000,1453.13
1721725203970000000,1497.43
1721725203980000000,1479.61
1721725203990000000,1499.49
1721725204000000000,1491.27
1721725204010000000,1480.00
1721725204019999999,1464.66
1721725204030000000,1515.76
1721725204040000000,1501.22
1721725204050000000,1480.71
1721725204059999999,1487.69
1721725204070000000,1503.77
1721725204080000000,1506.09
1721725204090000000,1528.30
1721725204099999999,1519.20
1721725204110000000,1503.39
1721725204120000000,1545.08
1721725204130000000,1542.76
1721725204139999999,1551.82
1721725204150000000,1545.47
1721725204160000000,1529.95
1721725204170000000,1551.13
1721725204179999999,1552.88
1721725204190000000,1541.49
1721725204200000000,1562.24
1721725204210000000,1561.20
1721725204219999999,1565.38
1721725204230000000,1551.89
1721725204240000000,1549.85
1721725204250000000,1575.34
1721725204260000000,1593.01
1721725204269999999,1581.76
1721725204280000000,1567.87
1721725204290000000,1593.70
1721725204300000000,1594.17
1721725204310000000,1588.64
1721725204320000000,1596.97
1721725204330000000,1599.24
1721725204340000000,1612.20
1721725204350000000,1633.59
1721725204360000000,1624.14
1721725204370000000,1632.94
1721725204380000000,1648.26
1721725204390000000,1636.63
1721725204400000000,1627.69
1721725204410000000,1650.73
1721725204420000000,1653.84
1721725204430000000,1657.01
1721725204440000000,1681.62
1721725204450000000,1669.12
1721725204460000000,1645.32
1721725204470000000,1667.67
1721725204480000000,1660.18
1721725204490000000,1669.01
1721725204500000000,1689.35
1721725204510000000,1692.07
1721725204520000000,1684.65
1721725204530000000,1701.00
1721725204540000000,1691.86
1721725204550000000,1708.42
1721725204560000000,1729.10
1721725204570000000,1748.29
1721725204580000000,1730.76
1721725204590000000,1731.39
1721725204600000000,1749.18
1721725204610000000,1746.89
1721725204620000000,1741.91
1721725204630000000,1732.52
1721725204640000000,1776.28
1721725204650000000,1778.71
1721725204660000000,1762.39
1721725204670000000,1768.18
1721725204680000000,1768.08
1721725204690000000,1782.32
1721725204700000000,1791.81
1721725204710000000,1803.19
1721725204720000000,1820.47
1721725204730000000,1809.12
1721725204740000000,1802.13
1721725204750000000,1836.85
1721725204760000000,1828.95
1721725204770000000,1846.30
1721725204780000000,1850.03
1721725204790000000,1856.10
1721725204800000000,1865.79
1721725204810000000,1831.43
1721725204820000000,1870.50
1721725204830000000,1869.36
1721725204840000000,1881.71
1721725204850000000,1874.91
1721725204860000000,1905.32
1721725204870000000,1876.37
1721725204880000000,1898.94
1721725204890000000,1912.02
1721725204900000000,1922.17
1721725204910000000,1916.90
1721725204920000000,1921.04
1721725204930000000,1938.19
1721725204940000000,1932.35
1721725204950000000,1953.50
1721725204960000000,1947.69
1721725204970000000,1927.83
1721725204980000000,1956.16
1721725204990000000,1978.61
1721725205000000000,1979.45
1721725205010000000,1981.07
1721725205020000000,1997.69
1721725205030000000,2011.29
1721725205040000000,1999.71
1721725205050000000,2029.38
1721725205060000000,2027.06
1721725205070000000,2033.26
1721725205080000000,2035.67
1721725205090000000,2049.47
1721725205100000000,2047.24
1721725205110000000,2059.70
1721725205120000000,2067.35
1721725205130000000,2073.05
1721725205140000000,2080.97
1721725205150000000,2053.70
1721725205160000000,2075.12
1721725205170000000,2083.63
