timestamp_ns,value_K
1721725200000000000,288.26
1721725200010000000,302.81
1721725200020000000,311.21
1721725200030000000,302.77
1721725200040000000,305.16
1721725200050000000,300.25
1721725200060000000,291.76
1721725200070000000,297.50
1721725200080000000,303.96
1721725200090000000,304.93
1721725200100000000,295.68
1721725200110000000,297.73
1721725200120000000,300.18
1721725200130000000,299.38
1721725200140000000,299.47
1721725200150000000,295.38
1721725200160000000,307.45
1721725200170000000,291.36
1721725200180000000,307.33
1721725200190000000,301.67
1721725200200000000,298.72
1721725200210000000,305.58
1721725200220000000,303.52
1721725200230000000,303.40
1721725200240000000,299.02
1721725200250000000,307.14
1721725200260000000,290.41
1721725200270000000,305.57
1721725200280000000,295.80
1721725200290000000,308.77
1721725200300000000,297.99
1721725200310000000,297.17
1721725200320000000,305.98
1721725200330000000,295.63
1721725200340000000,303.12
1721725200350000000,297.04
1721725200360000000,302.72
1721725200370000000,298.53
1721725200380000000,300.32
1721725200390000000,290.62
1721725200400000000,297.41
1721725200410000000,295.97
1721725200420000000,297.79
1721725200430000000,310.74
1721725200440000000,295.70
1721725200450000000,292.84
1721725200460000000,295.64
1721725200470000000,306.07
1721725200480000000,301.02
1721725200490000000,290.05
1721725200500000000,303.64
1721725200510000000,301.91
1721725200520000000,290.46
1721725200530000000,304.23
1721725200540000000,307.44
1721725200550000000,294.51
1721725200560000000,299.37
1721725200570000000,308.04
1721725200580000000,299.21
1721725200590000000,292.63
1721725200600000000,297.77
1721725200610000000,297.63
1721725200620000000,301.51
1721725200630000000,292.73
1721725200640000000,299.73
1721725200650000000,292.18
1721725200660000000,299.18
1721725200670000000,307.33
1721725200680000000,296.80
1721725200690000000,295.15
1721725200700000000,302.48
1721725200710000000,297.16
1721725200720000000,296.13
1721725200730000000,296.14
1721725200740000000,288.88
1721725200750000000,301.86
1721725200760000000,298.91
1721725200770000000,304.14
1721725200780000000,307.18
1721725200790000000,296.94
1721725200800000000,292.97
1721725200810000000,294.34
1721725200820000000,304.14
1721725200830000000,290.87
1721725200840000000,309.50
1721725200850000000,298.36
1721725200860000000,293.99
1721725200870000000,300.50
1721725200880000000,296.17
1721725200890000000,293.03
1721725200900000000,301.21
1721725200910000000,294.68
1721725200920000000,296.36
1721725200930000000,293.75
1721725200940000000,304.82
1721725200950000000,295.06
1721725200960000000,295.23
1721725200970000000,286.71
1721725200980000000,313.85
1721725200990000000,299.16
1721725201000000000,309.30
1721725201010000000,293.92
1721725201020000000,288.47
1721725201030000000,299.09
1721725201040000000,295.46
1721725201050000000,300.11
1721725201060000000,295.53
1721725201070000000,307.36
1721725201080000000,289.33
1721725201090000000,308.19
1721725201100000000,299.28
1721725201110000000,303.64
1721725201120000000,310.50
1721725201130000000,305.43
1721725201140000000,294.46
1721725201150000000,293.57
1721725201160000000,296.56
1721725201170000000,300.04
1721725201180000000,308.27
