timestamp_ns,value_bar
1722243600000000000,0.000
1722243600010000000,0.413
1722243600020000000,0.000
1722243600030000000,0.000
1722243600040000000,0.118
1722243600050000000,0.243
1722243600060000000,0.028
1722243600070000000,0.075
1722243600080000000,0.198
1722243600090000000,0.281
1722243600100000000,0.040
1722243600110000000,0.000
1722243600120000000,0.299
1722243600130000000,0.086
1722243600140000000,0.000
1722243600150000000,0.098
1722243600160000000,0.000
1722243600170000000,0.384
1722243600180000000,0.000
1722243600190000000,0.142
1722243600200000000,0.018
1722243600210000000,0.113
1722243600220000000,0.158
1722243600230000000,0.455
1722243600240000000,0.000
1722243600250000000,0.000
1722243600260000000,0.000
1722243600270000000,0.000
1722243600280000000,0.000
1722243600290000000,0.027
1722243600300000000,0.000
1722243600310000000,0.032
1722243600320000000,0.000
1722243600330000000,0.000
1722243600340000000,0.000
1722243600350000000,0.159
1722243600360000000,0.324
1722243600370000000,0.210
1722243600380000000,0.000
1722243600390000000,0.104
1722243600400000000,0.000
1722243600410000000,0.000
1722243600420000000,0.000
1722243600430000000,0.000
1722243600440000000,0.000
1722243600450000000,0.000
1722243600460000000,0.000
1722243600470000000,0.073
1722243600480000000,0.000
1722243600490000000,0.000
1722243600500000000,0.232
1722243600510000000,0.242
1722243600520000000,0.045
1722243600530000000,0.309
1722243600540000000,0.000
1722243600550000000,0.129
1722243600560000000,0.508
1722243600570000000,0.395
1722243600580000000,0.375
1722243600590000000,0.000
1722243600600000000,0.000
1722243600610000000,0.000
1722243600620000000,0.068
1722243600630000000,0.086
1722243600640000000,0.618
1722243600650000000,0.000
1722243600660000000,0.067
1722243600670000000,0.045
1722243600680000000,0.000
1722243600690000000,0.412
1722243600700000000,0.328
1722243600710000000,0.370
1722243600720000000,0.152
1722243600730000000,0.000
1722243600740000000,0.000
1722243600750000000,0.000
1722243600760000000,0.313
1722243600770000000,0.000
1722243600780000000,0.000
1722243600790000000,0.000
1722243600800000000,0.354
1722243600810000000,0.036
1722243600820000000,0.162
1722243600830000000,0.482
1722243600840000000,0.000
1722243600850000000,0.000
1722243600860000000,0.029
1722243600870000000,0.114
1722243600880000000,0.428
1722243600890000000,0.000
1722243600900000000,0.000
1722243600910000000,0.000
1722243600920000000,0.247
1722243600930000000,0.000
1722243600940000000,0.236
1722243600950000000,0.000
1722243600960000000,0.000
1722243600970000000,0.000
1722243600980000000,0.172
1722243600990000000,0.000
1722243601000000000,0.000
1722243601010000000,0.273
1722243601020000000,0.188
1722243601030000000,0.158
1722243601040000000,0.036
1722243601050000000,0.000
1722243601060000000,0.000
1722243601070000000,0.000
1722243601080000000,0.155
1722243601090000000,0.212
1722243601100000000,0.078
1722243601110000000,0.305
1722243601120000000,0.000
1722243601130000000,0.037
1722243601140000000,0.000
1722243601150000000,0.000
1722243601160000000,0.000
1722243601170000000,0.000
1722243601180000000,0.000
1722243601190000000,0.000
1722243601200000000,0.174
1722243601210000000,0.000
1722243601220000000,0.000
1722243601230000000,0.000
1722243601240000000,0.170
1722243601250000000,0.000
1722243601260000000,0.174
1722243601270000000,0.000
1722243601280000000,0.000
1722243601290000000,0.000
1722243601300000000,0.276
1722243601310000000,0.166
1722243601320000000,0.081
1722243601330000000,0.000
1722243601340000000,0.353
1722243601350000000,0.000
1722243601360000000,0.317
1722243601370000000,0.498
1722243601380000000,0.000
1722243601390000000,0.000
1722243601400000000,0.059
1722243601410000000,0.000
1722243601420000000,0.000
1722243601430000000,0.000
1722243601440000000,0.144
1722243601450000000,0.000
1722243601460000000,0.137
1722243601470000000,0.000
1722243601480000000,0.133
1722243601490000000,0.069
1722243601500000000,0.081
1722243601510000000,0.000
1722243601520000000,0.000
1722243601530000000,0.000
1722243601540000000,0.104
1722243601550000000,0.220
1722243601560000000,0.344
1722243601570000000,0.000
1722243601580000000,0.251
1722243601590000000,0.113
1722243601600000000,0.123
1722243601610000000,0.025
1722243601620000000,0.000
1722243601630000000,0.000
1722243601640000000,0.000
1722243601650000000,0.297
1722243601660000000,0.638
1722243601670000000,0.000
1722243601680000000,0.217
1722243601690000000,0.008
1722243601700000000,0.099
1722243601710000000,0.409
1722243601720000000,0.000
1722243601730000000,0.000
1722243601740000000,0.590
1722243601750000000,0.665
1722243601760000000,0.024
1722243601770000000,0.000
1722243601780000000,0.400
1722243601790000000,0.000
1722243601800000000,0.000
1722243601810000000,0.114
1722243601820000000,0.038
1722243601830000000,0.000
1722243601840000000,0.000
1722243601850000000,0.000
1722243601860000000,0.000
