timestamp_ns,value_bar
1722243600000000000,0.040
1722243600010000000,0.030
1722243600020000000,0.056
1722243600030000000,0.000
1722243600040000000,0.000
1722243600050000000,0.000
1722243600060000000,0.054
1722243600070000000,0.078
1722243600080000000,0.188
1722243600090000000,0.000
1722243600100000000,0.000
1722243600110000000,0.000
1722243600120000000,0.000
1722243600130000000,0.090
1722243600140000000,0.063
1722243600150000000,0.025
1722243600160000000,0.000
1722243600170000000,0.028
1722243600180000000,0.000
1722243600190000000,0.118
1722243600200000000,0.072
1722243600210000000,0.000
1722243600220000000,0.000
1722243600230000000,0.000
1722243600240000000,0.036
1722243600250000000,0.000
1722243600260000000,0.023
1722243600270000000,0.000
1722243600280000000,0.000
1722243600290000000,0.057
1722243600300000000,0.000
1722243600310000000,0.007
1722243600320000000,0.094
1722243600330000000,0.073
1722243600340000000,0.000
1722243600350000000,0.004
1722243600360000000,0.061
1722243600370000000,0.018
1722243600380000000,0.000
1722243600390000000,0.016
1722243600400000000,0.000
1722243600410000000,0.000
1722243600420000000,0.060
1722243600430000000,0.000
1722243600440000000,0.038
1722243600450000000,0.032
1722243600460000000,0.000
1722243600470000000,0.000
1722243600480000000,0.000
1722243600490000000,0.004
1722243600500000000,0.000
1722243600510000000,0.000
1722243600520000000,0.000
1722243600530000000,0.068
1722243600540000000,0.059
1722243600550000000,0.000
1722243600560000000,0.000
1722243600570000000,0.106
1722243600580000000,0.000
1722243600590000000,0.035
1722243600600000000,0.036
1722243600610000000,0.000
1722243600620000000,0.000
1722243600630000000,0.020
1722243600640000000,0.000
1722243600650000000,0.000
1722243600660000000,0.003
1722243600670000000,0.044
1722243600680000000,0.000
1722243600690000000,0.000
1722243600700000000,0.000
1722243600710000000,0.074
1722243600720000000,0.000
1722243600730000000,0.000
1722243600740000000,0.030
1722243600750000000,0.005
1722243600760000000,0.063
1722243600770000000,0.017
1722243600780000000,0.000
1722243600790000000,0.000
1722243600800000000,0.000
1722243600810000000,0.000
1722243600820000000,0.014
1722243600830000000,0.027
1722243600840000000,0.000
1722243600850000000,0.000
1722243600860000000,0.000
1722243600870000000,0.052
1722243600880000000,0.000
1722243600890000000,0.000
1722243600900000000,0.067
1722243600910000000,0.036
1722243600920000000,0.000
