timestamp_ns,value_K
1722502800000000000,299.77
1722502800010000000,300.14
1722502800020000000,300.18
1722502800030000000,299.51
1722502800040000000,300.22
1722502800050000000,299.76
1722502800060000000,300.73
1722502800070000000,300.11
1722502800080000000,300.38
1722502800090000000,299.58
1722502800100000000,300.23
1722502800110000000,300.43
1722502800120000000,300.07
1722502800130000000,300.07
1722502800140000000,299.99
1722502800150000000,299.85
1722502800160000000,299.73
1722502800170000000,300.27
1722502800180000000,299.54
1722502800190000000,300.17
1722502800200000000,300.08
1722502800210000000,299.58
1722502800220000000,299.87
1722502800230000000,299.68
1722502800240000000,299.85
1722502800250000000,300.21
1722502800260000000,299.96
1722502800270000000,300.23
1722502800280000000,299.86
1722502800290000000,299.95
1722502800300000000,299.68
1722502800310000000,300.23
1722502800320000000,299.64
1722502800330000000,300.18
1722502800340000000,299.60
1722502800350000000,299.79
1722502800360000000,299.61
1722502800370000000,299.59
1722502800380000000,299.80
1722502800390000000,300.25
1722502800400000000,300.03
1722502800410000000,299.83
1722502800420000000,300.01
1722502800430000000,299.90
1722502800440000000,300.60
1722502800450000000,300.24
1722502800460000000,300.07
1722502800470000000,299.83
1722502800480000000,299.76
1722502800490000000,299.67
1722502800500000000,299.85
1722502800510000000,299.83
1722502800520000000,300.24
1722502800530000000,299.94
1722502800540000000,300.02
1722502800550000000,299.90
1722502800560000000,300.00
1722502800570000000,300.10
1722502800580000000,299.58
1722502800590000000,300.61
1722502800600000000,299.86
1722502800610000000,300.03
1722502800620000000,300.37
1722502800630000000,299.90
1722502800640000000,299.59
1722502800650000000,299.81
1722502800660000000,299.81
1722502800670000000,299.77
1722502800680000000,300.10
1722502800690000000,299.86
1722502800700000000,299.69
1722502800710000000,300.13
1722502800720000000,299.70
1722502800730000000,299.68
1722502800740000000,300.53
1722502800750000000,300.04
1722502800760000000,300.12
1722502800770000000,300.39
1722502800780000000,299.74
1722502800790000000,299.60
1722502800800000000,300.64
1722502800810000000,300.33
1722502800820000000,300.28
1722502800830000000,300.07
1722502800840000000,300.11
1722502800850000000,300.33
1722502800860000000,299.79
1722502800870000000,299.84
1722502800880000000,299.96
1722502800890000000,300.30
1722502800900000000,300.01
1722502800910000000,299.90
1722502800920000000,299.32
1722502800930000000,299.71
1722502800940000000,300.45
1722502800950000000,299.74
1722502800960000000,299.99
1722502800970000000,299.44
1722502800980000000,299.94
1722502800990000000,299.87
1722502801000000000,300.07
1722502801010000000,299.95
1722502801020000000,299.54
1722502801030000000,300.33
1722502801040000000,300.45
1722502801050000000,299.74
1722502801060000000,300.11
1722502801070000000,300.63
1722502801080000000,300.18
1722502801090000000,299.96
1722502801100000000,300.25
1722502801110000000,299.90
1722502801120000000,299.73
1722502801130000000,299.92
1722502801140000000,300.14
1722502801150000000,300.64
1722502801160000000,299.75
1722502801170000000,300.05
1722502801180000000,300.00
1722502801190000000,300.10
1722502801200000000,300.02
1722502801210000000,299.55
1722502801220000000,299.98
1722502801230000000,300.23
1722502801240000000,300.38
1722502801250000000,300.38
1722502801260000000,300.00
1722502801270000000,300.26
1722502801280000000,300.73
1722502801290000000,300.18
1722502801300000000,300.04
1722502801310000000,299.87
1722502801320000000,300.11
1722502801330000000,299.60
1722502801340000000,300.16
1722502801350000000,299.84
1722502801360000000,300.44
1722502801370000000,300.00
1722502801380000000,299.94
1722502801390000000,300.58
1722502801400000000,299.87
1722502801410000000,299.88
1722502801420000000,299.57
1722502801430000000,299.34
1722502801440000000,299.63
1722502801450000000,299.56
1722502801460000000,300.12
1722502801470000000,300.35
1722502801480000000,300.21
1722502801490000000,299.56
1722502801500000000,299.76
1722502801510000000,300.35
1722502801520000000,300.06
1722502801530000000,300.48
1722502801540000000,300.01
1722502801550000000,300.09
1722502801560000000,299.99
1722502801570000000,299.95
1722502801580000000,300.47
1722502801590000000,299.64
1722502801600000000,300.44
1722502801610000000,300.22
1722502801620000000,299.76
1722502801630000000,299.85
1722502801640000000,300.22
1722502801650000000,300.10
1722502801660000000,300.06
1722502801670000000,300.13
1722502801680000000,300.19
1722502801690000000,299.87
1722502801700000000,300.14
1722502801710000000,300.19
1722502801720000000,300.47
1722502801730000000,300.16
1722502801740000000,300.12
1722502801750000000,300.16
1722502801760000000,300.24
1722502801770000000,299.62
1722502801780000000,300.12
1722502801790000000,300.05
1722502801800000000,299.75
1722502801810000000,299.15
1722502801820000000,299.91
1722502801830000000,300.72
1722502801840000000,300.20
1722502801850000000,299.99
1722502801860000000,299.62
1722502801870000000,299.75
1722502801880000000,300.16
1722502801890000000,299.73
1722502801900000000,299.97
1722502801910000000,300.47
1722502801920000000,300.21
1722502801930000000,299.68
1722502801940000000,299.97
1722502801950000000,299.79
1722502801960000000,299.98
1722502801970000000,300.13
1722502801980000000,300.51
1722502801990000000,299.78
1722502802000000000,299.23
1722502802009999999,298.53
1722502802020000000,297.09
1722502802029999999,298.94
1722502802040000000,297.12
1722502802049999999,297.46
1722502802060000000,296.33
1722502802069999999,295.18
1722502802080000000,293.59
1722502802089999999,294.41
1722502802100000000,295.76
1722502802109999999,293.27
1722502802120000000,293.35
1722502802130000000,290.54
1722502802140000000,291.86
1722502802150000000,291.61
1722502802160000000,290.67
1722502802170000000,290.13
1722502802180000000,288.13
1722502802190000000,287.65
1722502802200000000,287.15
1722502802210000000,286.58
1722502802220000000,286.16
1722502802230000000,285.50
1722502802240000000,285.19
1722502802250000000,284.32
1722502802260000000,284.92
1722502802270000000,282.56
1722502802280000000,280.75
1722502802290000000,281.94
1722502802300000000,281.56
1722502802310000000,280.18
1722502802320000000,280.44
1722502802330000000,280.15
1722502802340000000,278.32
1722502802350000000,278.50
1722502802360000000,277.60
1722502802370000000,276.96
1722502802380000000,276.05
1722502802390000000,274.95
1722502802400000000,275.54
1722502802410000000,274.40
1722502802420000000,274.02
1722502802430000000,272.84
1722502802440000000,272.53
1722502802450000000,270.79
1722502802460000000,270.74
1722502802470000000,270.18
1722502802480000000,268.27
1722502802490000000,269.12
1722502802500000000,269.10
1722502802510000000,267.26
1722502802520000000,268.19
1722502802530000000,265.97
1722502802540000000,267.11
1722502802550000000,265.49
1722502802560000000,263.71
1722502802570000000,264.40
1722502802580000000,263.68
1722502802590000000,264.44
1722502802600000000,262.76
1722502802610000000,261.74
1722502802620000000,262.04
1722502802630000000,259.36
1722502802640000000,261.28
1722502802650000000,260.75
1722502802660000000,259.46
1722502802670000000,257.93
1722502802680000000,257.22
1722502802690000000,256.85
1722502802700000000,256.12
1722502802710000000,255.47
1722502802720000000,254.80
1722502802730000000,253.61
1722502802740000000,254.41
1722502802750000000,253.96
1722502802760000000,251.24
1722502802770000000,251.35
1722502802780000000,250.23
1722502802790000000,250.70
1722502802800000000,250.02
1722502802810000000,248.48
1722502802820000000,248.50
1722502802830000000,248.71
1722502802840000000,247.94
1722502802850000000,246.15
1722502802860000000,247.35
1722502802870000000,246.62
1722502802880000000,244.21
1722502802890000000,243.47
1722502802900000000,244.86
1722502802910000000,243.40
1722502802920000000,243.38
1722502802930000000,241.56
1722502802940000000,240.89
1722502802950000000,240.27
1722502802960000000,239.85
1722502802970000000,239.42
1722502802980000000,239.52
1722502802990000000,239.08
1722502803000000000,232.91
1722502803010000000,232.74
1722502803020000000,231.77
1722502803030000000,231.01
1722502803040000000,232.41
1722502803050000000,230.62
1722502803060000000,232.70
1722502803070000000,232.05
1722502803080000000,230.56
1722502803090000000,231.17
1722502803100000000,232.11
1722502803110000000,230.94
1722502803120000000,230.75
1722502803130000000,230.40
1722502803140000000,231.02
1722502803150000000,231.64
1722502803160000000,230.60
1722502803170000000,230.48
1722502803180000000,229.79
1722502803190000000,231.14
1722502803200000000,230.20
1722502803210000000,229.61
1722502803220000000,229.63
1722502803230000000,229.89
1722502803240000000,228.95
1722502803250000000,230.02
