timestamp_ns,value_K
1723539600000000000,301.22
1723539600010000000,302.61
1723539600020000000,299.72
1723539600030000000,300.23
1723539600040000000,298.32
1723539600050000000,299.65
1723539600060000000,298.89
1723539600070000000,301.00
1723539600080000000,299.03
1723539600090000000,299.80
1723539600100000000,299.89
1723539600110000000,298.96
1723539600120000000,298.38
1723539600130000000,301.81
1723539600140000000,298.01
1723539600150000000,302.63
1723539600160000000,301.60
1723539600170000000,302.38
1723539600180000000,299.65
1723539600190000000,299.78
1723539600200000000,301.93
1723539600210000000,299.72
1723539600220000000,300.24
1723539600230000000,300.04
1723539600240000000,300.47
1723539600250000000,298.16
1723539600260000000,300.60
1723539600270000000,301.54
1723539600280000000,301.24
1723539600290000000,300.53
1723539600300000000,297.66
1723539600310000000,298.56
1723539600320000000,301.14
1723539600330000000,298.10
1723539600340000000,297.42
1723539600350000000,300.81
1723539600360000000,301.24
1723539600370000000,301.42
1723539600380000000,298.17
1723539600390000000,301.54
1723539600400000000,299.45
1723539600410000000,299.71
1723539600420000000,302.99
1723539600430000000,298.64
1723539600440000000,298.31
1723539600450000000,298.60
1723539600460000000,301.02
1723539600470000000,301.22
1723539600480000000,298.02
1723539600490000000,301.39
1723539600500000000,301.54
1723539600510000000,300.32
1723539600520000000,299.69
1723539600530000000,301.10
1723539600540000000,298.81
1723539600550000000,298.72
1723539600560000000,299.62
1723539600570000000,302.05
1723539600580000000,300.43
1723539600590000000,301.14
1723539600600000000,298.33
1723539600610000000,300.07
1723539600620000000,297.95
1723539600630000000,300.91
1723539600640000000,298.45
1723539600650000000,299.71
1723539600660000000,300.33
1723539600670000000,299.87
1723539600680000000,301.83
1723539600690000000,300.88
1723539600700000000,297.35
1723539600710000000,299.65
1723539600720000000,299.57
1723539600730000000,297.81
1723539600740000000,298.16
1723539600750000000,300.65
1723539600760000000,299.83
1723539600770000000,300.01
1723539600780000000,299.38
1723539600790000000,299.53
1723539600800000000,297.15
1723539600810000000,297.58
1723539600820000000,299.43
1723539600830000000,298.23
1723539600840000000,301.36
1723539600850000000,301.44
1723539600860000000,300.57
1723539600870000000,300.73
1723539600880000000,299.69
1723539600890000000,301.29
1723539600900000000,298.67
1723539600910000000,299.77
1723539600920000000,300.44
1723539600930000000,298.78
1723539600940000000,298.69
1723539600950000000,300.43
1723539600960000000,298.70
1723539600970000000,302.91
1723539600980000000,299.16
1723539600990000000,301.72
1723539601000000000,299.31
1723539601010000000,298.91
1723539601020000000,301.05
1723539601030000000,298.32
1723539601040000000,301.33
1723539601050000000,300.38
1723539601060000000,299.65
1723539601070000000,300.64
1723539601080000000,298.90
1723539601090000000,298.84
1723539601100000000,298.26
1723539601110000000,300.91
1723539601120000000,300.35
1723539601130000000,300.06
1723539601140000000,300.22
1723539601150000000,301.64
1723539601160000000,299.47
1723539601170000000,301.15
1723539601180000000,300.73
1723539601190000000,298.58
1723539601200000000,299.11
1723539601210000000,302.71
1723539601220000000,299.53
1723539601230000000,297.46
1723539601240000000,299.67
1723539601250000000,300.29
1723539601260000000,301.93
1723539601270000000,297.33
1723539601280000000,300.11
1723539601290000000,302.47
1723539601300000000,301.90
1723539601310000000,299.76
1723539601320000000,299.33
1723539601330000000,301.58
1723539601340000000,301.74
1723539601350000000,298.91
1723539601360000000,298.22
1723539601370000000,300.11
1723539601380000000,297.45
1723539601390000000,298.52
1723539601400000000,300.26
1723539601410000000,300.24
1723539601420000000,300.23
1723539601430000000,298.03
1723539601440000000,300.02
1723539601450000000,299.99
1723539601460000000,300.17
1723539601470000000,297.66
1723539601480000000,302.73
1723539601490000000,302.47
1723539601500000000,299.71
1723539601510000000,301.89
1723539601520000000,301.16
1723539601530000000,299.53
1723539601540000000,298.17
1723539601550000000,299.60
1723539601560000000,299.98
1723539601570000000,298.43
1723539601580000000,299.31
1723539601590000000,298.29
1723539601600000000,302.34
1723539601610000000,298.39
1723539601620000000,297.85
1723539601630000000,299.84
1723539601640000000,300.28
1723539601650000000,299.19
1723539601660000000,300.74
1723539601670000000,301.87
1723539601680000000,299.49
1723539601690000000,301.28
1723539601700000000,301.30
1723539601710000000,297.70
1723539601720000000,299.48
1723539601730000000,299.61
1723539601740000000,299.83
1723539601750000000,301.28
1723539601760000000,302.11
1723539601770000000,301.46
1723539601780000000,302.58
1723539601790000000,298.77
1723539601800000000,301.44
1723539601810000000,298.40
1723539601820000000,299.73
1723539601830000000,300.02
1723539601840000000,299.83
