timestamp_ns,value_bar
1723798800000000000,0.427
1723798800010000000,0.000
1723798800020000000,0.000
1723798800030000000,0.000
1723798800040000000,0.000
1723798800050000000,0.011
1723798800060000000,0.073
1723798800070000000,0.000
1723798800080000000,0.118
1723798800090000000,0.000
1723798800100000000,0.000
1723798800110000000,0.000
1723798800120000000,0.000
1723798800130000000,0.312
1723798800140000000,0.295
1723798800150000000,0.000
1723798800160000000,0.000
1723798800170000000,0.000
1723798800180000000,0.200
1723798800190000000,0.118
1723798800200000000,0.249
1723798800210000000,0.000
1723798800220000000,0.067
1723798800230000000,0.000
1723798800240000000,0.483
1723798800250000000,0.000
1723798800260000000,0.280
1723798800270000000,0.000
1723798800280000000,0.581
1723798800290000000,0.595
1723798800300000000,0.295
1723798800310000000,0.204
1723798800320000000,0.000
1723798800330000000,0.000
1723798800340000000,0.000
1723798800350000000,0.418
1723798800360000000,0.000
1723798800370000000,0.187
1723798800380000000,0.987
1723798800390000000,0.519
1723798800400000000,0.000
1723798800410000000,0.000
1723798800420000000,0.814
1723798800430000000,0.211
1723798800440000000,0.164
1723798800450000000,0.368
1723798800460000000,0.000
1723798800470000000,0.000
1723798800480000000,0.020
1723798800490000000,0.000
1723798800500000000,0.036
1723798800510000000,0.092
1723798800520000000,0.000
1723798800530000000,0.000
1723798800540000000,0.000
1723798800550000000,0.135
1723798800560000000,0.000
1723798800570000000,0.293
1723798800580000000,0.089
1723798800590000000,0.000
1723798800600000000,0.000
1723798800610000000,0.063
1723798800620000000,0.000
1723798800630000000,0.000
1723798800640000000,0.425
1723798800650000000,0.000
1723798800660000000,0.024
1723798800670000000,0.000
1723798800680000000,0.000
1723798800690000000,0.000
1723798800700000000,0.006
1723798800710000000,0.000
1723798800720000000,0.000
1723798800730000000,0.331
1723798800740000000,0.275
1723798800750000000,0.162
1723798800760000000,0.000
1723798800770000000,0.540
1723798800780000000,0.000
1723798800790000000,0.000
1723798800800000000,0.000
1723798800810000000,0.000
1723798800820000000,0.000
1723798800830000000,0.367
1723798800840000000,0.012
1723798800850000000,0.414
1723798800860000000,0.000
1723798800870000000,0.478
1723798800880000000,0.278
1723798800890000000,0.291
1723798800900000000,0.000
1723798800910000000,0.000
1723798800920000000,0.000
1723798800930000000,0.000
1723798800940000000,0.638
1723798800950000000,0.548
1723798800960000000,0.000
1723798800970000000,0.000
1723798800980000000,0.000
1723798800990000000,0.248
1723798801000000000,0.000
1723798801010000000,0.536
1723798801020000000,0.544
1723798801030000000,0.157
1723798801040000000,0.045
1723798801050000000,0.217
1723798801060000000,0.314
1723798801070000000,0.000
1723798801080000000,0.340
1723798801090000000,0.000
1723798801100000000,0.167
1723798801110000000,0.430
1723798801120000000,0.000
1723798801130000000,0.000
1723798801140000000,0.605
1723798801150000000,0.028
1723798801160000000,0.008
1723798801170000000,0.344
1723798801180000000,0.393
1723798801190000000,0.526
1723798801200000000,0.298
1723798801210000000,0.280
1723798801220000000,0.000
1723798801230000000,0.043
1723798801240000000,0.000
1723798801250000000,0.235
1723798801260000000,0.102
1723798801270000000,0.031
1723798801280000000,0.373
1723798801290000000,0.000
1723798801300000000,0.000
1723798801310000000,0.000
1723798801320000000,0.389
1723798801330000000,0.000
1723798801340000000,0.139
1723798801350000000,0.598
1723798801360000000,0.000
1723798801370000000,0.000
1723798801380000000,0.629
1723798801390000000,0.104
1723798801400000000,0.013
1723798801410000000,0.000
1723798801420000000,0.000
1723798801430000000,0.000
1723798801440000000,0.000
1723798801450000000,0.480
1723798801460000000,0.004
1723798801470000000,0.000
1723798801480000000,0.000
1723798801490000000,0.273
1723798801500000000,0.000
1723798801510000000,0.204
1723798801520000000,0.210
1723798801530000000,0.289
1723798801540000000,0.000
1723798801550000000,0.000
1723798801560000000,0.000
1723798801570000000,0.554
1723798801580000000,0.318
1723798801590000000,0.271
1723798801600000000,0.000
1723798801610000000,0.000
1723798801620000000,0.000
1723798801630000000,0.000
1723798801640000000,0.000
1723798801650000000,0.035
1723798801660000000,0.125
1723798801670000000,0.000
1723798801680000000,0.000
1723798801690000000,0.450
1723798801700000000,0.450
1723798801710000000,0.654
1723798801720000000,0.293
1723798801730000000,0.000
1723798801740000000,0.000
1723798801750000000,0.654
1723798801760000000,0.000
1723798801770000000,0.000
1723798801780000000,0.077
1723798801790000000,0.122
1723798801800000000,0.000
1723798801810000000,0.182
1723798801820000000,0.418
1723798801830000000,0.397
1723798801840000000,0.153
1723798801850000000,0.000
1723798801860000000,0.101
1723798801870000000,0.000
1723798801880000000,0.000
1723798801890000000,0.000
1723798801900000000,0.000
1723798801910000000,0.000
1723798801920000000,0.263
1723798801930000000,0.080
1723798801940000000,0.005
1723798801950000000,0.000
1723798801960000000,0.000
1723798801970000000,0.601
1723798801980000000,0.018
1723798801990000000,0.202
1723798802000000000,0.395
1723798802009999999,0.033
1723798802020000000,1.474
1723798802029999999,0.000
1723798802040000000,1.724
1723798802049999999,0.943
1723798802060000000,1.866
1723798802069999999,1.331
1723798802080000000,5.138
1723798802089999999,1.687
1723798802100000000,0.811
1723798802109999999,2.556
1723798802120000000,2.015
1723798802130000000,5.056
1723798802140000000,3.776
1723798802150000000,4.121
1723798802160000000,2.487
1723798802170000000,3.888
1723798802180000000,2.559
1723798802190000000,7.706
1723798802200000000,5.871
1723798802210000000,6.815
1723798802220000000,6.285
1723798802230000000,6.109
1723798802240000000,8.121
1723798802250000000,8.439
1723798802260000000,6.457
1723798802270000000,6.908
1723798802280000000,8.280
1723798802290000000,9.215
1723798802300000000,8.816
1723798802310000000,9.066
1723798802320000000,9.559
1723798802330000000,9.918
1723798802340000000,8.041
1723798802350000000,10.168
1723798802360000000,9.520
1723798802370000000,11.377
1723798802380000000,11.700
1723798802390000000,11.773
1723798802400000000,9.912
1723798802410000000,11.537
1723798802420000000,12.415
1723798802430000000,14.189
1723798802440000000,12.921
1723798802450000000,13.373
1723798802460000000,12.593
1723798802470000000,12.456
1723798802480000000,14.579
1723798802490000000,15.347
1723798802500000000,13.981
1723798802510000000,15.415
1723798802520000000,16.366
1723798802530000000,16.380
1723798802540000000,14.231
1723798802550000000,15.090
1723798802560000000,16.675
1723798802570000000,18.617
1723798802580000000,17.759
1723798802590000000,15.989
1723798802600000000,17.489
1723798802610000000,18.747
1723798802620000000,16.647
1723798802630000000,18.033
1723798802640000000,19.431
1723798802650000000,19.232
1723798802660000000,19.232
1723798802670000000,19.241
1723798802680000000,19.397
1723798802690000000,19.850
1723798802700000000,21.468
1723798802710000000,20.723
1723798802720000000,19.320
1723798802730000000,21.046
1723798802740000000,21.158
1723798802750000000,22.908
1723798802760000000,20.859
1723798802770000000,22.528
1723798802780000000,23.138
1723798802790000000,22.551
1723798802800000000,22.959
1723798802810000000,25.615
1723798802820000000,26.920
1723798802830000000,24.527
1723798802840000000,25.221
1723798802850000000,25.299
1723798802860000000,24.254
1723798802870000000,26.971
1723798802880000000,25.764
1723798802890000000,27.484
1723798802900000000,25.293
1723798802910000000,27.511
1723798802920000000,27.632
1723798802930000000,27.000
1723798802940000000,28.577
1723798802950000000,26.965
1723798802960000000,28.995
1723798802970000000,27.689
1723798802980000000,29.666
1723798802990000000,28.799
1723798803000000000,31.551
1723798803010000000,31.720
1723798803020000000,32.789
1723798803030000000,32.466
1723798803040000000,32.980
1723798803050000000,32.450
1723798803060000000,31.210
1723798803070000000,32.985
1723798803080000000,31.928
1723798803090000000,33.620
1723798803100000000,33.147
1723798803110000000,30.871
1723798803120000000,32.075
1723798803130000000,31.535
1723798803140000000,32.490
1723798803150000000,34.740
1723798803160000000,32.616
1723798803170000000,31.397
1723798803180000000,33.522
1723798803190000000,31.249
1723798803200000000,33.909
1723798803210000000,31.502
1723798803220000000,33.593
1723798803230000000,33.073
1723798803240000000,32.885
1723798803250000000,31.769
1723798803260000000,32.903
1723798803270000000,32.319
1723798803280000000,33.142
1723798803290000000,32.560
1723798803300000000,32.896
1723798803310000000,33.542
1723798803320000000,33.240
1723798803330000000,32.513
1723798803340000000,31.717
1723798803350000000,33.461
1723798803360000000,34.803
1723798803370000000,33.185
1723798803380000000,32.882
1723798803390000000,35.141
1723798803400000000,34.743
1723798803410000000,34.112
1723798803420000000,35.462
1723798803430000000,34.633
1723798803440000000,34.275
1723798803450000000,33.268
1723798803460000000,33.605
1723798803470000000,35.173
1723798803480000000,33.404
1723798803490000000,33.646
1723798803500000000,33.941
1723798803510000000,35.092
1723798803520000000,34.513
1723798803530000000,35.842
1723798803540000000,33.272
1723798803550000000,36.657
1723798803560000000,34.214
1723798803570000000,34.776
1723798803580000000,34.436
1723798803590000000,36.233
1723798803600000000,35.223
1723798803610000000,34.389
1723798803620000000,35.684
1723798803630000000,34.181
1723798803640000000,36.410
1723798803650000000,33.362
1723798803660000000,35.659
1723798803670000000,36.567
1723798803680000000,35.295
1723798803690000000,37.371
1723798803700000000,34.799
1723798803710000000,37.258
1723798803720000000,36.413
1723798803730000000,38.029
1723798803740000000,36.618
1723798803750000000,37.623
1723798803760000000,36.634
1723798803770000000,35.682
1723798803780000000,35.377
1723798803790000000,37.786
1723798803800000000,37.612
1723798803810000000,37.073
1723798803820000000,36.804
1723798803830000000,36.562
1723798803840000000,36.953
1723798803850000000,37.600
1723798803860000000,37.371
1723798803870000000,38.219
1723798803880000000,36.349
1723798803890000000,37.594
