timestamp_ns,value_bar
1723798800000000000,3.570
1723798800010000000,3.569
1723798800020000000,3.566
1723798800030000000,3.591
1723798800040000000,3.573
1723798800050000000,3.571
1723798800060000000,3.566
1723798800070000000,3.550
1723798800080000000,3.555
1723798800090000000,3.587
1723798800100000000,3.567
1723798800110000000,3.560
1723798800120000000,3.581
1723798800130000000,3.573
1723798800140000000,3.549
1723798800150000000,3.559
1723798800160000000,3.576
1723798800170000000,3.579
1723798800180000000,3.580
1723798800190000000,3.556
1723798800200000000,3.562
1723798800210000000,3.555
1723798800220000000,3.569
1723798800230000000,3.606
1723798800240000000,3.578
1723798800250000000,3.569
1723798800260000000,3.587
1723798800270000000,3.575
1723798800280000000,3.561
1723798800290000000,3.582
1723798800300000000,3.573
1723798800310000000,3.577
1723798800320000000,3.549
1723798800330000000,3.577
1723798800340000000,3.562
1723798800350000000,3.585
1723798800360000000,3.586
1723798800370000000,3.566
1723798800380000000,3.596
1723798800390000000,3.573
1723798800400000000,3.589
1723798800410000000,3.573
1723798800420000000,3.569
1723798800430000000,3.556
1723798800440000000,3.555
1723798800450000000,3.578
1723798800460000000,3.573
1723798800470000000,3.562
1723798800480000000,3.560
1723798800490000000,3.575
1723798800500000000,3.575
1723798800510000000,3.559
1723798800520000000,3.558
1723798800530000000,3.575
1723798800540000000,3.568
1723798800550000000,3.567
1723798800560000000,3.568
1723798800570000000,3.572
1723798800580000000,3.551
1723798800590000000,3.590
1723798800600000000,3.556
1723798800610000000,3.593
1723798800620000000,3.577
1723798800630000000,3.561
1723798800640000000,3.558
1723798800650000000,3.567
1723798800660000000,3.578
1723798800670000000,3.585
1723798800680000000,3.541
1723798800690000000,3.555
1723798800700000000,3.574
1723798800710000000,3.581
1723798800720000000,3.527
1723798800730000000,3.555
1723798800740000000,3.575
1723798800750000000,3.586
1723798800760000000,3.550
1723798800770000000,3.571
1723798800780000000,3.552
1723798800790000000,3.575
1723798800800000000,3.561
1723798800810000000,3.554
1723798800820000000,3.578
1723798800830000000,3.588
1723798800840000000,3.564
1723798800850000000,3.579
1723798800860000000,3.567
1723798800870000000,3.577
1723798800880000000,3.565
1723798800890000000,3.568
1723798800900000000,3.594
1723798800910000000,3.571
1723798800920000000,3.577
1723798800930000000,3.567
1723798800940000000,3.598
1723798800950000000,3.569
1723798800960000000,3.580
1723798800970000000,3.571
1723798800980000000,3.603
1723798800990000000,3.574
1723798801000000000,3.567
1723798801010000000,3.584
1723798801020000000,3.587
1723798801030000000,3.582
1723798801040000000,3.567
1723798801050000000,3.578
1723798801060000000,3.570
1723798801070000000,3.589
1723798801080000000,3.563
1723798801090000000,3.586
1723798801100000000,3.561
1723798801110000000,3.559
1723798801120000000,3.562
1723798801130000000,3.571
1723798801140000000,3.556
1723798801150000000,3.574
1723798801160000000,3.587
1723798801170000000,3.580
1723798801180000000,3.580
1723798801190000000,3.559
1723798801200000000,3.574
1723798801210000000,3.582
1723798801220000000,3.555
1723798801230000000,3.562
1723798801240000000,3.572
1723798801250000000,3.576
1723798801260000000,3.574
1723798801270000000,3.572
1723798801280000000,3.562
1723798801290000000,3.575
1723798801300000000,3.578
1723798801310000000,3.567
1723798801320000000,3.563
1723798801330000000,3.566
1723798801340000000,3.566
1723798801350000000,3.569
1723798801360000000,3.543
1723798801370000000,3.574
1723798801380000000,3.561
1723798801390000000,3.584
