timestamp_ns,value_rpm
1723798800000000000,0
1723798800010000000,25
1723798800020000000,0
1723798800030000000,0
1723798800040000000,65
1723798800050000000,51
1723798800060000000,43
1723798800070000000,0
1723798800080000000,0
1723798800090000000,0
1723798800100000000,17
1723798800110000000,0
1723798800120000000,96
1723798800130000000,79
1723798800140000000,16
1723798800150000000,0
1723798800160000000,97
1723798800170000000,53
1723798800180000000,0
1723798800190000000,88
1723798800200000000,0
1723798800210000000,0
1723798800220000000,0
1723798800230000000,75
1723798800240000000,79
1723798800250000000,162
1723798800260000000,41
1723798800270000000,87
1723798800280000000,0
1723798800290000000,0
1723798800300000000,0
1723798800310000000,0
1723798800320000000,1
1723798800330000000,0
1723798800340000000,102
1723798800350000000,0
1723798800360000000,0
1723798800370000000,112
1723798800380000000,0
1723798800390000000,0
1723798800400000000,0
1723798800410000000,10
1723798800420000000,105
1723798800430000000,52
1723798800440000000,33
1723798800450000000,11
1723798800460000000,57
1723798800470000000,1
1723798800480000000,0
1723798800490000000,4
1723798800500000000,0
1723798800510000000,0
1723798800520000000,40
1723798800530000000,106
1723798800540000000,0
1723798800550000000,71
1723798800560000000,67
1723798800570000000,22
1723798800580000000,156
1723798800590000000,128
1723798800600000000,14
1723798800610000000,0
1723798800620000000,75
1723798800630000000,0
1723798800640000000,0
1723798800650000000,102
1723798800660000000,25
1723798800670000000,0
1723798800680000000,0
1723798800690000000,97
1723798800700000000,0
1723798800710000000,28
1723798800720000000,0
1723798800730000000,0
1723798800740000000,0
1723798800750000000,0
1723798800760000000,0
1723798800770000000,36
1723798800780000000,37
1723798800790000000,0
1723798800800000000,0
1723798800810000000,0
1723798800820000000,94
1723798800830000000,61
1723798800840000000,63
1723798800850000000,92
1723798800860000000,71
1723798800870000000,52
1723798800880000000,0
1723798800890000000,8
1723798800900000000,0
1723798800910000000,179
1723798800920000000,93
1723798800930000000,0
1723798800940000000,33
1723798800950000000,94
1723798800960000000,32
1723798800970000000,78
1723798800980000000,89
1723798800990000000,28
1723798801000000000,0
1723798801010000000,154
1723798801020000000,0
1723798801030000000,0
1723798801040000000,0
1723798801050000000,0
1723798801060000000,111
1723798801070000000,0
1723798801080000000,0
1723798801090000000,0
1723798801100000000,0
1723798801110000000,72
1723798801120000000,42
1723798801130000000,113
1723798801140000000,93
1723798801150000000,0
1723798801160000000,73
1723798801170000000,0
1723798801180000000,0
1723798801190000000,17
1723798801200000000,25
1723798801210000000,0
1723798801220000000,0
1723798801230000000,14
1723798801240000000,51
1723798801250000000,73
1723798801260000000,152
1723798801270000000,39
1723798801280000000,81
1723798801290000000,0
1723798801300000000,22
1723798801310000000,51
1723798801320000000,67
1723798801330000000,104
1723798801340000000,0
1723798801350000000,78
1723798801360000000,0
1723798801370000000,99
1723798801380000000,0
1723798801390000000,15
1723798801400000000,0
1723798801410000000,0
1723798801420000000,89
1723798801430000000,0
1723798801440000000,36
1723798801450000000,62
1723798801460000000,107
1723798801470000000,0
1723798801480000000,0
1723798801490000000,39
1723798801500000000,108
1723798801510000000,10
1723798801520000000,119
1723798801530000000,0
1723798801540000000,0
1723798801550000000,42
1723798801560000000,121
1723798801570000000,0
1723798801580000000,0
1723798801590000000,3
1723798801600000000,111
1723798801610000000,0
1723798801620000000,82
1723798801630000000,0
1723798801640000000,0
1723798801650000000,92
1723798801660000000,0
1723798801670000000,41
1723798801680000000,0
1723798801690000000,0
1723798801700000000,99
1723798801710000000,0
1723798801720000000,0
1723798801730000000,94
1723798801740000000,0
1723798801750000000,160
1723798801760000000,18
1723798801770000000,0
1723798801780000000,1
1723798801790000000,0
1723798801800000000,25
1723798801810000000,0
1723798801820000000,83
1723798801830000000,0
1723798801840000000,0
1723798801850000000,43
1723798801860000000,39
1723798801870000000,0
1723798801880000000,0
1723798801890000000,0
1723798801900000000,127
1723798801910000000,125
1723798801920000000,90
1723798801930000000,54
1723798801940000000,0
1723798801950000000,0
1723798801960000000,0
1723798801970000000,0
1723798801980000000,0
1723798801990000000,0
1723798802000000000,0
1723798802009999999,455
1723798802020000000,378
1723798802029999999,654
1723798802040000000,1118
1723798802049999999,1406
1723798802060000000,1780
1723798802069999999,1638
1723798802080000000,1947
1723798802089999999,2236
1723798802100000000,2641
1723798802109999999,3058
1723798802120000000,3165
