timestamp_ns,value_K
1723798800000000000,299.37
1723798800010000000,299.30
1723798800020000000,300.21
1723798800030000000,299.96
1723798800040000000,301.02
1723798800050000000,299.75
1723798800060000000,299.72
1723798800070000000,300.18
1723798800080000000,299.70
1723798800090000000,299.73
1723798800100000000,300.62
1723798800110000000,299.73
1723798800120000000,300.50
1723798800130000000,300.50
1723798800140000000,300.03
1723798800150000000,300.06
1723798800160000000,299.09
1723798800170000000,299.73
1723798800180000000,300.43
1723798800190000000,300.31
1723798800200000000,299.88
1723798800210000000,299.80
1723798800220000000,299.81
1723798800230000000,299.44
1723798800240000000,299.72
1723798800250000000,299.94
1723798800260000000,300.53
1723798800270000000,299.40
1723798800280000000,300.45
1723798800290000000,299.55
1723798800300000000,299.45
1723798800310000000,300.04
1723798800320000000,299.60
1723798800330000000,299.89
1723798800340000000,300.63
1723798800350000000,300.39
1723798800360000000,300.16
1723798800370000000,300.16
1723798800380000000,300.55
1723798800390000000,300.04
1723798800400000000,299.92
1723798800410000000,300.12
1723798800420000000,299.58
1723798800430000000,300.33
1723798800440000000,299.45
1723798800450000000,300.02
1723798800460000000,300.04
1723798800470000000,299.75
1723798800480000000,299.96
1723798800490000000,299.58
1723798800500000000,299.57
1723798800510000000,300.78
1723798800520000000,300.25
1723798800530000000,299.77
1723798800540000000,300.07
1723798800550000000,300.42
1723798800560000000,299.48
1723798800570000000,300.10
1723798800580000000,299.97
1723798800590000000,300.90
1723798800600000000,299.82
1723798800610000000,300.00
1723798800620000000,299.80
1723798800630000000,300.24
1723798800640000000,299.71
1723798800650000000,300.21
1723798800660000000,300.52
1723798800670000000,300.65
1723798800680000000,300.44
1723798800690000000,300.16
1723798800700000000,299.14
1723798800710000000,300.11
1723798800720000000,300.24
1723798800730000000,300.10
1723798800740000000,299.65
1723798800750000000,299.88
1723798800760000000,299.48
1723798800770000000,299.03
1723798800780000000,300.42
1723798800790000000,300.54
1723798800800000000,300.32
1723798800810000000,299.76
1723798800820000000,300.44
1723798800830000000,299.41
1723798800840000000,300.07
1723798800850000000,300.50
1723798800860000000,299.49
1723798800870000000,299.51
1723798800880000000,300.02
1723798800890000000,300.20
1723798800900000000,299.64
1723798800910000000,300.48
1723798800920000000,300.34
1723798800930000000,300.19
1723798800940000000,300.10
1723798800950000000,299.41
1723798800960000000,299.64
1723798800970000000,299.50
1723798800980000000,300.93
1723798800990000000,300.04
1723798801000000000,299.84
1723798801010000000,299.70
1723798801020000000,300.30
1723798801030000000,298.47
1723798801040000000,300.17
1723798801050000000,299.48
1723798801060000000,300.61
1723798801070000000,299.72
1723798801080000000,299.61
1723798801090000000,300.21
1723798801100000000,300.00
1723798801110000000,299.52
1723798801120000000,299.88
1723798801130000000,300.16
1723798801140000000,299.46
1723798801150000000,299.61
1723798801160000000,299.81
1723798801170000000,299.50
1723798801180000000,300.45
1723798801190000000,299.11
1723798801200000000,300.48
1723798801210000000,299.65
1723798801220000000,299.80
1723798801230000000,299.84
1723798801240000000,299.11
1723798801250000000,300.09
1723798801260000000,300.61
1723798801270000000,300.32
1723798801280000000,299.61
1723798801290000000,299.89
1723798801300000000,300.26
1723798801310000000,299.04
1723798801320000000,300.58
1723798801330000000,299.83
1723798801340000000,300.20
1723798801350000000,300.42
1723798801360000000,300.30
1723798801370000000,300.76
1723798801380000000,299.96
1723798801390000000,300.21
1723798801400000000,299.54
1723798801410000000,300.84
1723798801420000000,300.00
1723798801430000000,300.47
1723798801440000000,300.02
1723798801450000000,299.53
1723798801460000000,300.01
1723798801470000000,299.16
1723798801480000000,299.90
1723798801490000000,299.59
1723798801500000000,299.88
1723798801510000000,300.54
1723798801520000000,300.79
1723798801530000000,299.89
1723798801540000000,300.13
1723798801550000000,299.88
1723798801560000000,299.86
1723798801570000000,299.62
1723798801580000000,300.93
1723798801590000000,299.65
1723798801600000000,300.42
1723798801610000000,299.96
1723798801620000000,299.77
1723798801630000000,299.67
1723798801640000000,300.77
1723798801650000000,299.64
1723798801660000000,300.63
1723798801670000000,299.92
1723798801680000000,299.98
1723798801690000000,300.18
1723798801700000000,300.07
1723798801710000000,299.70
1723798801720000000,299.72
1723798801730000000,300.74
1723798801740000000,299.81
1723798801750000000,300.46
1723798801760000000,299.90
1723798801770000000,300.33
1723798801780000000,300.09
1723798801790000000,300.63
1723798801800000000,300.42
1723798801810000000,299.64
1723798801820000000,300.46
1723798801830000000,299.83
1723798801840000000,300.18
1723798801850000000,299.54
1723798801860000000,300.22
1723798801870000000,299.65
1723798801880000000,300.72
1723798801890000000,300.02
1723798801900000000,300.89
1723798801910000000,299.10
1723798801920000000,299.89
1723798801930000000,299.78
1723798801940000000,300.85
1723798801950000000,300.53
1723798801960000000,299.61
1723798801970000000,300.07
1723798801980000000,300.48
1723798801990000000,301.18
1723798802000000000,299.81
1723798802009999999,299.64
1723798802020000000,298.89
1723798802029999999,299.60
1723798802040000000,297.30
1723798802049999999,295.75
1723798802060000000,296.63
1723798802069999999,294.18
1723798802080000000,295.81
1723798802089999999,296.22
1723798802100000000,294.88
1723798802109999999,294.44
1723798802120000000,292.08
1723798802130000000,294.09
1723798802140000000,291.65
1723798802150000000,293.86
1723798802160000000,289.16
1723798802170000000,289.19
1723798802180000000,290.84
1723798802190000000,287.65
1723798802200000000,287.74
1723798802210000000,288.56
1723798802220000000,286.29
1723798802230000000,285.77
1723798802240000000,287.25
1723798802250000000,285.33
1723798802260000000,286.05
1723798802270000000,282.37
1723798802280000000,284.74
1723798802290000000,284.04
1723798802300000000,283.31
1723798802310000000,279.92
1723798802320000000,282.31
1723798802330000000,280.96
1723798802340000000,281.24
1723798802350000000,280.88
1723798802360000000,281.86
1723798802370000000,279.29
1723798802380000000,277.83
1723798802390000000,278.08
1723798802400000000,275.04
1723798802410000000,278.70
1723798802420000000,277.17
1723798802430000000,275.65
1723798802440000000,275.44
1723798802450000000,273.52
1723798802460000000,273.44
1723798802470000000,276.19
1723798802480000000,274.55
1723798802490000000,271.93
1723798802500000000,272.28
1723798802510000000,272.81
1723798802520000000,272.74
1723798802530000000,270.54
1723798802540000000,270.06
1723798802550000000,269.70
1723798802560000000,270.52
1723798802570000000,268.41
1723798802580000000,266.72
1723798802590000000,266.06
1723798802600000000,266.76
1723798802610000000,268.45
1723798802620000000,265.87
1723798802630000000,265.87
1723798802640000000,264.22
1723798802650000000,265.11
1723798802660000000,264.08
1723798802670000000,263.15
1723798802680000000,263.66
1723798802690000000,262.58
1723798802700000000,261.63
1723798802710000000,259.23
1723798802720000000,263.68
1723798802730000000,259.66
1723798802740000000,257.58
1723798802750000000,258.61
1723798802760000000,258.62
1723798802770000000,256.02
1723798802780000000,258.04
1723798802790000000,256.16
1723798802800000000,254.40
1723798802810000000,256.35
1723798802820000000,255.44
1723798802830000000,253.44
1723798802840000000,254.60
1723798802850000000,251.30
1723798802860000000,252.01
1723798802870000000,252.26
1723798802880000000,250.92
1723798802890000000,249.11
1723798802900000000,249.04
1723798802910000000,249.87
1723798802920000000,249.91
1723798802930000000,247.06
1723798802940000000,246.30
1723798802950000000,246.97
1723798802960000000,246.05
1723798802970000000,245.52
1723798802980000000,246.97
1723798802990000000,245.77
1723798803000000000,239.53
1723798803010000000,239.66
1723798803020000000,237.59
1723798803030000000,238.54
1723798803040000000,241.08
1723798803050000000,237.96
1723798803060000000,239.22
1723798803070000000,237.93
1723798803080000000,239.34
1723798803090000000,239.59
1723798803100000000,239.69
1723798803110000000,238.48
1723798803120000000,239.29
1723798803130000000,239.59
1723798803140000000,238.95
1723798803150000000,236.40
1723798803160000000,239.54
1723798803170000000,238.93
1723798803180000000,238.28
1723798803190000000,238.51
1723798803200000000,237.87
1723798803210000000,235.59
1723798803220000000,235.82
1723798803230000000,238.44
1723798803240000000,237.55
1723798803250000000,236.99
1723798803260000000,238.86
1723798803270000000,239.90
1723798803280000000,237.29
1723798803290000000,236.97
1723798803300000000,236.89
1723798803310000000,238.26
1723798803320000000,235.27
1723798803330000000,236.69
1723798803340000000,237.19
1723798803350000000,235.85
1723798803360000000,237.17
1723798803370000000,237.36
1723798803380000000,235.69
1723798803390000000,235.75
1723798803400000000,238.82
1723798803410000000,236.92
1723798803420000000,234.60
1723798803430000000,234.85
1723798803440000000,234.22
1723798803450000000,235.47
1723798803460000000,233.98
1723798803470000000,234.28
1723798803480000000,234.86
1723798803490000000,233.57
1723798803500000000,233.93
1723798803510000000,235.95
1723798803520000000,234.47
1723798803530000000,232.76
1723798803540000000,235.25
1723798803550000000,235.92
1723798803560000000,233.86
1723798803570000000,234.74
1723798803580000000,234.62
1723798803590000000,234.02
1723798803600000000,230.81
1723798803610000000,232.00
1723798803620000000,233.24
1723798803630000000,233.77
1723798803640000000,234.58
1723798803650000000,232.00
1723798803660000000,231.11
1723798803670000000,232.67
1723798803680000000,232.24
1723798803690000000,232.62
1723798803700000000,229.65
1723798803710000000,232.09
1723798803720000000,233.55
1723798803730000000,232.91
1723798803740000000,232.71
1723798803750000000,229.99
1723798803760000000,230.30
1723798803770000000,229.77
1723798803780000000,229.82
1723798803790000000,231.50
1723798803800000000,229.19
1723798803810000000,230.59
1723798803820000000,229.80
1723798803830000000,228.29
1723798803840000000,228.18
1723798803850000000,231.68
1723798803860000000,229.90
1723798803870000000,229.94
1723798803880000000,228.75
1723798803890000000,228.95
1723798803900000000,229.70
1723798803910000000,229.44
1723798803920000000,229.45
1723798803930000000,228.43
1723798803940000000,228.35
1723798803950000000,227.74
1723798803960000000,226.38
1723798803970000000,227.36
1723798803980000000,228.34
1723798803990000000,227.65
1723798804000000000,226.36
1723798804010000000,226.79
1723798804019999999,226.54
1723798804030000000,226.19
1723798804040000000,224.84
1723798804050000000,225.72
1723798804059999999,226.64
1723798804070000000,225.63
1723798804080000000,224.77
1723798804090000000,225.10
1723798804099999999,225.41
1723798804110000000,225.17
1723798804120000000,224.42
1723798804130000000,224.92
1723798804139999999,222.30
1723798804150000000,224.79
1723798804160000000,224.09
1723798804170000000,223.95
1723798804179999999,224.17
1723798804190000000,224.38
1723798804200000000,222.96
1723798804210000000,223.19
1723798804219999999,222.44
1723798804230000000,221.02
1723798804240000000,222.18
1723798804250000000,223.72
1723798804260000000,221.01
1723798804269999999,220.46
1723798804280000000,220.37
1723798804290000000,220.03
1723798804300000000,221.21
1723798804310000000,222.42
1723798804320000000,218.83
1723798804330000000,220.04
1723798804340000000,218.74
1723798804350000000,219.90
1723798804360000000,217.87
1723798804370000000,218.22
1723798804380000000,218.23
1723798804390000000,218.49
1723798804400000000,218.66
1723798804410000000,216.75
1723798804420000000,217.93
1723798804430000000,216.48
1723798804440000000,219.34
1723798804450000000,214.14
1723798804460000000,215.73
1723798804470000000,214.68
1723798804480000000,215.12
1723798804490000000,213.75
1723798804500000000,216.90
1723798804510000000,213.24
1723798804520000000,214.44
1723798804530000000,214.99
1723798804540000000,213.78
1723798804550000000,211.10
1723798804560000000,213.41
1723798804570000000,213.16
1723798804580000000,211.96
1723798804590000000,212.93
1723798804600000000,211.57
1723798804610000000,209.36
1723798804620000000,211.54
1723798804630000000,210.15
1723798804640000000,210.84
1723798804650000000,209.63
1723798804660000000,209.85
1723798804670000000,210.39
1723798804680000000,209.04
1723798804690000000,208.29
1723798804700000000,206.19
1723798804710000000,207.54
1723798804720000000,208.08
1723798804730000000,206.57
1723798804740000000,208.72
1723798804750000000,205.31
1723798804760000000,207.79
1723798804770000000,207.30
1723798804780000000,204.79
1723798804790000000,206.04
1723798804800000000,204.53
1723798804810000000,204.70
1723798804820000000,206.23
1723798804830000000,204.08
1723798804840000000,201.01
1723798804850000000,202.49
1723798804860000000,202.12
1723798804870000000,201.47
1723798804880000000,200.34
1723798804890000000,200.85
1723798804900000000,200.05
1723798804910000000,200.53
1723798804920000000,199.86
1723798804930000000,198.55
1723798804940000000,200.08
1723798804950000000,197.98
1723798804960000000,197.89
1723798804970000000,199.86
1723798804980000000,197.67
1723798804990000000,197.41
1723798805000000000,195.45
1723798805010000000,195.99
1723798805020000000,198.71
1723798805030000000,197.53
1723798805040000000,196.43
1723798805050000000,194.34
1723798805060000000,194.62
1723798805070000000,195.47
1723798805080000000,194.21
1723798805090000000,193.15
1723798805100000000,193.38
1723798805110000000,191.88
1723798805120000000,192.24
1723798805130000000,190.82
1723798805140000000,188.45
1723798805150000000,194.00
1723798805160000000,189.48
1723798805170000000,189.09
1723798805180000000,190.06
1723798805190000000,187.05
1723798805200000000,188.38
1723798805210000000,187.69
1723798805220000000,187.57
1723798805230000000,187.96
1723798805240000000,185.65
1723798805250000000,186.76
1723798805260000000,184.64
1723798805270000000,185.81
1723798805280000000,183.96
1723798805290000000,186.43
1723798805300000000,184.34
1723798805310000000,181.97
1723798805320000000,182.86
1723798805330000000,183.17
1723798805340000000,181.43
1723798805350000000,181.93
1723798805360000000,180.75
1723798805370000000,180.36
1723798805380000000,182.02
1723798805390000000,179.56
1723798805400000000,181.12
1723798805410000000,179.87
1723798805420000000,178.81
1723798805430000000,179.34
1723798805440000000,177.98
1723798805450000000,176.36
1723798805460000000,176.89
1723798805470000000,176.79
1723798805480000000,177.53
1723798805490000000,176.05
1723798805500000000,174.16
1723798805510000000,174.20
1723798805520000000,174.35
1723798805530000000,173.31
1723798805540000000,172.15
1723798805550000000,174.07
1723798805560000000,172.16
1723798805570000000,171.34
1723798805580000000,173.13
1723798805590000000,171.05
1723798805600000000,170.49
1723798805610000000,170.56
1723798805620000000,171.71
1723798805630000000,170.03
1723798805640000000,171.02
1723798805650000000,168.58
1723798805660000000,167.18
1723798805670000000,165.82
1723798805680000000,169.31
1723798805690000000,166.15
1723798805700000000,166.12
1723798805710000000,167.62
1723798805720000000,168.65
1723798805730000000,164.67
1723798805740000000,166.62
1723798805750000000,162.49
1723798805760000000,164.22
1723798805770000000,162.15
1723798805780000000,164.06
1723798805790000000,162.81
1723798805800000000,162.02
1723798805810000000,163.18
1723798805820000000,161.12
1723798805830000000,160.85
1723798805840000000,162.20
1723798805850000000,161.31
1723798805860000000,159.21
1723798805870000000,159.93
1723798805880000000,158.04
1723798805890000000,158.33
1723798805900000000,158.19
1723798805910000000,158.26
1723798805920000000,157.45
1723798805930000000,158.49
1723798805940000000,158.20
1723798805950000000,158.40
1723798805960000000,156.33
1723798805970000000,157.76
1723798805980000000,155.56
1723798805990000000,154.39
1723798806000000000,156.80
1723798806010000000,155.91
1723798806020000000,155.29
1723798806030000000,153.61
1723798806040000000,153.83
1723798806050000000,153.41
1723798806060000000,153.80
1723798806070000000,153.21
1723798806080000000,151.56
1723798806090000000,151.87
1723798806100000000,150.66
1723798806110000000,151.98
1723798806120000000,149.32
1723798806130000000,151.23
1723798806140000000,150.40
1723798806150000000,148.54
1723798806160000000,148.25
1723798806170000000,149.29
1723798806180000000,150.38
1723798806190000000,146.12
1723798806200000000,147.45
1723798806210000000,144.85
1723798806220000000,146.66
1723798806230000000,146.04
1723798806240000000,147.05
1723798806250000000,146.15
1723798806260000000,147.20
1723798806270000000,144.43
1723798806280000000,147.70
1723798806290000000,146.19
1723798806300000000,143.17
1723798806310000000,146.36
1723798806320000000,143.93
1723798806330000000,144.09
1723798806340000000,144.50
1723798806350000000,143.13
1723798806360000000,143.56
1723798806370000000,141.94
1723798806380000000,142.47
1723798806390000000,142.12
1723798806400000000,142.20
1723798806410000000,142.06
1723798806420000000,141.78
1723798806430000000,139.83
1723798806440000000,138.27
1723798806450000000,140.36
1723798806460000000,142.86
1723798806470000000,140.32
1723798806480000000,138.37
1723798806490000000,141.55
1723798806500000000,138.24
1723798806510000000,139.49
1723798806520000000,141.59
1723798806530000000,138.99
1723798806540000000,139.13
1723798806550000000,139.00
1723798806560000000,138.14
1723798806570000000,137.78
1723798806580000000,138.77
1723798806590000000,135.54
1723798806600000000,137.41
1723798806610000000,135.82
1723798806620000000,136.28
1723798806630000000,135.51
1723798806640000000,137.88
1723798806650000000,136.93
1723798806660000000,134.41
1723798806670000000,134.42
1723798806680000000,135.16
1723798806690000000,133.64
1723798806700000000,132.58
1723798806710000000,133.86
1723798806720000000,133.76
1723798806730000000,133.65
1723798806740000000,133.31
1723798806750000000,134.98
1723798806760000000,132.78
1723798806770000000,131.92
1723798806780000000,134.50
1723798806790000000,134.43
1723798806800000000,134.06
1723798806810000000,132.54
1723798806820000000,131.02
1723798806830000000,131.80
1723798806840000000,130.23
1723798806850000000,131.23
1723798806860000000,132.13
1723798806870000000,132.17
1723798806880000000,131.15
1723798806890000000,131.33
1723798806900000000,130.75
1723798806910000000,131.95
1723798806920000000,130.80
1723798806930000000,129.81
1723798806940000000,131.17
1723798806950000000,129.75
1723798806960000000,128.81
1723798806970000000,127.71
1723798806980000000,129.82
1723798806990000000,129.34
1723798807000000000,129.76
1723798807010000000,127.05
1723798807020000000,126.74
1723798807030000000,129.75
1723798807040000000,128.43
1723798807050000000,126.91
1723798807060000000,126.44
1723798807070000000,128.51
1723798807080000000,129.56
1723798807090000000,128.59
1723798807100000000,129.66
1723798807110000000,126.08
1723798807120000000,127.40
1723798807130000000,127.09
1723798807140000000,128.57
1723798807150000000,126.54
1723798807160000000,126.78
1723798807170000000,126.77
1723798807180000000,126.67
1723798807190000000,125.60
1723798807200000000,126.58
1723798807210000000,123.67
1723798807220000000,124.65
1723798807230000000,126.57
1723798807240000000,124.90
1723798807250000000,126.40
1723798807260000000,125.16
1723798807270000000,124.93
1723798807280000000,126.06
1723798807290000000,124.96
1723798807300000000,124.65
1723798807310000000,126.67
1723798807320000000,124.89
1723798807330000000,123.53
1723798807340000000,124.81
1723798807350000000,125.26
1723798807360000000,122.54
1723798807370000000,125.43
1723798807380000000,123.73
1723798807390000000,124.36
1723798807400000000,122.81
1723798807410000000,123.00
1723798807420000000,122.87
1723798807430000000,120.74
1723798807440000000,121.37
1723798807450000000,123.69
1723798807460000000,124.22
1723798807470000000,123.01
1723798807480000000,123.53
1723798807490000000,123.98
1723798807500000000,119.51
1723798807510000000,121.65
1723798807520000000,123.71
1723798807530000000,123.46
1723798807540000000,121.66
1723798807550000000,121.97
1723798807560000000,120.49
1723798807570000000,122.67
1723798807580000000,123.54
1723798807590000000,120.47
1723798807600000000,120.32
1723798807610000000,122.47
1723798807620000000,121.72
1723798807630000000,122.21
1723798807640000000,121.57
1723798807650000000,121.36
1723798807660000000,121.11
1723798807670000000,119.97
1723798807680000000,119.93
1723798807690000000,119.42
1723798807700000000,121.84
1723798807710000000,120.63
1723798807720000000,121.55
1723798807730000000,121.75
1723798807740000000,119.05
1723798807750000000,121.18
1723798807760000000,119.55
1723798807770000000,116.72
1723798807780000000,121.77
1723798807790000000,120.87
1723798807800000000,119.31
1723798807810000000,121.30
1723798807820000000,120.43
1723798807830000000,119.78
1723798807840000000,118.89
1723798807850000000,121.21
1723798807860000000,122.79
1723798807870000000,121.21
1723798807880000000,118.50
1723798807890000000,121.32
1723798807900000000,120.57
1723798807910000000,119.78
1723798807920000000,121.32
1723798807930000000,118.50
1723798807940000000,119.54
1723798807950000000,120.19
1723798807960000000,117.95
1723798807970000000,117.89
1723798807980000000,121.15
1723798807990000000,119.89
1723798808000000000,117.60
1723798808010000000,118.98
1723798808020000000,118.65
1723798808029999999,120.46
1723798808039999999,119.82
1723798808050000000,118.96
1723798808060000000,117.56
1723798808070000000,120.50
1723798808080000000,119.61
1723798808090000000,118.88
1723798808100000000,117.16
1723798808109999999,115.25
1723798808119999999,118.65
1723798808130000000,119.38
1723798808140000000,117.39
1723798808150000000,116.79
1723798808160000000,117.30
1723798808170000000,118.91
1723798808180000000,114.89
1723798808189999999,119.92
1723798808199999999,120.24
1723798808210000000,119.05
1723798808220000000,118.52
1723798808230000000,119.20
1723798808240000000,117.23
1723798808250000000,116.05
1723798808260000000,116.01
1723798808270000000,116.87
1723798808279999999,118.67
1723798808289999999,118.94
1723798808300000000,118.47
1723798808310000000,118.33
1723798808320000000,115.89
1723798808330000000,117.62
1723798808340000000,117.65
1723798808350000000,118.88
1723798808359999999,115.50
1723798808369999999,119.64
1723798808380000000,116.55
1723798808390000000,116.08
1723798808400000000,115.77
1723798808410000000,117.08
1723798808420000000,118.90
1723798808430000000,118.62
1723798808439999999,118.68
1723798808449999999,117.35
1723798808460000000,116.75
