timestamp_ns,value_g_rms
1724058000000000000,0.000
1724058000010000000,0.037
1724058000020000000,0.147
1724058000030000000,0.000
1724058000040000000,0.000
1724058000050000000,0.000
1724058000060000000,0.000
1724058000070000000,0.051
1724058000080000000,0.175
1724058000090000000,0.000
1724058000100000000,0.000
1724058000110000000,0.000
1724058000120000000,0.000
1724058000130000000,0.223
1724058000140000000,0.064
1724058000150000000,0.000
1724058000160000000,0.000
1724058000170000000,0.000
1724058000180000000,0.000
1724058000190000000,0.102
1724058000200000000,0.000
1724058000210000000,0.200
1724058000220000000,0.112
1724058000230000000,0.350
1724058000240000000,0.000
1724058000250000000,0.000
1724058000260000000,0.277
1724058000270000000,0.000
1724058000280000000,0.000
1724058000290000000,0.000
1724058000300000000,0.000
1724058000310000000,0.000
1724058000320000000,0.000
1724058000330000000,0.000
1724058000340000000,0.058
1724058000350000000,0.000
1724058000360000000,0.155
1724058000370000000,0.000
1724058000380000000,0.000
1724058000390000000,0.000
1724058000400000000,0.000
1724058000410000000,0.000
1724058000420000000,0.184
1724058000430000000,0.000
1724058000440000000,0.000
1724058000450000000,0.000
1724058000460000000,0.109
1724058000470000000,0.275
1724058000480000000,0.000
1724058000490000000,0.000
1724058000500000000,0.280
1724058000510000000,0.000
1724058000520000000,0.000
1724058000530000000,0.188
1724058000540000000,0.000
1724058000550000000,0.017
1724058000560000000,0.269
1724058000570000000,0.001
1724058000580000000,0.000
1724058000590000000,0.000
1724058000600000000,0.000
1724058000610000000,0.214
1724058000620000000,0.043
1724058000630000000,0.134
1724058000640000000,0.000
1724058000650000000,0.107
1724058000660000000,0.000
1724058000670000000,0.260
1724058000680000000,0.035
1724058000690000000,0.080
1724058000700000000,0.000
1724058000710000000,0.047
1724058000720000000,0.000
1724058000730000000,0.057
1724058000740000000,0.000
1724058000750000000,0.000
1724058000760000000,0.000
1724058000770000000,0.000
1724058000780000000,0.005
1724058000790000000,0.000
1724058000800000000,0.000
1724058000810000000,0.178
1724058000820000000,0.183
1724058000830000000,0.133
1724058000840000000,0.035
1724058000850000000,0.000
1724058000860000000,0.272
1724058000870000000,0.309
1724058000880000000,0.000
