timestamp_ns,value
1721026800000000000,7.6918
1721026801000000000,15.5661
1721026802000000000,14.267
1721026803000000000,31.7197
1721026804000000000,34.595
1721026805000000000,36.0233
1721026806000000000,55.8072
1721026807000000000,60.9828
1721026808000000000,76.1773
1721026809000000000,50.4402
1721026810000000000,87.3261
1721026811000000000,118.9909
1721026812000000000,122.1824
1721026813000000000,139.6926
1721026814000000000,129.8563
1721026815000000000,155.7101
1721026816000000000,174.0899
1721026817000000000,151.8528
1721026818000000000,166.6817
1721026819000000000,222.2116
1721026820000000000,179.9506
1721026821000000000,167.9013
1721026822000000000,229.1612
1721026823000000000,217.4198
1721026824000000000,201.9775
1721026825000000000,214.5912
1721026826000000000,248.6049
1721026827000000000,231.2212
1721026828000000000,249.5433
1721026829000000000,249.0164
1721026830000000000,281.6256
1721026831000000000,279.4824
1721026832000000000,253.0382
1721026833000000000,303.0819
1721026834000000000,265.1282
1721026835000000000,273.6998
1721026836000000000,311.6329
1721026837000000000,277.0614
1721026838000000000,271.9286
1721026839000000000,271.3528
1721026840000000000,292.3814
1721026841000000000,271.2432
1721026842000000000,249.8048
1721026843000000000,260.1355
1721026844000000000,270.1346
1721026845000000000,277.3897
1721026846000000000,255.5937
1721026847000000000,281.8777
1721026848000000000,272.3228
1721026849000000000,263.7275
1721026850000000000,275.5259
1721026851000000000,308.3161
1721026852000000000,274.3004
1721026853000000000,277.3684
1721026854000000000,292.599
1721026855000000000,276.6128
1721026856000000000,286.7159
1721026857000000000,286.0971
1721026858000000000,260.0591
1721026859000000000,287.8591
1721026860000000000,269.8737
1721026861000000000,273.7844
1721026862000000000,278.889
1721026863000000000,261.9213
1721026864000000000,290.7974
1721026865000000000,292.0757
1721026866000000000,313.6305
1721026867000000000,271.8918
1721026868000000000,274.4077
1721026869000000000,305.7088
1721026870000000000,253.8405
1721026871000000000,270.519
1721026872000000000,302.2433
1721026873000000000,267.266
1721026874000000000,315.7225
1721026875000000000,272.5845
1721026876000000000,263.3972
1721026877000000000,280.3371
1721026878000000000,279.9685
1721026879000000000,271.9061
1721026880000000000,272.5912
1721026881000000000,281.6153
1721026882000000000,272.8644
1721026883000000000,264.8869
1721026884000000000,279.796
1721026885000000000,277.9417
1721026886000000000,255.4387
1721026887000000000,284.324
1721026888000000000,277.9034
1721026889000000000,300.197
1721026890000000000,272.3538
1721026891000000000,263.5619
1721026892000000000,267.4192
1721026893000000000,297.9645
1721026894000000000,287.8875
1721026895000000000,278.5986
1721026896000000000,262.7285
1721026897000000000,271.5007
1721026898000000000,280.1812
1721026899000000000,288.5216
1721026900000000000,273.2705
1721026901000000000,299.5333
1721026902000000000,275.9288
