timestamp_ns,value
1721030400000000000,2.1823
1721030401000000000,-1.4907
1721030402000000000,6.8343
1721030403000000000,20.5747
1721030404000000000,24.2838
1721030405000000000,32.653
1721030406000000000,32.9833
1721030407000000000,42.3043
1721030408000000000,43.8296
1721030409000000000,47.899
1721030410000000000,61.9689
1721030411000000000,61.3521
1721030412000000000,84.7037
1721030413000000000,81.5339
1721030414000000000,69.3939
1721030415000000000,91.0861
1721030416000000000,100.9194
1721030417000000000,114.7258
1721030418000000000,104.903
1721030419000000000,119.3745
1721030420000000000,119.3749
1721030421000000000,109.2848
1721030422000000000,107.1891
1721030423000000000,117.373
1721030424000000000,125.4522
1721030425000000000,124.2226
1721030426000000000,126.1781
1721030427000000000,117.6353
1721030428000000000,105.7778
1721030429000000000,122.2823
1721030430000000000,101.7962
1721030431000000000,124.4192
1721030432000000000,132.014
1721030433000000000,123.9823
1721030434000000000,114.1392
1721030435000000000,120.3234
1721030436000000000,121.3577
1721030437000000000,122.0064
1721030438000000000,122.9104
1721030439000000000,121.2133
1721030440000000000,123.4456
1721030441000000000,120.5266
1721030442000000000,110.3362
1721030443000000000,109.9932
1721030444000000000,123.44
1721030445000000000,128.7165
1721030446000000000,112.5261
1721030447000000000,118.088
1721030448000000000,111.5352
1721030449000000000,123.2651
1721030450000000000,117.4301
1721030451000000000,109.9747
1721030452000000000,120.5964
1721030453000000000,116.929
1721030454000000000,118.6808
1721030455000000000,123.8222
1721030456000000000,118.8789
1721030457000000000,120.2739
1721030458000000000,105.5652
1721030459000000000,132.2304
1721030460000000000,127.4223
1721030461000000000,126.9088
1721030462000000000,119.3173
1721030463000000000,99.7336
1721030464000000000,127.9439
1721030465000000000,122.8547
1721030466000000000,129.5425
1721030467000000000,119.4919
1721030468000000000,125.2176
1721030469000000000,124.6227
1721030470000000000,119.3211
1721030471000000000,124.8422
1721030472000000000,125.3462
1721030473000000000,125.8147
1721030474000000000,105.2407
1721030475000000000,117.8398
1721030476000000000,119.6518
1721030477000000000,121.4685
1721030478000000000,129.3255
1721030479000000000,104.9822
1721030480000000000,120.6097
1721030481000000000,117.2575
1721030482000000000,120.824
1721030483000000000,123.5021
1721030484000000000,127.3773
1721030485000000000,125.8567
1721030486000000000,105.0848
1721030487000000000,119.5479
1721030488000000000,120.0787
1721030489000000000,117.9635
1721030490000000000,116.7207
1721030491000000000,126.995
1721030492000000000,109.6971
1721030493000000000,124.1937
1721030494000000000,118.7595
1721030495000000000,116.5262
1721030496000000000,101.7078
1721030497000000000,121.0477
1721030498000000000,120.4814
1721030499000000000,131.1665
1721030500000000000,128.3571
1721030501000000000,116.8074
1721030502000000000,125.5427
1721030503000000000,135.6217
1721030504000000000,101.4994
1721030505000000000,119.0046
1721030506000000000,122.2462
1721030507000000000,131.7935
1721030508000000000,116.3815
1721030509000000000,118.3446
1721030510000000000,115.429
1721030511000000000,124.7746
1721030512000000000,129.4259
1721030513000000000,117.6431
1721030514000000000,118.6742
1721030515000000000,123.8942
1721030516000000000,112.6155
1721030517000000000,112.4874
1721030518000000000,111.6582
1721030519000000000,133.4575
1721030520000000000,120.831
1721030521000000000,124.889
1721030522000000000,128.9381
1721030523000000000,118.227
1721030524000000000,121.5136
1721030525000000000,118.9968
1721030526000000000,108.7802
1721030527000000000,122.0617
1721030528000000000,116.4973
1721030529000000000,118.3668
1721030530000000000,130.2539
1721030531000000000,115.6902
1721030532000000000,137.9048
1721030533000000000,126.9846
1721030534000000000,126.5718
1721030535000000000,129.1314
1721030536000000000,108.4494
1721030537000000000,116.7847
1721030538000000000,119.1864
1721030539000000000,114.671
1721030540000000000,112.056
1721030541000000000,116.3732
1721030542000000000,126.9898
1721030543000000000,125.7935
1721030544000000000,121.5262
1721030545000000000,121.6866
1721030546000000000,126.1638
1721030547000000000,113.9144
1721030548000000000,121.0997
1721030549000000000,121.9918
1721030550000000000,131.3018
1721030551000000000,123.8551
1721030552000000000,128.3003
1721030553000000000,134.5253
1721030554000000000,115.862
1721030555000000000,123.0111
1721030556000000000,132.6223
1721030557000000000,105.1913
1721030558000000000,115.9854
1721030559000000000,136.4856
1721030560000000000,136.2943
1721030561000000000,119.3348
1721030562000000000,128.592
1721030563000000000,117.135
1721030564000000000,110.2579
1721030565000000000,119.9171
1721030566000000000,120.8984
1721030567000000000,126.0703
1721030568000000000,119.7222
1721030569000000000,130.7047
1721030570000000000,113.07
1721030571000000000,114.828
1721030572000000000,122.0234
1721030573000000000,117.5592
1721030574000000000,116.9023
1721030575000000000,135.8353
1721030576000000000,113.1975
1721030577000000000,125.5376
1721030578000000000,118.4781
1721030579000000000,113.8499
1721030580000000000,113.1493
1721030581000000000,123.971
1721030582000000000,118.7693
1721030583000000000,130.1208
1721030584000000000,121.7123
1721030585000000000,102.3992
1721030586000000000,131.3771
1721030587000000000,128.6196
1721030588000000000,142.0241
1721030589000000000,117.5389
1721030590000000000,118.7892
1721030591000000000,105.3064
1721030592000000000,114.3024
1721030593000000000,122.8891
1721030594000000000,120.4756
1721030595000000000,117.4008
1721030596000000000,129.1485
