timestamp_ns,value
1721030400000000000,6.8984
1721030401000000000,6.1819
1721030402000000000,6.4642
1721030403000000000,6.4926
1721030404000000000,6.3576
1721030405000000000,6.9295
1721030406000000000,6.6418
1721030407000000000,6.7428
1721030408000000000,7.0011
1721030409000000000,6.7219
1721030410000000000,6.1293
1721030411000000000,6.3819
1721030412000000000,6.3065
1721030413000000000,6.307
1721030414000000000,6.2449
1721030415000000000,6.1524
1721030416000000000,6.3996
1721030417000000000,5.893
1721030418000000000,6.1865
1721030419000000000,6.7803
1721030420000000000,6.1927
1721030421000000000,6.6858
1721030422000000000,6.3867
1721030423000000000,6.2476
1721030424000000000,6.6193
1721030425000000000,6.2149
1721030426000000000,5.9762
1721030427000000000,6.8901
1721030428000000000,6.4935
1721030429000000000,6.5861
1721030430000000000,6.9977
1721030431000000000,6.5942
1721030432000000000,6.3707
1721030433000000000,5.8426
1721030434000000000,6.2583
1721030435000000000,5.8071
1721030436000000000,6.2155
1721030437000000000,6.4858
1721030438000000000,6.4113
1721030439000000000,6.3938
1721030440000000000,6.1655
1721030441000000000,6.3021
1721030442000000000,6.5903
1721030443000000000,6.0006
1721030444000000000,6.3017
1721030445000000000,6.4429
1721030446000000000,6.2425
1721030447000000000,6.2502
1721030448000000000,6.7469
1721030449000000000,6.2631
1721030450000000000,6.3183
1721030451000000000,6.7424
1721030452000000000,6.7575
1721030453000000000,6.3589
1721030454000000000,6.2183
1721030455000000000,6.3169
1721030456000000000,6.4422
1721030457000000000,6.5276
1721030458000000000,6.8148
1721030459000000000,6.2756
1721030460000000000,6.0517
1721030461000000000,6.7648
1721030462000000000,6.8042
1721030463000000000,6.4462
1721030464000000000,6.591
1721030465000000000,6.5305
1721030466000000000,6.4984
1721030467000000000,6.8224
1721030468000000000,6.5884
1721030469000000000,6.5061
1721030470000000000,6.1648
1721030471000000000,6.4603
1721030472000000000,6.6618
1721030473000000000,6.3177
1721030474000000000,6.3185
1721030475000000000,6.2946
1721030476000000000,6.4616
