timestamp_ns,value
1721030400000000000,-3.1359
1721030401000000000,6.3544
1721030402000000000,1.8482
1721030403000000000,9.1571
1721030404000000000,14.2007
1721030405000000000,12.7856
1721030406000000000,20.9683
1721030407000000000,21.7384
1721030408000000000,17.9715
1721030409000000000,17.9023
1721030410000000000,22.5696
1721030411000000000,24.6023
1721030412000000000,32.4143
1721030413000000000,33.7069
1721030414000000000,37.9905
1721030415000000000,36.9014
1721030416000000000,44.2763
1721030417000000000,50.1526
1721030418000000000,47.6644
1721030419000000000,44.245
1721030420000000000,52.8078
1721030421000000000,57.0615
1721030422000000000,60.884
1721030423000000000,58.0169
1721030424000000000,59.4683
1721030425000000000,64.5382
1721030426000000000,67.3388
1721030427000000000,73.6009
1721030428000000000,70.9612
1721030429000000000,75.8297
1721030430000000000,77.3886
1721030431000000000,83.8697
1721030432000000000,82.6947
1721030433000000000,86.712
1721030434000000000,87.0569
1721030435000000000,91.0549
1721030436000000000,95.2485
1721030437000000000,89.6163
1721030438000000000,97.6018
1721030439000000000,98.5403
1721030440000000000,100.7885
1721030441000000000,106.3838
1721030442000000000,108.936
1721030443000000000,113.5602
1721030444000000000,118.5003
1721030445000000000,113.4496
1721030446000000000,117.8518
1721030447000000000,122.9846
1721030448000000000,124.3289
1721030449000000000,131.4381
1721030450000000000,126.7076
1721030451000000000,133.2454
1721030452000000000,131.506
1721030453000000000,139.8458
1721030454000000000,143.1276
1721030455000000000,142.5132
1721030456000000000,145.2015
1721030457000000000,141.1066
1721030458000000000,147.6684
1721030459000000000,150.8535
1721030460000000000,145.473
1721030461000000000,153.3403
1721030462000000000,154.5668
1721030463000000000,157.4998
1721030464000000000,151.0221
1721030465000000000,157.5159
1721030466000000000,155.0506
1721030467000000000,159.1718
1721030468000000000,159.3233
1721030469000000000,159.8252
1721030470000000000,156.4194
1721030471000000000,153.9756
1721030472000000000,158.7709
1721030473000000000,154.691
1721030474000000000,154.0627
1721030475000000000,153.6725
1721030476000000000,155.0005
1721030477000000000,156.6938
1721030478000000000,158.2061
1721030479000000000,153.7707
1721030480000000000,157.1217
1721030481000000000,149.9496
1721030482000000000,154.115
1721030483000000000,158.3397
1721030484000000000,154.0852
1721030485000000000,153.5136
1721030486000000000,152.9894
1721030487000000000,153.1099
1721030488000000000,151.9335
1721030489000000000,148.8465
1721030490000000000,153.7125
1721030491000000000,152.434
1721030492000000000,149.809
1721030493000000000,156.1031
1721030494000000000,152.1219
1721030495000000000,160.157
1721030496000000000,149.228
1721030497000000000,155.3484
1721030498000000000,159.5858
1721030499000000000,158.0371
1721030500000000000,149.5756
1721030501000000000,155.6546
1721030502000000000,155.8752
1721030503000000000,157.1666
1721030504000000000,154.628
1721030505000000000,156.1895
1721030506000000000,159.5348
1721030507000000000,153.9974
1721030508000000000,157.0764
1721030509000000000,150.5531
1721030510000000000,153.6376
1721030511000000000,153.4178
1721030512000000000,159.8267
1721030513000000000,160.459
1721030514000000000,151.6146
1721030515000000000,155.4925
1721030516000000000,154.0105
1721030517000000000,156.2692
1721030518000000000,152.988
1721030519000000000,155.6665
1721030520000000000,155.0719
1721030521000000000,157.5992
1721030522000000000,149.6055
1721030523000000000,158.737
1721030524000000000,153.7652
1721030525000000000,151.0652
1721030526000000000,156.6699
1721030527000000000,153.7299
1721030528000000000,160.0178
1721030529000000000,151.8217
1721030530000000000,154.6119
1721030531000000000,157.881
1721030532000000000,153.4993
1721030533000000000,153.1889
1721030534000000000,160.3606
1721030535000000000,155.1282
1721030536000000000,154.6716
1721030537000000000,153.249
1721030538000000000,153.2851
1721030539000000000,153.8135
1721030540000000000,154.321
1721030541000000000,153.9097
1721030542000000000,152.9891
1721030543000000000,157.9736
1721030544000000000,150.7952
1721030545000000000,148.2444
1721030546000000000,155.9319
1721030547000000000,155.0025
1721030548000000000,151.7212
1721030549000000000,150.9736
1721030550000000000,157.2202
1721030551000000000,157.0093
1721030552000000000,153.0715
1721030553000000000,154.6092
1721030554000000000,156.1284
1721030555000000000,151.2895
1721030556000000000,155.5773
1721030557000000000,158.4126
1721030558000000000,155.8283
1721030559000000000,157.208
1721030560000000000,158.0538
1721030561000000000,155.7115
1721030562000000000,153.5887
1721030563000000000,156.0098
1721030564000000000,156.2447
1721030565000000000,153.7476
1721030566000000000,154.8467
1721030567000000000,153.0162
1721030568000000000,158.32
1721030569000000000,151.8892
1721030570000000000,152.973
1721030571000000000,153.3463
1721030572000000000,157.2488
1721030573000000000,159.1545
1721030574000000000,152.7846
1721030575000000000,155.0912
1721030576000000000,158.2939
1721030577000000000,153.1787
1721030578000000000,150.981
1721030579000000000,154.9154
1721030580000000000,153.3061
1721030581000000000,157.8001
1721030582000000000,156.7718
1721030583000000000,159.3862
1721030584000000000,154.4772
1721030585000000000,150.9976
1721030586000000000,154.905
1721030587000000000,158.3011
1721030588000000000,149.7618
1721030589000000000,155.114
1721030590000000000,160.0482
1721030591000000000,152.0523
1721030592000000000,157.6149
1721030593000000000,150.0728
1721030594000000000,155.9875
1721030595000000000,156.0772
1721030596000000000,155.12
1721030597000000000,156.9095
1721030598000000000,155.6829
1721030599000000000,158.5908
1721030600000000000,153.525
1721030601000000000,158.7833
1721030602000000000,149.9083
1721030603000000000,161.811
1721030604000000000,158.3336
1721030605000000000,158.8402
1721030606000000000,155.6637
1721030607000000000,154.3148
1721030608000000000,154.1019
1721030609000000000,159.4708
1721030610000000000,157.9042
1721030611000000000,157.0315
1721030612000000000,151.9321
1721030613000000000,155.7145
1721030614000000000,155.4936
1721030615000000000,154.7624
1721030616000000000,153.6829
1721030617000000000,151.2784
1721030618000000000,163.5939
1721030619000000000,156.6971
1721030620000000000,159.4183
1721030621000000000,149.3011
1721030622000000000,162.7325
1721030623000000000,150.8098
1721030624000000000,156.7187
1721030625000000000,154.9688
1721030626000000000,157.3527
1721030627000000000,155.6346
1721030628000000000,158.6621
1721030629000000000,151.7203
1721030630000000000,154.7957
1721030631000000000,155.4781
1721030632000000000,150.1162
1721030633000000000,149.7917
1721030634000000000,152.6217
1721030635000000000,157.4628
1721030636000000000,155.5574
1721030637000000000,160.8836
1721030638000000000,161.2294
1721030639000000000,153.1297
1721030640000000000,155.6724
1721030641000000000,152.9099
1721030642000000000,155.9686
1721030643000000000,154.2701
1721030644000000000,150.8648
1721030645000000000,152.7885
1721030646000000000,156.9651
1721030647000000000,153.7635
1721030648000000000,151.8146
1721030649000000000,160.2664
1721030650000000000,161.0388
1721030651000000000,154.4188
1721030652000000000,158.4491
1721030653000000000,158.298
1721030654000000000,156.2499
1721030655000000000,149.7786
1721030656000000000,154.7983
1721030657000000000,157.3829
1721030658000000000,154.61
1721030659000000000,160.209
1721030660000000000,154.9829
1721030661000000000,155.2182
1721030662000000000,152.7657
1721030663000000000,154.8385
1721030664000000000,155.5963
1721030665000000000,155.1439
1721030666000000000,157.4424
1721030667000000000,159.9801
1721030668000000000,159.0454
1721030669000000000,159.4642
1721030670000000000,155.1678
1721030671000000000,149.3061
1721030672000000000,151.6496
1721030673000000000,152.7891
1721030674000000000,155.4007
1721030675000000000,150.7758
1721030676000000000,156.8054
1721030677000000000,154.3903
1721030678000000000,157.1932
1721030679000000000,159.7482
1721030680000000000,151.8349
1721030681000000000,156.4235
1721030682000000000,150.6907
1721030683000000000,154.0973
1721030684000000000,155.9603
1721030685000000000,154.8524
1721030686000000000,151.2333
1721030687000000000,155.838
1721030688000000000,155.2222
1721030689000000000,153.1476
1721030690000000000,155.5
1721030691000000000,157.1614
1721030692000000000,160.4973
1721030693000000000,154.6245
1721030694000000000,155.9438
1721030695000000000,148.9308
1721030696000000000,154.9253
1721030697000000000,155.1024
1721030698000000000,158.3362
1721030699000000000,154.9864
1721030700000000000,157.7329
1721030701000000000,151.485
1721030702000000000,157.9367
1721030703000000000,160.5229
1721030704000000000,155.0391
1721030705000000000,153.5231
1721030706000000000,158.936
1721030707000000000,155.2348
1721030708000000000,159.7057
1721030709000000000,159.1492
1721030710000000000,154.3387
1721030711000000000,157.4125
1721030712000000000,152.9682
1721030713000000000,147.446
1721030714000000000,152.7757
1721030715000000000,152.6749
1721030716000000000,151.2942
1721030717000000000,148.7068
1721030718000000000,155.274
1721030719000000000,157.5706
1721030720000000000,158.8134
1721030721000000000,154.876
1721030722000000000,151.5745
1721030723000000000,157.7336
1721030724000000000,154.7335
1721030725000000000,153.3541
1721030726000000000,155.5827
1721030727000000000,156.2415
1721030728000000000,152.8242
1721030729000000000,155.1157
1721030730000000000,152.0162
1721030731000000000,153.7009
1721030732000000000,151.1451
1721030733000000000,156.6686
1721030734000000000,157.9813
1721030735000000000,156.0357
1721030736000000000,158.1463
1721030737000000000,151.0075
1721030738000000000,158.6194
1721030739000000000,153.7424
1721030740000000000,157.1439
1721030741000000000,155.2687
1721030742000000000,156.1075
1721030743000000000,156.7768
1721030744000000000,157.2483
1721030745000000000,158.9296
1721030746000000000,151.0202
1721030747000000000,154.6103
1721030748000000000,150.9384
1721030749000000000,153.8092
1721030750000000000,155.6996
1721030751000000000,156.4531
1721030752000000000,160.3809
1721030753000000000,155.76
1721030754000000000,155.4525
1721030755000000000,154.2446
1721030756000000000,152.32
1721030757000000000,152.3993
1721030758000000000,157.5877
1721030759000000000,157.525
1721030760000000000,157.2697
1721030761000000000,158.0059
1721030762000000000,155.6454
1721030763000000000,156.0599
1721030764000000000,149.4998
1721030765000000000,156.8075
1721030766000000000,156.7729
1721030767000000000,154.3477
1721030768000000000,156.5928
1721030769000000000,157.3314
1721030770000000000,156.6065
1721030771000000000,153.8824
1721030772000000000,150.2916
1721030773000000000,153.4992
1721030774000000000,153.272
1721030775000000000,155.8136
1721030776000000000,151.4715
1721030777000000000,149.37
1721030778000000000,153.2241
1721030779000000000,151.9592
1721030780000000000,157.643
1721030781000000000,150.8011
1721030782000000000,156.5321
1721030783000000000,151.672
1721030784000000000,156.8282
1721030785000000000,158.2181
1721030786000000000,156.5898
1721030787000000000,154.8433
1721030788000000000,153.4726
1721030789000000000,154.3368
1721030790000000000,156.4368
1721030791000000000,157.1661
1721030792000000000,155.002
1721030793000000000,159.9558
1721030794000000000,150.345
1721030795000000000,150.7666
1721030796000000000,150.1235
1721030797000000000,149.8911
1721030798000000000,155.7392
1721030799000000000,154.2225
1721030800000000000,153.2281
1721030801000000000,150.1008
1721030802000000000,156.0727
1721030803000000000,154.4532
1721030804000000000,154.2782
1721030805000000000,153.7768
1721030806000000000,153.7337
1721030807000000000,159.6401
1721030808000000000,157.8695
1721030809000000000,160.4738
1721030810000000000,158.139
1721030811000000000,153.29
1721030812000000000,158.9689
1721030813000000000,159.3792
1721030814000000000,157.5363
1721030815000000000,157.226
1721030816000000000,158.2742
1721030817000000000,158.7756
1721030818000000000,153.5256
1721030819000000000,159.4183
1721030820000000000,157.5274
1721030821000000000,155.7766
1721030822000000000,154.8081
1721030823000000000,150.7788
1721030824000000000,156.9502
1721030825000000000,153.4655
1721030826000000000,155.4212
1721030827000000000,151.0803
1721030828000000000,155.6608
1721030829000000000,153.6487
1721030830000000000,146.9924
1721030831000000000,154.2244
1721030832000000000,154.6145
1721030833000000000,157.4291
1721030834000000000,156.3898
1721030835000000000,156.8947
1721030836000000000,154.0525
1721030837000000000,152.3672
1721030838000000000,154.5903
1721030839000000000,158.8536
1721030840000000000,156.2764
1721030841000000000,154.6962
1721030842000000000,153.751
1721030843000000000,158.6206
1721030844000000000,160.1403
1721030845000000000,158.1303
1721030846000000000,153.2504
1721030847000000000,152.8206
1721030848000000000,152.9226
1721030849000000000,157.4094
1721030850000000000,157.2807
1721030851000000000,154.9181
1721030852000000000,152.0663
1721030853000000000,151.9815
1721030854000000000,153.2183
1721030855000000000,157.352
1721030856000000000,154.4445
1721030857000000000,155.3822
1721030858000000000,159.731
1721030859000000000,153.3599
1721030860000000000,160.4963
1721030861000000000,158.9632
1721030862000000000,155.7346
1721030863000000000,161.3999
1721030864000000000,149.5983
1721030865000000000,155.6087
1721030866000000000,156.0319
1721030867000000000,156.4571
1721030868000000000,155.2865
1721030869000000000,152.7297
1721030870000000000,159.3192
1721030871000000000,156.7887
1721030872000000000,159.9946
1721030873000000000,157.1014
1721030874000000000,154.0366
1721030875000000000,147.9363
1721030876000000000,155.1219
1721030877000000000,155.9478
1721030878000000000,152.0662
1721030879000000000,155.8323
1721030880000000000,152.8243
1721030881000000000,156.2106
1721030882000000000,152.8844
1721030883000000000,159.594
1721030884000000000,155.213
1721030885000000000,157.5328
1721030886000000000,153.2865
1721030887000000000,154.1202
1721030888000000000,157.3186
1721030889000000000,153.3686
1721030890000000000,154.7594
1721030891000000000,153.1714
1721030892000000000,150.4947
1721030893000000000,156.1005
1721030894000000000,157.3125
1721030895000000000,153.8883
1721030896000000000,161.2802
1721030897000000000,156.0467
1721030898000000000,155.0831
1721030899000000000,150.5778
1721030900000000000,151.9363
1721030901000000000,156.5029
1721030902000000000,157.1788
1721030903000000000,156.0978
1721030904000000000,151.6784
1721030905000000000,148.8118
1721030906000000000,154.2319
1721030907000000000,159.7734
1721030908000000000,156.8611
1721030909000000000,156.029
1721030910000000000,157.3447
1721030911000000000,155.2404
1721030912000000000,149.3719
1721030913000000000,156.7386
1721030914000000000,154.6223
1721030915000000000,148.213
1721030916000000000,157.3971
1721030917000000000,147.8958
1721030918000000000,156.231
1721030919000000000,153.8441
1721030920000000000,153.4156
1721030921000000000,153.2552
1721030922000000000,155.8878
1721030923000000000,156.7184
1721030924000000000,160.6021
1721030925000000000,158.0246
1721030926000000000,158.8868
1721030927000000000,151.6311
1721030928000000000,154.0812
1721030929000000000,154.9686
1721030930000000000,153.7601
1721030931000000000,154.3082
1721030932000000000,159.4381
1721030933000000000,157.5537
1721030934000000000,158.9211
1721030935000000000,156.1437
1721030936000000000,153.5249
1721030937000000000,155.8464
1721030938000000000,157.6407
1721030939000000000,154.9893
1721030940000000000,161.1107
1721030941000000000,159.6804
1721030942000000000,156.0502
1721030943000000000,155.9758
1721030944000000000,159.0447
1721030945000000000,157.8891
1721030946000000000,158.7421
1721030947000000000,149.8457
1721030948000000000,148.3407
1721030949000000000,154.8194
1721030950000000000,154.7987
1721030951000000000,150.4508
1721030952000000000,158.3946
1721030953000000000,154.4462
1721030954000000000,154.8426
1721030955000000000,152.9238
1721030956000000000,152.1925
1721030957000000000,157.0278
1721030958000000000,155.0525
1721030959000000000,154.6055
1721030960000000000,153.8077
1721030961000000000,156.8131
1721030962000000000,156.8421
1721030963000000000,151.1322
1721030964000000000,155.382
1721030965000000000,149.3181
1721030966000000000,156.3453
1721030967000000000,156.2923
1721030968000000000,155.7731
1721030969000000000,149.9916
1721030970000000000,147.8621
1721030971000000000,152.3335
1721030972000000000,154.4243
1721030973000000000,151.2924
1721030974000000000,151.0733
1721030975000000000,156.2807
1721030976000000000,149.228
1721030977000000000,160.8148
1721030978000000000,157.883
1721030979000000000,157.5
1721030980000000000,157.0566
1721030981000000000,153.9453
1721030982000000000,155.3875
1721030983000000000,155.0958
1721030984000000000,161.337
1721030985000000000,155.595
1721030986000000000,155.4256
1721030987000000000,153.3622
1721030988000000000,156.5649
1721030989000000000,157.7812
1721030990000000000,151.2906
1721030991000000000,159.5151
1721030992000000000,152.7576
1721030993000000000,153.797
1721030994000000000,153.635
1721030995000000000,156.2616
1721030996000000000,159.5777
1721030997000000000,154.7101
1721030998000000000,155.4436
1721030999000000000,157.4305
