timestamp_ns,value
1721890800000000000,0.8149
1721890801000000000,0.7831
1721890802000000000,0.7766
1721890803000000000,0.7643
1721890804000000000,0.7873
1721890805000000000,0.7652
1721890806000000000,0.7333
1721890807000000000,0.7392
1721890808000000000,0.7198
1721890809000000000,0.7256
1721890810000000000,0.7442
1721890811000000000,0.6967
1721890812000000000,0.7121
1721890813000000000,0.7283
1721890814000000000,0.7078
1721890815000000000,0.6699
1721890816000000000,0.6963
1721890817000000000,0.6755
1721890818000000000,0.6914
1721890819000000000,0.6593
1721890820000000000,0.6301
1721890821000000000,0.6678
1721890822000000000,0.6223
1721890823000000000,0.677
1721890824000000000,0.5851
1721890825000000000,0.6686
1721890826000000000,0.6159
1721890827000000000,0.6115
1721890828000000000,0.5788
1721890829000000000,0.6219
1721890830000000000,0.585
1721890831000000000,0.5994
1721890832000000000,0.549
1721890833000000000,0.5576
1721890834000000000,0.5692
1721890835000000000,0.5734
1721890836000000000,0.5552
1721890837000000000,0.5644
1721890838000000000,0.5715
1721890839000000000,0.5662
1721890840000000000,0.5477
1721890841000000000,0.5253
1721890842000000000,0.4956
1721890843000000000,0.5011
1721890844000000000,0.555
1721890845000000000,0.5019
1721890846000000000,0.5046
1721890847000000000,0.4979
1721890848000000000,0.5079
1721890849000000000,0.4521
1721890850000000000,0.4468
1721890851000000000,0.4563
1721890852000000000,0.4316
1721890853000000000,0.4555
1721890854000000000,0.4635
1721890855000000000,0.4598
1721890856000000000,0.3653
1721890857000000000,0.4192
1721890858000000000,0.4004
1721890859000000000,0.3969
1721890860000000000,0.4199
1721890861000000000,0.3843
1721890862000000000,0.3567
1721890863000000000,0.4074
1721890864000000000,0.3679
1721890865000000000,0.3591
1721890866000000000,0.3484
1721890867000000000,0.3283
1721890868000000000,0.3928
1721890869000000000,0.3591
1721890870000000000,0.3249
1721890871000000000,0.333
1721890872000000000,0.3336
1721890873000000000,0.3241
1721890874000000000,0.3462
1721890875000000000,0.3136
1721890876000000000,0.2859
1721890877000000000,0.2992
1721890878000000000,0.2685
1721890879000000000,0.2434
1721890880000000000,0.2544
1721890881000000000,0.2732
1721890882000000000,0.2689
1721890883000000000,0.2339
1721890884000000000,0.2112
1721890885000000000,0.2458
1721890886000000000,0.203
1721890887000000000,0.2345
1721890888000000000,0.2453
1721890889000000000,0.2341
1721890890000000000,0.2116
1721890891000000000,0.1767
1721890892000000000,0.1961
1721890893000000000,0.1833
1721890894000000000,0.1801
1721890895000000000,0.1935
1721890896000000000,0.1471
1721890897000000000,0.1479
1721890898000000000,0.1358
1721890899000000000,0.1874
1721890900000000000,0.1447
1721890901000000000,0.0939
1721890902000000000,0.0713
1721890903000000000,0.1034
1721890904000000000,0.1208
1721890905000000000,0.108
1721890906000000000,0.0879
1721890907000000000,0.099
1721890908000000000,0.092
1721890909000000000,0.095
1721890910000000000,0.0798
1721890911000000000,0.062
1721890912000000000,0.0687
1721890913000000000,0.0406
1721890914000000000,0.064
1721890915000000000,0.0254
1721890916000000000,0.0365
1721890917000000000,0.0263
1721890918000000000,-0.0247
1721890919000000000,0.0267
1721890920000000000,0.0205
1721890921000000000,-0.012
1721890922000000000,0.0151
1721890923000000000,-0.0012
1721890924000000000,0.0192
1721890925000000000,0.0103
1721890926000000000,0.0116
1721890927000000000,-0.0002
1721890928000000000,0.0062
1721890929000000000,0.0374
1721890930000000000,-0.0091
1721890931000000000,-0.0198
1721890932000000000,-0.023
1721890933000000000,0.0072
1721890934000000000,-0.005
1721890935000000000,0.0036
1721890936000000000,0.007
1721890937000000000,-0.0195
1721890938000000000,-0.0301
1721890939000000000,-0.0087
1721890940000000000,-0.0142
1721890941000000000,-0.0061
1721890942000000000,0.0022
1721890943000000000,0.0219
1721890944000000000,-0.0356
1721890945000000000,-0.0156
1721890946000000000,0.0424
1721890947000000000,0.0305
1721890948000000000,-0.0247
1721890949000000000,-0.0337
1721890950000000000,0.0311
1721890951000000000,-0.0308
1721890952000000000,-0.038
1721890953000000000,-0.0123
1721890954000000000,0.0044
1721890955000000000,-0.0153
1721890956000000000,0.0119
1721890957000000000,-0.0054
1721890958000000000,0.0162
1721890959000000000,0.0305
1721890960000000000,0.0187
1721890961000000000,0.0001
1721890962000000000,-0.0006
1721890963000000000,0.0122
1721890964000000000,0.0241
1721890965000000000,0.0109
1721890966000000000,0.0087
1721890967000000000,0.008
1721890968000000000,0.0226
1721890969000000000,-0.0109
1721890970000000000,0.0172
1721890971000000000,0.0286
1721890972000000000,-0.024
1721890973000000000,-0.0173
1721890974000000000,0.046
1721890975000000000,0.0122
1721890976000000000,0.004
1721890977000000000,0.0047
1721890978000000000,-0.0149
1721890979000000000,-0.0324
1721890980000000000,-0.0072
1721890981000000000,-0.001
1721890982000000000,0.0014
1721890983000000000,-0.027
1721890984000000000,0.0344
1721890985000000000,0.0197
1721890986000000000,0.017
1721890987000000000,0.0376
1721890988000000000,-0.0027
1721890989000000000,-0.0025
1721890990000000000,0.0281
1721890991000000000,-0.0097
1721890992000000000,0.011
1721890993000000000,-0.0198
1721890994000000000,0.0026
1721890995000000000,-0.0423
1721890996000000000,0.0151
