timestamp_ns,value
1721890800000000000,0.7976
1721890801000000000,0.7906
1721890802000000000,0.8009
1721890803000000000,0.7408
1721890804000000000,0.7723
1721890805000000000,0.7423
1721890806000000000,0.7897
1721890807000000000,0.7371
1721890808000000000,0.7769
1721890809000000000,0.7253
1721890810000000000,0.7485
1721890811000000000,0.7183
1721890812000000000,0.7041
1721890813000000000,0.7267
1721890814000000000,0.6933
1721890815000000000,0.6975
1721890816000000000,0.7117
1721890817000000000,0.7082
1721890818000000000,0.7116
1721890819000000000,0.67
1721890820000000000,0.6739
1721890821000000000,0.6597
1721890822000000000,0.6559
1721890823000000000,0.6465
1721890824000000000,0.6101
1721890825000000000,0.6276
1721890826000000000,0.5973
1721890827000000000,0.6006
1721890828000000000,0.5945
1721890829000000000,0.6201
1721890830000000000,0.5706
1721890831000000000,0.6054
1721890832000000000,0.6012
1721890833000000000,0.5853
1721890834000000000,0.5857
1721890835000000000,0.5524
1721890836000000000,0.5929
1721890837000000000,0.5596
1721890838000000000,0.5506
1721890839000000000,0.5164
1721890840000000000,0.5192
1721890841000000000,0.5068
1721890842000000000,0.5456
1721890843000000000,0.4757
1721890844000000000,0.5351
1721890845000000000,0.4826
1721890846000000000,0.4658
1721890847000000000,0.4859
1721890848000000000,0.4734
1721890849000000000,0.5053
1721890850000000000,0.4567
1721890851000000000,0.4545
1721890852000000000,0.4579
1721890853000000000,0.438
1721890854000000000,0.4331
1721890855000000000,0.4666
1721890856000000000,0.4039
1721890857000000000,0.4418
1721890858000000000,0.4131
1721890859000000000,0.4441
1721890860000000000,0.3799
1721890861000000000,0.3809
1721890862000000000,0.3902
1721890863000000000,0.3506
1721890864000000000,0.3907
1721890865000000000,0.3692
1721890866000000000,0.3481
1721890867000000000,0.3355
1721890868000000000,0.3498
1721890869000000000,0.3487
1721890870000000000,0.3165
1721890871000000000,0.3149
1721890872000000000,0.288
1721890873000000000,0.3369
1721890874000000000,0.2974
1721890875000000000,0.3308
1721890876000000000,0.2884
1721890877000000000,0.3002
1721890878000000000,0.2927
1721890879000000000,0.2764
1721890880000000000,0.2839
1721890881000000000,0.2631
1721890882000000000,0.2725
1721890883000000000,0.2488
1721890884000000000,0.2777
1721890885000000000,0.1945
1721890886000000000,0.2282
1721890887000000000,0.2107
1721890888000000000,0.2095
1721890889000000000,0.2139
1721890890000000000,0.2002
1721890891000000000,0.1855
1721890892000000000,0.1595
1721890893000000000,0.1833
1721890894000000000,0.1581
1721890895000000000,0.2074
1721890896000000000,0.1192
1721890897000000000,0.1693
1721890898000000000,0.1566
1721890899000000000,0.1135
1721890900000000000,0.1539
1721890901000000000,0.1314
1721890902000000000,0.1343
1721890903000000000,0.1208
1721890904000000000,0.0908
