timestamp_ns,value
1721890800000000000,5.1516
1721890801000000000,5.9298
1721890802000000000,14.3664
1721890803000000000,9.2903
1721890804000000000,-2.135
1721890805000000000,7.7478
1721890806000000000,11.1534
1721890807000000000,9.3956
1721890808000000000,11.0899
1721890809000000000,20.788
1721890810000000000,29.3641
1721890811000000000,26.9085
1721890812000000000,32.545
1721890813000000000,31.5151
1721890814000000000,48.2407
1721890815000000000,37.7608
1721890816000000000,42.0787
1721890817000000000,50.6622
1721890818000000000,27.4043
1721890819000000000,47.1977
1721890820000000000,59.0719
1721890821000000000,41.5672
1721890822000000000,48.5467
1721890823000000000,47.3874
1721890824000000000,59.8761
1721890825000000000,66.2047
1721890826000000000,75.1764
1721890827000000000,58.5253
1721890828000000000,56.6715
1721890829000000000,87.374
1721890830000000000,83.7715
1721890831000000000,78.565
1721890832000000000,71.2839
1721890833000000000,88.5396
1721890834000000000,76.3889
1721890835000000000,67.6315
1721890836000000000,96.8358
1721890837000000000,97.4522
1721890838000000000,102.4833
1721890839000000000,96.7909
1721890840000000000,105.626
1721890841000000000,116.0736
1721890842000000000,102.32
1721890843000000000,111.1276
1721890844000000000,112.7442
1721890845000000000,116.1297
1721890846000000000,101.2289
1721890847000000000,120.1806
1721890848000000000,128.7128
1721890849000000000,122.2163
1721890850000000000,121.5509
1721890851000000000,123.6601
1721890852000000000,134.0562
1721890853000000000,135.1112
1721890854000000000,149.8266
1721890855000000000,137.021
1721890856000000000,130.2317
1721890857000000000,150.7108
1721890858000000000,152.8307
1721890859000000000,137.9405
1721890860000000000,123.7801
1721890861000000000,161.4687
1721890862000000000,154.4138
1721890863000000000,148.3993
1721890864000000000,147.8825
1721890865000000000,148.886
1721890866000000000,148.8139
1721890867000000000,152.2449
1721890868000000000,155.0629
1721890869000000000,148.2518
1721890870000000000,149.3785
1721890871000000000,160.3715
1721890872000000000,149.2546
1721890873000000000,148.1478
1721890874000000000,143.8368
1721890875000000000,158.9991
1721890876000000000,138.1295
1721890877000000000,136.4516
1721890878000000000,149.2323
1721890879000000000,150.8583
1721890880000000000,147.1145
1721890881000000000,148.976
1721890882000000000,145.6815
1721890883000000000,157.3554
1721890884000000000,149.1735
1721890885000000000,137.1736
1721890886000000000,166.3895
1721890887000000000,144.4918
1721890888000000000,155.5902
1721890889000000000,149.0024
1721890890000000000,156.0703
1721890891000000000,163.6487
1721890892000000000,137.213
1721890893000000000,159.1352
1721890894000000000,153.8032
1721890895000000000,154.1757
1721890896000000000,162.5822
1721890897000000000,158.8331
1721890898000000000,142.8825
1721890899000000000,149.2654
1721890900000000000,143.953
1721890901000000000,166.3279
1721890902000000000,149.8336
1721890903000000000,145.7527
1721890904000000000,147.1331
1721890905000000000,153.5608
1721890906000000000,164.012
1721890907000000000,142.88
1721890908000000000,149.4955
1721890909000000000,138.7988
1721890910000000000,155.2478
1721890911000000000,163.8976
1721890912000000000,154.2213
1721890913000000000,164.4789
1721890914000000000,144.9894
1721890915000000000,143.0884
1721890916000000000,147.707
1721890917000000000,157.3014
1721890918000000000,158.6637
1721890919000000000,156.2304
1721890920000000000,146.3775
1721890921000000000,150.486
1721890922000000000,139.664
1721890923000000000,144.4203
1721890924000000000,152.8299
1721890925000000000,135.9452
1721890926000000000,140.6209
1721890927000000000,156.9801
1721890928000000000,146.1791
1721890929000000000,143.9682
1721890930000000000,140.2683
1721890931000000000,146.46
1721890932000000000,157.498
1721890933000000000,172.5391
1721890934000000000,154.2161
1721890935000000000,150.9744
1721890936000000000,145.9652
1721890937000000000,156.1594
1721890938000000000,146.9097
1721890939000000000,145.2678
1721890940000000000,147.2409
1721890941000000000,139.6395
1721890942000000000,148.0541
1721890943000000000,142.5336
1721890944000000000,158.5926
1721890945000000000,152.8206
1721890946000000000,144.4017
1721890947000000000,143.2243
1721890948000000000,145.6739
1721890949000000000,138.3435
1721890950000000000,159.6778
1721890951000000000,162.789
1721890952000000000,136.9997
1721890953000000000,140.2478
1721890954000000000,149.3299
1721890955000000000,144.9925
1721890956000000000,156.9137
1721890957000000000,150.3364
1721890958000000000,159.5794
1721890959000000000,155.4102
1721890960000000000,146.6823
1721890961000000000,144.6591
1721890962000000000,149.3051
1721890963000000000,145.6053
1721890964000000000,140.3811
1721890965000000000,145.0993
1721890966000000000,143.7126
1721890967000000000,134.3345
1721890968000000000,150.5915
1721890969000000000,163.4862
1721890970000000000,137.7284
1721890971000000000,144.1447
1721890972000000000,146.5175
1721890973000000000,151.1407
1721890974000000000,157.4575
1721890975000000000,147.1529
1721890976000000000,157.6469
1721890977000000000,147.081
1721890978000000000,147.1703
1721890979000000000,145.283
1721890980000000000,154.3618
1721890981000000000,148.9541
1721890982000000000,152.7211
1721890983000000000,150.9549
1721890984000000000,149.6423
1721890985000000000,150.1537
1721890986000000000,146.8117
1721890987000000000,144.0666
1721890988000000000,146.5226
1721890989000000000,151.4712
1721890990000000000,125.2001
1721890991000000000,160.5504
1721890992000000000,153.4825
1721890993000000000,156.5554
1721890994000000000,148.35
1721890995000000000,163.3856
1721890996000000000,151.8582
1721890997000000000,145.2588
1721890998000000000,150.1317
1721890999000000000,150.8369
1721891000000000000,142.5386
1721891001000000000,139.2414
1721891002000000000,144.711
1721891003000000000,142.9647
1721891004000000000,158.0846
1721891005000000000,141.1033
1721891006000000000,143.7505
1721891007000000000,147.8037
1721891008000000000,149.9547
1721891009000000000,147.4549
1721891010000000000,146.2567
1721891011000000000,141.5079
1721891012000000000,159.119
1721891013000000000,148.4592
1721891014000000000,138.2366
1721891015000000000,151.5347
1721891016000000000,141.7094
1721891017000000000,150.3398
1721891018000000000,150.697
1721891019000000000,169.9823
1721891020000000000,143.5301
1721891021000000000,152.0578
1721891022000000000,152.3482
1721891023000000000,160.2818
1721891024000000000,156.1802
1721891025000000000,162.1097
1721891026000000000,155.58
1721891027000000000,164.6581
1721891028000000000,137.7789
1721891029000000000,151.0414
1721891030000000000,145.3829
1721891031000000000,151.9928
1721891032000000000,144.5359
1721891033000000000,152.8696
1721891034000000000,146.9057
1721891035000000000,147.555
1721891036000000000,154.3329
1721891037000000000,150.8252
1721891038000000000,150.4064
1721891039000000000,156.0874
1721891040000000000,158.6624
1721891041000000000,159.3431
1721891042000000000,156.9431
1721891043000000000,144.118
1721891044000000000,155.6582
1721891045000000000,149.3809
1721891046000000000,156.348
1721891047000000000,147.5323
1721891048000000000,155.8352
1721891049000000000,145.0914
1721891050000000000,153.3669
1721891051000000000,151.8787
1721891052000000000,154.5848
1721891053000000000,163.5009
1721891054000000000,140.5135
1721891055000000000,151.7786
1721891056000000000,153.193
1721891057000000000,162.1979
1721891058000000000,160.645
1721891059000000000,153.7338
1721891060000000000,142.7462
1721891061000000000,155.11
1721891062000000000,138.7673
1721891063000000000,149.4695
1721891064000000000,159.7926
1721891065000000000,146.2705
1721891066000000000,167.9053
1721891067000000000,169.9596
1721891068000000000,136.989
1721891069000000000,152.9269
1721891070000000000,160.9988
1721891071000000000,146.3112
1721891072000000000,150.0332
1721891073000000000,144.9243
1721891074000000000,145.0619
1721891075000000000,145.7233
1721891076000000000,143.574
1721891077000000000,147.7873
1721891078000000000,147.068
1721891079000000000,152.6459
1721891080000000000,154.8507
1721891081000000000,145.0982
1721891082000000000,144.6458
1721891083000000000,142.4064
1721891084000000000,146.795
1721891085000000000,146.372
1721891086000000000,150.4073
1721891087000000000,138.8727
1721891088000000000,154.1335
1721891089000000000,150.0326
1721891090000000000,151.8071
1721891091000000000,155.3811
1721891092000000000,138.0208
1721891093000000000,146.8174
1721891094000000000,141.9653
1721891095000000000,150.5626
1721891096000000000,147.5679
1721891097000000000,150.8794
1721891098000000000,157.9366
1721891099000000000,159.8975
