timestamp_ns,value
1721736000000000000,0.8053
1721736000100000000,0.8088
1721736000200000000,0.7324
1721736000300000000,0.8965
1721736000400000000,0.7977
1721736000500000000,-0.0046
1721736000600000000,-0.0129
1721736000700000000,0.006
1721736000800000000,-0.0082
1721736000900000000,-0.0016
1721736001000000000,0.0052
1721736001100000000,0.0079
1721736001200000000,-0.0148
1721736001300000000,0.0166
1721736001400000000,-0.0025
1721736001500000000,0.0092
1721736001600000000,0.0151
1721736001700000000,-0.0082
1721736001800000000,0.0042
1721736001900000000,0.0049
1721736002000000000,0.0062
1721736002100000000,0.0128
1721736002200000000,0.0133
1721736002300000000,0.0044
1721736002400000000,-0.0176
1721736002500000000,-0.0107
1721736002600000000,-0.0114
1721736002700000000,0.016
1721736002800000000,-0.0094
1721736002900000000,-0.0068
1721736003000000000,0.8595
1721736003100000000,0.8592
1721736003200000000,0.7546
1721736003300000000,0.8048
1721736003400000000,0.9011
1721736003500000000,0.013
1721736003600000000,-0.0041
1721736003700000000,0.0062
1721736003800000000,0.0004
1721736003900000000,-0.0065
1721736004000000000,0.0148
1721736004100000000,-0.0004
1721736004200000000,0.0108
1721736004300000000,-0.0093
1721736004400000000,-0.0032
1721736004500000000,-0.0073
1721736004600000000,0.0143
1721736004700000000,-0.0072
1721736004800000000,-0.0015
1721736004900000000,-0.0026
1721736005000000000,-0.0004
1721736005100000000,-0.0038
1721736005200000000,-0.0038
1721736005300000000,-0.0179
1721736005400000000,0.025
1721736005500000000,-0.0045
1721736005600000000,0.012
1721736005700000000,-0.0086
1721736005800000000,-0.0169
1721736005900000000,0.0042
1721736006000000000,0.8342
1721736006100000000,0.7693
1721736006200000000,0.7608
1721736006300000000,0.795
1721736006400000000,0.8424
1721736006500000000,0.0043
1721736006600000000,-0.0064
1721736006700000000,-0.0163
1721736006800000000,0.0013
1721736006900000000,-0.0077
1721736007000000000,-0.0011
1721736007100000000,0.0029
1721736007200000000,-0.0164
1721736007300000000,-0.001
1721736007400000000,-0.0048
1721736007500000000,0.0041
1721736007600000000,-0.0098
1721736007700000000,0.0002
1721736007800000000,-0.0059
1721736007900000000,-0.0108
1721736008000000000,0.0053
1721736008100000000,0.0039
1721736008200000000,-0.0138
1721736008300000000,-0.0072
1721736008400000000,-0.0044
1721736008500000000,-0.0019
1721736008600000000,0.0013
1721736008700000000,0.0125
1721736008800000000,-0.0076
1721736008900000000,0.002
1721736009000000000,0.7189
1721736009100000000,0.9434
1721736009200000000,0.7523
1721736009300000000,0.8123
1721736009400000000,0.8069
1721736009500000000,-0.015
1721736009600000000,-0.0032
1721736009700000000,0.0021
1721736009800000000,-0.0085
1721736009900000000,0.0041
1721736010000000000,-0.0023
1721736010100000000,0.0047
1721736010200000000,-0.0009
1721736010300000000,-0.0221
1721736010400000000,0.0083
1721736010500000000,0.0051
1721736010600000000,0.0267
1721736010700000000,-0.0019
1721736010800000000,-0.0233
1721736010900000000,0.003
1721736011000000000,0.0102
1721736011100000000,0.0119
1721736011200000000,-0.0007
1721736011300000000,-0.0054
1721736011400000000,0.008
1721736011500000000,0.0155
1721736011600000000,-0.0171
1721736011700000000,0.0037
1721736011800000000,0.0122
1721736011900000000,-0.0087
1721736012000000000,0.8246
1721736012100000000,0.764
1721736012200000000,0.822
1721736012300000000,0.8616
1721736012400000000,0.8482
1721736012500000000,-0.0041
1721736012600000000,0.0085
1721736012700000000,-0.004
1721736012800000000,0.0017
1721736012900000000,-0.0006
1721736013000000000,-0.0091
1721736013100000000,-0.006
1721736013200000000,-0.0034
1721736013300000000,0.0051
1721736013400000000,0.0048
1721736013500000000,-0.0048
1721736013600000000,-0.0099
1721736013700000000,-0.007
1721736013800000000,0.0013
1721736013900000000,-0.002
1721736014000000000,-0.0112
1721736014100000000,0.0032
1721736014200000000,0.0053
1721736014300000000,0.002
1721736014400000000,-0.0086
1721736014500000000,0.0225
1721736014600000000,-0.0129
1721736014700000000,-0.0117
1721736014800000000,-0.004
1721736014900000000,0.0226
1721736015000000000,0.7971
1721736015100000000,0.7796
1721736015200000000,0.8532
1721736015300000000,0.774
1721736015400000000,0.7493
1721736015500000000,-0.0122
1721736015600000000,0.0044
1721736015700000000,0.0092
1721736015800000000,0.0008
1721736015900000000,-0.0045
1721736016000000000,-0.005
1721736016100000000,-0.0223
1721736016200000000,0.0042
1721736016300000000,0.0053
1721736016400000000,0.0046
1721736016500000000,0.001
1721736016600000000,-0.0115
1721736016700000000,0.018
1721736016800000000,-0.0047
1721736016900000000,-0.0017
1721736017000000000,0.0018
1721736017100000000,-0.0133
1721736017200000000,0.0015
1721736017300000000,0.012
1721736017400000000,-0.0006
1721736017500000000,-0.015
1721736017600000000,-0.0048
1721736017700000000,-0.0074
1721736017800000000,-0.0109
1721736017900000000,0.0074
1721736018000000000,0.7076
1721736018100000000,0.871
1721736018200000000,0.7341
1721736018300000000,0.876
1721736018400000000,0.7747
1721736018500000000,0.008
1721736018600000000,0.0082
1721736018700000000,-0.0011
1721736018800000000,0.0132
1721736018900000000,0.0078
1721736019000000000,-0.0145
1721736019100000000,-0.001
