timestamp_ns,value
1721977200000000000,1.0439
1721977200100000000,0.3462
1721977200200000000,1.5282
1721977200300000000,-0.2804
1721977200400000000,-1.9691
1721977200500000000,-2.121
1721977200600000000,-1.5491
1721977200700000000,3.618
1721977200800000000,0.5408
1721977200900000000,0.6759
1721977201000000000,0.8073
1721977201100000000,-1.0273
1721977201200000000,0.6382
1721977201300000000,3.7737
1721977201400000000,3.6862
1721977201500000000,-2.4915
1721977201600000000,0.2285
1721977201700000000,-1.2219
1721977201800000000,0.4326
1721977201900000000,1.676
1721977202000000000,-0.4812
1721977202100000000,-0.0283
1721977202200000000,-1.1206
1721977202300000000,-0.165
1721977202400000000,-0.2693
1721977202500000000,-0.7683
1721977202600000000,-0.4926
1721977202700000000,1.2782
1721977202800000000,1.6302
1721977202900000000,-1.4851
1721977203000000000,0.9421
1721977203100000000,-0.4152
1721977203200000000,-0.84
1721977203300000000,-1.0196
1721977203400000000,1.0786
1721977203500000000,-1.1828
1721977203600000000,0.1748
1721977203700000000,-0.641
1721977203800000000,-1.6311
1721977203900000000,-1.7415
1721977204000000000,1.114
1721977204100000000,-2.0262
1721977204200000000,-0.2608
1721977204300000000,0.4324
1721977204400000000,1.8339
1721977204500000000,-4.5833
1721977204600000000,-0.3247
1721977204700000000,0.7738
1721977204800000000,-0.5598
1721977204900000000,1.4773
1721977205000000000,-0.5472
1721977205100000000,1.4253
1721977205200000000,0.9008
1721977205300000000,-1.283
1721977205400000000,-0.3978
1721977205500000000,1.7188
1721977205600000000,-2.0709
1721977205700000000,-0.2621
1721977205800000000,1.2131
1721977205900000000,-2.0094
1721977206000000000,0.5312
1721977206100000000,-0.7366
1721977206200000000,-0.3686
1721977206300000000,2.123
1721977206400000000,0.187
1721977206500000000,0.3604
1721977206600000000,0.3471
1721977206700000000,-0.0942
1721977206800000000,3.6474
1721977206900000000,0.7866
1721977207000000000,-1.1427
1721977207100000000,-2.0149
1721977207200000000,-1.2737
1721977207300000000,0.8059
1721977207400000000,0.3677
1721977207500000000,-1.6213
1721977207600000000,-3.1734
1721977207700000000,-0.7373
1721977207800000000,1.3291
1721977207900000000,0.58
1721977208000000000,0.2562
1721977208100000000,0.4472
1721977208200000000,0.0549
1721977208300000000,-1.6363
1721977208400000000,3.0074
1721977208500000000,-1.4549
1721977208600000000,-3.3431
1721977208700000000,-0.3168
1721977208800000000,0.6842
1721977208900000000,-0.0809
1721977209000000000,0.2558
1721977209100000000,0.8247
1721977209200000000,-1.6259
1721977209300000000,1.7121
1721977209400000000,0.0178
1721977209500000000,-0.6198
1721977209600000000,2.3507
1721977209700000000,-1.8764
1721977209800000000,3.8652
1721977209900000000,-1.0281
1721977210000000000,-0.1041
1721977210100000000,1.2316
1721977210200000000,-2.267
1721977210300000000,-2.0014
1721977210400000000,0.772
1721977210500000000,-2.1798
1721977210600000000,-0.152
1721977210700000000,-0.5732
1721977210800000000,-1.185
1721977210900000000,-1.2446
1721977211000000000,-0.1662
1721977211100000000,-0.6011
1721977211200000000,-1.433
1721977211300000000,-2.8077
1721977211400000000,3.1448
1721977211500000000,-0.1951
1721977211600000000,1.9945
1721977211700000000,-0.549
1721977211800000000,-0.4371
1721977211900000000,2.2755
1721977212000000000,-0.8953
1721977212100000000,-1.5565
1721977212200000000,2.3732
1721977212300000000,-0.669
1721977212400000000,-1.1533
1721977212500000000,-1.1097
1721977212600000000,-1.808
1721977212700000000,-1.7569
