timestamp_ns,value
1721977200000000000,-1.5072
1721977200100000000,-0.529
1721977200200000000,-1.1207
1721977200300000000,0.1511
1721977200400000000,-1.6379
1721977200500000000,-1.0519
1721977200600000000,-1.0279
1721977200700000000,-2.0067
1721977200800000000,2.2633
1721977200900000000,0.1189
1721977201000000000,0.2962
1721977201100000000,-0.8286
1721977201200000000,-0.6198
1721977201300000000,-0.8191
1721977201400000000,2.6581
1721977201500000000,0.3276
1721977201600000000,-3.3243
1721977201700000000,-1.7291
1721977201800000000,0.103
1721977201900000000,1.2718
1721977202000000000,2.2858
1721977202100000000,1.0152
1721977202200000000,1.4477
1721977202300000000,2.6977
1721977202400000000,-0.9886
1721977202500000000,2.3211
1721977202600000000,-0.2453
1721977202700000000,1.0359
1721977202800000000,0.8209
1721977202900000000,-1.1729
1721977203000000000,2.9355
1721977203100000000,-0.3687
1721977203200000000,0.5732
1721977203300000000,-0.1256
1721977203400000000,2.4481
1721977203500000000,-0.9896
1721977203600000000,0.6766
1721977203700000000,1.5696
1721977203800000000,-0.476
1721977203900000000,-0.3413
1721977204000000000,1.402
1721977204100000000,-0.2576
1721977204200000000,1.3924
1721977204300000000,-0.3092
1721977204400000000,-2.4291
1721977204500000000,0.4435
1721977204600000000,3.3902
1721977204700000000,0.0174
1721977204800000000,0.359
1721977204900000000,-1.5522
1721977205000000000,-0.8956
1721977205100000000,0.1308
1721977205200000000,-0.3242
1721977205300000000,-1.5233
1721977205400000000,0.0413
1721977205500000000,-1.3782
1721977205600000000,1.2579
1721977205700000000,2.9905
1721977205800000000,-1.17
1721977205900000000,2.7852
1721977206000000000,-2.9625
1721977206100000000,1.1952
1721977206200000000,-1.9215
1721977206300000000,-2.5096
1721977206400000000,-1.7623
1721977206500000000,-0.1857
1721977206600000000,-0.8772
1721977206700000000,1.0403
1721977206800000000,-0.1051
1721977206900000000,2.284
1721977207000000000,-1.1499
1721977207100000000,-2.1921
1721977207200000000,-1.1924
1721977207300000000,-0.265
1721977207400000000,1.4237
1721977207500000000,-1.0257
1721977207600000000,-0.3024
1721977207700000000,-0.6999
1721977207800000000,0.9435
1721977207900000000,-0.0348
1721977208000000000,1.8426
1721977208100000000,1.6838
1721977208200000000,3.0934
1721977208300000000,-0.0255
1721977208400000000,-0.3722
1721977208500000000,0.6179
1721977208600000000,1.0167
1721977208700000000,0.4527
1721977208800000000,-1.0521
1721977208900000000,-2.8707
1721977209000000000,-0.2617
1721977209100000000,1.2498
1721977209200000000,-1.0486
1721977209300000000,3.2281
1721977209400000000,-3.1997
1721977209500000000,1.7432
1721977209600000000,3.2039
1721977209700000000,0.8038
1721977209800000000,-1.3589
1721977209900000000,0.1234
1721977210000000000,1.0258
1721977210100000000,1.0032
1721977210200000000,-1.2119
1721977210300000000,1.6026
1721977210400000000,0.0842
1721977210500000000,-0.6366
1721977210600000000,-0.3593
1721977210700000000,0.6031
1721977210800000000,-0.8092
1721977210900000000,1.0382
1721977211000000000,1.6121
1721977211100000000,-1.57
1721977211200000000,-1.6515
1721977211300000000,1.1937
1721977211400000000,-2.6481
1721977211500000000,-0.166
1721977211600000000,-1.1054
1721977211700000000,-1.7566
1721977211800000000,1.1547
1721977211900000000,1.3449
1721977212000000000,1.1264
1721977212100000000,-1.9744
1721977212200000000,0.7123
1721977212300000000,-0.6581
1721977212400000000,-0.135
1721977212500000000,2.1677
1721977212600000000,-2.2925
1721977212700000000,-0.052
1721977212800000000,1.3819
1721977212900000000,-2.8446
1721977213000000000,1.8666
1721977213100000000,2.2248
1721977213200000000,3.1101
1721977213300000000,0.1691
1721977213400000000,0.1771
1721977213500000000,0.9682
1721977213600000000,-0.4572
1721977213700000000,1.7543
1721977213800000000,-1.3071
1721977213900000000,-1.0551
1721977214000000000,-0.6554
1721977214100000000,-0.5983
1721977214200000000,1.0342
1721977214300000000,2.3869
1721977214400000000,0.0152
1721977214500000000,2.6571
1721977214600000000,1.7272
1721977214700000000,0.62
1721977214800000000,-0.5181
1721977214900000000,-0.8465
1721977215000000000,-0.4615
1721977215100000000,-1.4476
1721977215200000000,0.473
1721977215300000000,0.0345
1721977215400000000,0.311
1721977215500000000,-0.7204
1721977215600000000,0.8623
1721977215700000000,0.1541
1721977215800000000,-0.4232
1721977215900000000,1.8703
1721977216000000000,-1.1508
1721977216100000000,-0.7006
1721977216200000000,0.6655
1721977216300000000,-0.624
1721977216400000000,-0.06
1721977216500000000,-1.2816
1721977216600000000,-0.7327
1721977216700000000,1.3321
1721977216800000000,-0.4041
1721977216900000000,1.0667
1721977217000000000,1.521
1721977217100000000,-3.5974
1721977217200000000,0.2454
1721977217300000000,0.9369
1721977217400000000,-2.5086
1721977217500000000,-0.4922
1721977217600000000,-0.196
1721977217700000000,-1.2116
1721977217800000000,1.0828
1721977217900000000,0.2885
1721977218000000000,1.4445
1721977218100000000,-1.2237
1721977218200000000,-1.2578
1721977218300000000,-1.7476
1721977218400000000,0.4058
1721977218500000000,-1.8947
1721977218600000000,-2.0208
1721977218700000000,0.0059
1721977218800000000,0.0287
1721977218900000000,-1.2361
1721977219000000000,0.3051
1721977219100000000,-1.4388
1721977219200000000,-0.8632
1721977219300000000,0.774
1721977219400000000,-0.488
1721977219500000000,2.4225
1721977219600000000,2.2755
1721977219700000000,1.009
1721977219800000000,-0.3411
1721977219900000000,-0.7686
1721977220000000000,0.4206
1721977220100000000,-0.7165
1721977220200000000,1.3872
1721977220300000000,-1.6914
1721977220400000000,-2.8259
1721977220500000000,-0.1499
1721977220600000000,2.5248
1721977220700000000,1.4765
1721977220800000000,-0.1498
1721977220900000000,1.4413
1721977221000000000,0.8484
1721977221100000000,-0.3279
1721977221200000000,-0.6286
1721977221300000000,0.5928
1721977221400000000,-1.0816
1721977221500000000,0.6901
1721977221600000000,2.39
1721977221700000000,-1.2823
1721977221800000000,1.0139
1721977221900000000,1.77
1721977222000000000,2.7893
1721977222100000000,0.2336
1721977222200000000,-2.3732
1721977222300000000,1.0418
1721977222400000000,-1.5769
1721977222500000000,-0.9335
1721977222600000000,-0.3801
1721977222700000000,1.1904
1721977222800000000,-0.5316
1721977222900000000,1.3201
1721977223000000000,0.3273
1721977223100000000,-0.4576
1721977223200000000,-1.3054
1721977223300000000,1.3696
1721977223400000000,-0.8176
1721977223500000000,-0.4354
1721977223600000000,1.71
1721977223700000000,0.184
1721977223800000000,-3.031
1721977223900000000,1.9608
1721977224000000000,-1.156
1721977224100000000,0.3702
1721977224200000000,1.0698
1721977224300000000,2.8084
1721977224400000000,1.4481
1721977224500000000,0.9426
1721977224600000000,0.6579
1721977224700000000,-0.3449
1721977224800000000,-0.3016
1721977224900000000,0.7687
1721977225000000000,-2.051
1721977225100000000,2.1284
1721977225200000000,0.254
1721977225300000000,4.0431
1721977225400000000,0.5549
1721977225500000000,2.0392
1721977225600000000,1.0367
1721977225700000000,-1.5888
1721977225800000000,-1.7257
1721977225900000000,0.7445
1721977226000000000,0.1841
1721977226100000000,-1.5149
1721977226200000000,-0.2961
1721977226300000000,0.5376
1721977226400000000,1.5738
1721977226500000000,3.4496
1721977226600000000,-0.0202
1721977226700000000,0.3519
1721977226800000000,1.3192
1721977226900000000,0.7325
1721977227000000000,0.9234
1721977227100000000,0.9079
1721977227200000000,-2.2651
1721977227300000000,-2.1773
1721977227400000000,0.0508
1721977227500000000,1.3421
1721977227600000000,-1.1353
1721977227700000000,1.8812
1721977227800000000,1.6244
1721977227900000000,-0.4052
1721977228000000000,0.1179
1721977228100000000,0.3393
1721977228200000000,-1.6981
1721977228300000000,-1.5733
1721977228400000000,0.7305
1721977228500000000,0.9251
1721977228600000000,2.2594
1721977228700000000,-0.4809
1721977228800000000,1.6477
1721977228900000000,-3.198
1721977229000000000,0.3753
1721977229100000000,1.7959
1721977229200000000,-0.978
1721977229300000000,-1.524
1721977229400000000,-0.9366
1721977229500000000,-0.2081
1721977229600000000,-1.12
1721977229700000000,2.3436
1721977229800000000,0.2228
1721977229900000000,1.0661
1721977230000000000,2.1121
1721977230100000000,0.6908
1721977230200000000,-1.4209
1721977230300000000,1.166
1721977230400000000,0.4035
1721977230500000000,-1.5284
1721977230600000000,-0.3447
1721977230700000000,0.7027
1721977230800000000,-0.7346
1721977230900000000,-0.692
1721977231000000000,-1.3003
1721977231100000000,0.4166
1721977231200000000,1.6125
1721977231300000000,1.5875
1721977231400000000,-1.4635
1721977231500000000,-1.8358
1721977231600000000,1.4512
1721977231700000000,2.5137
1721977231800000000,-1.6402
1721977231900000000,2.0701
1721977232000000000,0.4725
1721977232100000000,-1.2807
1721977232200000000,0.3232
1721977232300000000,1.139
1721977232400000000,2.4952
1721977232500000000,1.5725
1721977232600000000,-0.0973
1721977232700000000,-1.3333
1721977232800000000,1.6966
1721977232900000000,-1.4614
1721977233000000000,1.6995
1721977233100000000,-1.5743
1721977233200000000,-1.2753
1721977233300000000,0.0531
1721977233400000000,-0.38
1721977233500000000,-1.6237
1721977233600000000,0.8444
1721977233700000000,1.4444
1721977233800000000,-0.1359
1721977233900000000,2.3603
1721977234000000000,-3.4552
1721977234100000000,0.424
1721977234200000000,2.1376
1721977234300000000,-1.0528
1721977234400000000,-0.6112
1721977234500000000,0.3179
1721977234600000000,-0.2491
1721977234700000000,-1.89
1721977234800000000,0.2768
1721977234900000000,0.6837
1721977235000000000,-0.4508
1721977235100000000,2.333
1721977235200000000,1.6807
1721977235300000000,-1.645
1721977235400000000,0.7602
1721977235500000000,-1.6821
1721977235600000000,-0.5242
1721977235700000000,0.1783
1721977235800000000,0.009
1721977235900000000,-2.1328
1721977236000000000,-0.9912
1721977236100000000,2.9549
1721977236200000000,1.1561
1721977236300000000,-0.0641
1721977236400000000,0.6678
1721977236500000000,2.3666
1721977236600000000,1.8326
1721977236700000000,1.7794
1721977236800000000,1.324
1721977236900000000,2.6081
1721977237000000000,0.0601
1721977237100000000,1.7649
1721977237200000000,-1.3828
1721977237300000000,-0.0663
1721977237400000000,0.6341
1721977237500000000,-0.1021
1721977237600000000,-0.8348
1721977237700000000,1.0416
1721977237800000000,3.0657
1721977237900000000,1.5478
1721977238000000000,-1.9824
1721977238100000000,0.7547
1721977238200000000,-0.3873
1721977238300000000,-0.625
1721977238400000000,0.3907
1721977238500000000,-0.4844
1721977238600000000,0.5302
1721977238700000000,0.422
1721977238800000000,-1.3539
1721977238900000000,0.5672
1721977239000000000,-0.5745
1721977239100000000,3.0637
1721977239200000000,0.4154
1721977239300000000,0.3501
1721977239400000000,0.5164
1721977239500000000,-0.6947
1721977239600000000,-0.3394
1721977239700000000,-2.4495
1721977239800000000,-0.9824
1721977239900000000,-2.2982
1721977240000000000,-2.3005
1721977240100000000,-1.6206
1721977240200000000,-2.0497
1721977240300000000,-0.1729
1721977240400000000,0.7975
1721977240500000000,-3.4293
1721977240600000000,1.5051
1721977240700000000,-0.2976
1721977240800000000,0.1215
1721977240900000000,-1.1674
1721977241000000000,-0.6033
1721977241100000000,-0.9496
1721977241200000000,-1.5688
1721977241300000000,-1.8754
1721977241400000000,1.1885
1721977241500000000,-0.0408
1721977241600000000,-1.5345
1721977241700000000,1.9177
1721977241800000000,0.2984
1721977241900000000,0.0834
1721977242000000000,-0.12
1721977242100000000,0.8734
1721977242200000000,0.1757
1721977242300000000,1.0417
1721977242400000000,1.7911
1721977242500000000,1.8256
1721977242600000000,1.5423
1721977242700000000,0.1118
1721977242800000000,-0.0384
1721977242900000000,-2.8365
1721977243000000000,1.2965
1721977243100000000,-0.8913
1721977243200000000,1.0285
1721977243300000000,-1.7037
1721977243400000000,-0.2711
1721977243500000000,-1.3682
1721977243600000000,-0.0505
1721977243700000000,-0.5917
1721977243800000000,0.9169
1721977243900000000,-1.5521
1721977244000000000,0.0546
1721977244100000000,-1.6343
1721977244200000000,0.399
1721977244300000000,-0.1212
1721977244400000000,1.1757
1721977244500000000,-1.6453
1721977244600000000,1.8214
1721977244700000000,-0.2643
1721977244800000000,-0.2332
1721977244900000000,1.1939
1721977245000000000,-0.1961
1721977245100000000,0.5057
1721977245200000000,-1.0199
1721977245300000000,0.1409
1721977245400000000,3.268
1721977245500000000,1.0986
1721977245600000000,-1.5012
1721977245700000000,3.7368
1721977245800000000,-0.4533
1721977245900000000,-1.5802
1721977246000000000,-2.3746
1721977246100000000,0.3327
1721977246200000000,0.8142
1721977246300000000,1.7394
1721977246400000000,2.4275
1721977246500000000,-0.219
1721977246600000000,0.9974
1721977246700000000,-0.5411
1721977246800000000,2.1739
1721977246900000000,3.1071
1721977247000000000,0.9658
1721977247100000000,-1.5932
1721977247200000000,-0.2538
1721977247300000000,4.2628
1721977247400000000,-0.2679
1721977247500000000,2.2045
1721977247600000000,0.3453
1721977247700000000,0.1047
1721977247800000000,-0.6333
1721977247900000000,2.5026
1721977248000000000,1.3256
1721977248100000000,0.2887
1721977248200000000,1.7767
1721977248300000000,-0.2504
1721977248400000000,0.884
1721977248500000000,0.826
1721977248600000000,1.1751
1721977248700000000,0.7024
1721977248800000000,-0.8224
1721977248900000000,1.0562
1721977249000000000,0.8707
1721977249100000000,2.2235
1721977249200000000,-0.4931
1721977249300000000,-0.6763
1721977249400000000,-0.0521
1721977249500000000,1.6319
1721977249600000000,0.0415
1721977249700000000,-1.669
1721977249800000000,-0.3015
1721977249900000000,-0.8218
1721977250000000000,1.1796
1721977250100000000,0.3905
1721977250200000000,-1.9646
1721977250300000000,-2.4239
1721977250400000000,2.1713
1721977250500000000,-0.5202
1721977250600000000,2.1649
1721977250700000000,-0.0392
1721977250800000000,0.0257
1721977250900000000,0.0189
1721977251000000000,-0.9528
1721977251100000000,1.3338
1721977251200000000,1.4485
1721977251300000000,-0.0184
1721977251400000000,-2.9079
1721977251500000000,1.3334
1721977251600000000,0.5157
1721977251700000000,-2.2015
1721977251800000000,0.5545
1721977251900000000,0.923
1721977252000000000,3.3632
1721977252100000000,0.3508
1721977252200000000,1.3106
