timestamp_ns,value
1721977200000000000,-13.6011
1721977200100000000,-14.6072
1721977200200000000,-21.1622
1721977200300000000,-17.8648
1721977200400000000,-9.8458
1721977200500000000,-14.4197
1721977200600000000,-18.203
1721977200700000000,-11.63
1721977200800000000,-11.3541
1721977200900000000,-19.6763
1721977201000000000,-16.9183
1721977201100000000,-12.8191
1721977201200000000,-20.2871
1721977201300000000,-18.167
1721977201400000000,-12.5243
1721977201500000000,-15.1895
1721977201600000000,-12.9942
1721977201700000000,-19.888
1721977201800000000,-14.6682
1721977201900000000,-12.406
1721977202000000000,-44.6322
1721977202100000000,-42.1381
1721977202200000000,-38.7278
1721977202300000000,-39.3507
1721977202400000000,-39.0412
1721977202500000000,-37.0013
1721977202600000000,-38.7713
1721977202700000000,-12.0705
1721977202800000000,-15.3808
1721977202900000000,-18.3788
1721977203000000000,-14.566
1721977203100000000,-23.0991
1721977203200000000,-13.1795
1721977203300000000,-12.8822
1721977203400000000,-14.1243
1721977203500000000,-17.8902
1721977203600000000,-18.5093
1721977203700000000,-15.4166
1721977203800000000,-14.7561
1721977203900000000,-18.4922
1721977204000000000,-14.2553
1721977204100000000,-12.0581
1721977204200000000,-19.4645
1721977204300000000,-15.436
1721977204400000000,-16.2125
1721977204500000000,-19.0639
1721977204600000000,-12.2162
1721977204700000000,-43.076
1721977204800000000,-39.4596
1721977204900000000,-43.9835
1721977205000000000,-37.7173
1721977205100000000,-37.5434
1721977205200000000,-40.6523
1721977205300000000,-34.4001
1721977205400000000,-15.9429
1721977205500000000,-16.4725
1721977205600000000,-19.3811
1721977205700000000,-11.559
1721977205800000000,-17.7646
1721977205900000000,-15.8994
1721977206000000000,-19.836
1721977206100000000,-15.6652
1721977206200000000,-15.1541
1721977206300000000,-12.993
1721977206400000000,-13.1917
1721977206500000000,-11.7076
1721977206600000000,-18.9049
1721977206700000000,-12.7522
1721977206800000000,-19.8709
1721977206900000000,-16.1071
1721977207000000000,-16.9924
1721977207100000000,-21.1504
1721977207200000000,-16.8833
1721977207300000000,-9.9769
1721977207400000000,-41.5531
1721977207500000000,-46.5207
1721977207600000000,-40.7386
1721977207700000000,-41.1532
1721977207800000000,-37.2362
1721977207900000000,-37.4144
1721977208000000000,-40.0384
1721977208100000000,-41.3022
1721977208200000000,-10.6289
1721977208300000000,-13.4062
1721977208400000000,-15.217
1721977208500000000,-19.4321
1721977208600000000,-11.967
1721977208700000000,-11.0356
1721977208800000000,-15.8181
1721977208900000000,-16.6917
1721977209000000000,-17.151
1721977209100000000,-14.8558
1721977209200000000,-15.2364
1721977209300000000,-13.1248
1721977209400000000,-11.1529
1721977209500000000,-16.3631
1721977209600000000,-16.5045
1721977209700000000,-13.219
1721977209800000000,-15.9525
1721977209900000000,-16.3555
1721977210000000000,-14.1073
1721977210100000000,-15.8213
1721977210200000000,-38.94
1721977210300000000,-43.9358
1721977210400000000,-43.7721
1721977210500000000,-41.3092
1721977210600000000,-44.2547
1721977210700000000,-40.0052
1721977210800000000,-9.5494
1721977210900000000,-15.5129
1721977211000000000,-19.2458
1721977211100000000,-12.6784
1721977211200000000,-16.8044
1721977211300000000,-13.1463
1721977211400000000,-13.6014
1721977211500000000,-18.0863
1721977211600000000,-15.6149
1721977211700000000,-13.5208
1721977211800000000,-20.111
1721977211900000000,-9.8019
1721977212000000000,-16.9581
1721977212100000000,-16.8689
1721977212200000000,-10.0934
1721977212300000000,-14.5145
1721977212400000000,-18.7806
1721977212500000000,-12.2648
1721977212600000000,-15.224
1721977212700000000,-16.9592
1721977212800000000,-37.1556
1721977212900000000,-41.5441
1721977213000000000,-39.0483
1721977213100000000,-41.1855
1721977213200000000,-38.2392
1721977213300000000,-34.0419
1721977213400000000,-34.6133
1721977213500000000,-38.8686
1721977213600000000,-13.0978
1721977213700000000,-14.2554
1721977213800000000,-15.4083
1721977213900000000,-15.9969
1721977214000000000,-13.0808
1721977214100000000,-12.1292
1721977214200000000,-16.0099
1721977214300000000,-13.4753
1721977214400000000,-13.2103
1721977214500000000,-12.2017
1721977214600000000,-16.3134
1721977214700000000,-13.089
1721977214800000000,-18.5837
1721977214900000000,-14.2413
1721977215000000000,-13.0656
1721977215100000000,-13.8805
1721977215200000000,-16.6458
1721977215300000000,-17.3346
1721977215400000000,-19.1625
1721977215500000000,-15.4897
1721977215600000000,-45.4033
1721977215700000000,-38.127
1721977215800000000,-39.8253
1721977215900000000,-45.3518
1721977216000000000,-43.2318
1721977216100000000,-43.9069
1721977216200000000,-38.7866
1721977216300000000,-15.4131
1721977216400000000,-14.0871
1721977216500000000,-15.6781
1721977216600000000,-10.5617
1721977216700000000,-12.9251
1721977216800000000,-14.5472
1721977216900000000,-12.4653
1721977217000000000,-17.6471
1721977217100000000,-16.4383
1721977217200000000,-12.8467
1721977217300000000,-19.3593
1721977217400000000,-21.0571
1721977217500000000,-16.6067
1721977217600000000,-14.4439
1721977217700000000,-18.0305
1721977217800000000,-16.8122
1721977217900000000,-16.7184
1721977218000000000,-10.5295
1721977218100000000,-17.9486
1721977218200000000,-15.8707
1721977218300000000,-41.4949
1721977218400000000,-36.5531
1721977218500000000,-38.0695
1721977218600000000,-40.8143
1721977218700000000,-38.4184
1721977218800000000,-43.4591
1721977218900000000,-39.6931
1721977219000000000,-13.1807
1721977219100000000,-14.8724
1721977219200000000,-13.5584
1721977219300000000,-11.2184
1721977219400000000,-10.7058
1721977219500000000,-13.4424
1721977219600000000,-11.9569
1721977219700000000,-17.2761
1721977219800000000,-12.2195
1721977219900000000,-10.9394
1721977220000000000,-16.4231
1721977220100000000,-12.8692
1721977220200000000,-11.3089
1721977220300000000,-13.6394
1721977220400000000,-13.849
1721977220500000000,-8.8374
1721977220600000000,-16.8121
1721977220700000000,-14.1644
1721977220800000000,-16.0975
1721977220900000000,-18.5951
1721977221000000000,-39.7322
1721977221100000000,-36.0079
1721977221200000000,-41.4593
1721977221300000000,-41.5321
1721977221400000000,-38.929
1721977221500000000,-34.5238
1721977221600000000,-13.614
1721977221700000000,-11.6204
1721977221800000000,-6.3284
1721977221900000000,-15.2823
1721977222000000000,-15.705
1721977222100000000,-14.7717
1721977222200000000,-17.4167
1721977222300000000,-17.3964
1721977222400000000,-20.8995
1721977222500000000,-8.8559
1721977222600000000,-8.3301
1721977222700000000,-23.2801
1721977222800000000,-15.9737
1721977222900000000,-15.8709
1721977223000000000,-14.7047
1721977223100000000,-16.6724
1721977223200000000,-9.9888
1721977223300000000,-14.7855
1721977223400000000,-11.8516
1721977223500000000,-14.6925
1721977223600000000,-47.2719
1721977223700000000,-39.7789
1721977223800000000,-44.0195
1721977223900000000,-35.8026
1721977224000000000,-45.3396
1721977224100000000,-39.2044
1721977224200000000,-42.1444
1721977224300000000,-41.4736
1721977224400000000,-11.241
1721977224500000000,-19.8432
1721977224600000000,-15.6296
1721977224700000000,-10.1304
1721977224800000000,-20.9945
1721977224900000000,-13.2546
1721977225000000000,-14.8027
1721977225100000000,-17.8445
1721977225200000000,-12.7678
1721977225300000000,-13.9743
1721977225400000000,-18.5119
1721977225500000000,-14.4207
1721977225600000000,-15.3977
1721977225700000000,-11.4268
1721977225800000000,-20.8135
1721977225900000000,-8.7028
1721977226000000000,-16.2934
1721977226100000000,-19.1217
1721977226200000000,-8.8916
1721977226300000000,-12.7196
1721977226400000000,-39.2157
1721977226500000000,-35.3501
1721977226600000000,-39.2231
1721977226700000000,-43.8004
1721977226800000000,-39.6654
1721977226900000000,-40.9951
1721977227000000000,-40.2621
1721977227100000000,-16.6994
1721977227200000000,-13.5496
1721977227300000000,-14.765
1721977227400000000,-18.2318
1721977227500000000,-14.9351
1721977227600000000,-10.4989
1721977227700000000,-16.9776
1721977227800000000,-14.4586
