timestamp_ns,value
1721977200000000000,0.3683
1721977200100000000,-0.1305
1721977200200000000,-0.0081
1721977200300000000,-0.0807
1721977200400000000,0.0067
1721977200500000000,-0.0413
1721977200600000000,0.133
1721977200700000000,-0.1799
1721977200800000000,0.199
1721977200900000000,-0.0722
1721977201000000000,0.1206
1721977201100000000,0.0808
1721977201200000000,-0.0097
1721977201300000000,-0.0895
1721977201400000000,-0.0416
1721977201500000000,-0.1894
1721977201600000000,-0.1906
1721977201700000000,0.173
1721977201800000000,-0.3114
1721977201900000000,0.293
1721977202000000000,0.5015
1721977202100000000,0.2751
1721977202200000000,0.0776
1721977202300000000,0.0345
1721977202400000000,-0.2317
1721977202500000000,-0.0418
1721977202600000000,-0.0423
1721977202700000000,0.2639
1721977202800000000,0.5208
1721977202900000000,-0.1772
1721977203000000000,0.341
1721977203100000000,-0.2084
1721977203200000000,0.0912
1721977203300000000,-0.1146
1721977203400000000,0.1045
1721977203500000000,0.1147
1721977203600000000,0.1234
1721977203700000000,-0.2065
1721977203800000000,-0.0594
1721977203900000000,-0.6009
1721977204000000000,0.1615
1721977204100000000,-0.041
1721977204200000000,-0.1269
1721977204300000000,0.0712
1721977204400000000,-0.0205
1721977204500000000,-0.412
1721977204600000000,0.0022
1721977204700000000,-0.0771
1721977204800000000,0.0858
1721977204900000000,0.0792
1721977205000000000,-0.0217
1721977205100000000,-0.286
1721977205200000000,0.0369
1721977205300000000,0.0244
1721977205400000000,-0.183
1721977205500000000,0.3344
1721977205600000000,-0.0796
1721977205700000000,0.0497
1721977205800000000,-0.0515
1721977205900000000,-0.1514
1721977206000000000,0.0499
1721977206100000000,0.2007
1721977206200000000,0.0722
1721977206300000000,-0.0838
1721977206400000000,0.1043
1721977206500000000,-0.0761
1721977206600000000,0.4586
1721977206700000000,0.0888
1721977206800000000,0.6247
1721977206900000000,-0.0415
1721977207000000000,0.0122
1721977207100000000,-0.2368
1721977207200000000,-0.4514
1721977207300000000,0.1371
1721977207400000000,-0.0177
1721977207500000000,0.1224
1721977207600000000,0.0475
1721977207700000000,0.1239
1721977207800000000,-0.2057
1721977207900000000,0.0501
1721977208000000000,0.0702
1721977208100000000,-0.1638
1721977208200000000,0.3732
1721977208300000000,0.2348
1721977208400000000,0.1233
1721977208500000000,0.1393
1721977208600000000,-0.2121
1721977208700000000,0.0428
1721977208800000000,-0.002
1721977208900000000,0.11
1721977209000000000,-0.1401
1721977209100000000,-0.0257
1721977209200000000,-0.3492
1721977209300000000,0.3824
1721977209400000000,-0.0476
1721977209500000000,-0.0407
1721977209600000000,0.0678
1721977209700000000,-0.4032
1721977209800000000,0.1793
1721977209900000000,-0.1734
1721977210000000000,-0.2443
1721977210100000000,0.1186
1721977210200000000,0.4619
1721977210300000000,-0.2301
1721977210400000000,0.2617
1721977210500000000,0.0155
1721977210600000000,0.1317
1721977210700000000,0.3208
1721977210800000000,-0.1017
1721977210900000000,0.2454
1721977211000000000,0.2239
1721977211100000000,-0.1483
1721977211200000000,-0.3263
1721977211300000000,-0.0423
1721977211400000000,-0.078
1721977211500000000,-0.1172
1721977211600000000,-0.0732
1721977211700000000,-0.4101
1721977211800000000,0.0565
1721977211900000000,-0.2482
1721977212000000000,-0.2159
1721977212100000000,-0.0741
1721977212200000000,-0.0749
1721977212300000000,0.2965
1721977212400000000,0.2843
1721977212500000000,0.0438
1721977212600000000,0.0327
1721977212700000000,-0.3208
1721977212800000000,-0.1825
1721977212900000000,0.0348
1721977213000000000,-0.2681
1721977213100000000,0.0714
1721977213200000000,0.0684
1721977213300000000,0.0628
1721977213400000000,0.1108
1721977213500000000,-0.2772
1721977213600000000,0.1857
1721977213700000000,-0.1702
1721977213800000000,0.0092
1721977213900000000,-0.0683
1721977214000000000,-0.2734
1721977214100000000,0.228
1721977214200000000,-0.0507
1721977214300000000,-0.0999
1721977214400000000,-0.0267
1721977214500000000,0.0171
1721977214600000000,0.1473
1721977214700000000,-0.1783
1721977214800000000,-0.0641
1721977214900000000,0.2731
1721977215000000000,-0.3458
1721977215100000000,-0.0158
1721977215200000000,-0.0145
1721977215300000000,-0.1212
1721977215400000000,-0.0717
1721977215500000000,-0.2697
1721977215600000000,0.2705
1721977215700000000,0.2825
1721977215800000000,0.2557
1721977215900000000,0.2259
1721977216000000000,-0.1725
