timestamp_ns,value
1721977200000000000,-0.0643
1721977200100000000,0.015
1721977200200000000,0.3521
1721977200300000000,-0.1576
1721977200400000000,0.2587
1721977200500000000,-0.2105
1721977200600000000,0.194
1721977200700000000,0.2034
1721977200800000000,-0.1263
1721977200900000000,0.1527
1721977201000000000,0.065
1721977201100000000,0.2304
1721977201200000000,0.1132
1721977201300000000,-0.0038
1721977201400000000,-0.075
1721977201500000000,0.0959
1721977201600000000,-0.2907
1721977201700000000,0.0248
1721977201800000000,-0.0219
1721977201900000000,-0.0338
1721977202000000000,-0.1106
1721977202100000000,-0.0427
1721977202200000000,0.1486
1721977202300000000,-0.0159
1721977202400000000,-0.2764
1721977202500000000,0.1386
1721977202600000000,0.2808
1721977202700000000,-0.4672
1721977202800000000,-0.1892
1721977202900000000,0.1319
1721977203000000000,0.0229
1721977203100000000,-0.323
1721977203200000000,-0.2569
1721977203300000000,-0.3846
1721977203400000000,-0.2424
1721977203500000000,0.2711
1721977203600000000,-0.0473
1721977203700000000,-0.2864
1721977203800000000,-0.1502
1721977203900000000,0.3545
1721977204000000000,-0.1485
1721977204100000000,-0.1345
1721977204200000000,0.0494
1721977204300000000,-0.0394
1721977204400000000,-0.0386
1721977204500000000,0.0192
1721977204600000000,0.0601
1721977204700000000,-0.0549
1721977204800000000,0.2116
1721977204900000000,0.2532
1721977205000000000,0.3529
1721977205100000000,0.1379
1721977205200000000,0.0504
1721977205300000000,-0.2106
1721977205400000000,-0.5218
1721977205500000000,-0.2057
1721977205600000000,-0.164
1721977205700000000,-0.3288
1721977205800000000,-0.2248
1721977205900000000,-0.1264
1721977206000000000,-0.2933
1721977206100000000,0.0084
1721977206200000000,0.1308
1721977206300000000,0.1952
1721977206400000000,0.324
1721977206500000000,-0.0808
1721977206600000000,0.0955
1721977206700000000,-0.2123
1721977206800000000,0.24
1721977206900000000,0.0398
1721977207000000000,0.1178
1721977207100000000,0.1979
1721977207200000000,-0.3175
1721977207300000000,0.3662
1721977207400000000,0.2401
1721977207500000000,0.2086
1721977207600000000,0.0247
1721977207700000000,0.012
1721977207800000000,0.0427
1721977207900000000,-0.1936
1721977208000000000,-0.5168
1721977208100000000,-0.1584
1721977208200000000,-0.0572
1721977208300000000,-0.0694
1721977208400000000,0.0211
1721977208500000000,-0.0768
1721977208600000000,0.0137
1721977208700000000,-0.093
1721977208800000000,0.2103
1721977208900000000,-0.06
1721977209000000000,0.0969
1721977209100000000,0.365
1721977209200000000,-0.0135
1721977209300000000,-0.0525
1721977209400000000,0.0708
1721977209500000000,-0.0321
1721977209600000000,0.1734
1721977209700000000,-0.0247
1721977209800000000,0.0497
1721977209900000000,0.1398
1721977210000000000,-0.1723
1721977210100000000,0.2046
1721977210200000000,0.0451
1721977210300000000,0.0348
1721977210400000000,-0.2968
1721977210500000000,0.0676
1721977210600000000,-0.0135
1721977210700000000,0.2705
1721977210800000000,-0.2144
1721977210900000000,0.0297
1721977211000000000,0.1293
1721977211100000000,-0.0828
1721977211200000000,-0.4309
1721977211300000000,0.0659
1721977211400000000,0.0233
1721977211500000000,-0.0592
1721977211600000000,-0.1104
1721977211700000000,0.1226
1721977211800000000,-0.1357
1721977211900000000,0.2694
1721977212000000000,-0.0757
1721977212100000000,0.1963
1721977212200000000,-0.1407
1721977212300000000,0.0291
1721977212400000000,-0.1369
1721977212500000000,0.5231
1721977212600000000,0.3294
1721977212700000000,-0.1902
1721977212800000000,-0.2498
1721977212900000000,-0.2682
1721977213000000000,0.3114
1721977213100000000,-0.021
1721977213200000000,0.1964
1721977213300000000,0.3735
1721977213400000000,0.2812
1721977213500000000,-0.2522
1721977213600000000,0.0771
1721977213700000000,0.1053
1721977213800000000,0.0827
1721977213900000000,0.1988
1721977214000000000,-0.0431
1721977214100000000,0.0315
1721977214200000000,-0.0543
1721977214300000000,0.3586
1721977214400000000,-0.0077
1721977214500000000,0.0096
1721977214600000000,0.0084
1721977214700000000,0.2825
1721977214800000000,-0.1565
1721977214900000000,0.031
1721977215000000000,-0.2253
1721977215100000000,-0.3665
1721977215200000000,0.0084
1721977215300000000,0.1509
1721977215400000000,-0.0615
1721977215500000000,0.2194
1721977215600000000,-0.1091
1721977215700000000,-0.1656
1721977215800000000,0.1239
1721977215900000000,-0.039
1721977216000000000,0.2408
1721977216100000000,0.1984
1721977216200000000,-0.3007
1721977216300000000,-0.3329
1721977216400000000,0.0922
1721977216500000000,0.1548
1721977216600000000,0.1758
1721977216700000000,-0.0728
1721977216800000000,0.2086
1721977216900000000,0.1218
1721977217000000000,-0.3715
1721977217100000000,0.1703
1721977217200000000,-0.1269
1721977217300000000,0.5714
1721977217400000000,-0.1669
1721977217500000000,0.2089
1721977217600000000,-0.0873
1721977217700000000,-0.2235
1721977217800000000,-0.3603
1721977217900000000,0.4368
1721977218000000000,-0.054
1721977218100000000,0.1078
1721977218200000000,-0.3698
1721977218300000000,0.0673
1721977218400000000,0.1775
1721977218500000000,-0.1578
1721977218600000000,-0.2009
1721977218700000000,0.3888
1721977218800000000,0.0265
1721977218900000000,-0.1547
1721977219000000000,0.3782
1721977219100000000,0.1063
1721977219200000000,-0.152
1721977219300000000,-0.3167
1721977219400000000,0.1433
1721977219500000000,-0.0981
1721977219600000000,-0.1683
1721977219700000000,-0.1854
1721977219800000000,-0.1916
1721977219900000000,0.1435
1721977220000000000,-0.0504
1721977220100000000,-0.1954
1721977220200000000,0.0893
1721977220300000000,-0.1447
1721977220400000000,-0.0111
1721977220500000000,-0.518
1721977220600000000,0.2952
1721977220700000000,0.0032
1721977220800000000,0.0992
1721977220900000000,0.0975
1721977221000000000,-0.1595
1721977221100000000,0.2129
1721977221200000000,-0.0986
1721977221300000000,-0.3199
1721977221400000000,0.1678
1721977221500000000,0.181
1721977221600000000,0.0611
1721977221700000000,-0.0707
1721977221800000000,0.004
1721977221900000000,-0.0341
1721977222000000000,-0.1638
1721977222100000000,-0.0024
1721977222200000000,-0.0501
1721977222300000000,-0.2244
1721977222400000000,0.1433
1721977222500000000,0.1486
1721977222600000000,-0.2868
1721977222700000000,-0.3989
1721977222800000000,-0.0095
1721977222900000000,-0.1202
1721977223000000000,-0.0828
1721977223100000000,0.0288
1721977223200000000,-0.2283
1721977223300000000,0.0021
1721977223400000000,-0.3169
1721977223500000000,0.204
1721977223600000000,0.0661
1721977223700000000,-0.0519
1721977223800000000,0.0871
1721977223900000000,-0.0477
1721977224000000000,0.2309
1721977224100000000,-0.157
1721977224200000000,-0.4365
1721977224300000000,-0.0917
1721977224400000000,-0.1749
1721977224500000000,0.061
1721977224600000000,-0.6583
1721977224700000000,-0.057
1721977224800000000,0.0323
1721977224900000000,-0.1928
1721977225000000000,0.1854
1721977225100000000,-0.2058
1721977225200000000,-0.2697
1721977225300000000,-0.1614
1721977225400000000,0.0065
1721977225500000000,-0.2096
1721977225600000000,0.0644
1721977225700000000,0.2375
1721977225800000000,0.2214
1721977225900000000,0.1431
1721977226000000000,0.333
1721977226100000000,-0.088
1721977226200000000,0.0409
1721977226300000000,-0.1621
1721977226400000000,-0.1604
1721977226500000000,-0.3991
1721977226600000000,0.0327
1721977226700000000,-0.1047
1721977226800000000,-0.2985
1721977226900000000,-0.198
1721977227000000000,0.1662
1721977227100000000,0.4149
1721977227200000000,0.1271
1721977227300000000,0.1091
1721977227400000000,0.1458
1721977227500000000,-0.023
1721977227600000000,-0.1616
1721977227700000000,0.0392
1721977227800000000,0.1118
1721977227900000000,0.3669
1721977228000000000,0.018
1721977228100000000,-0.2486
1721977228200000000,-0.205
1721977228300000000,0.1662
1721977228400000000,-0.0976
1721977228500000000,-0.0565
1721977228600000000,0.2501
1721977228700000000,0.2495
1721977228800000000,-0.0181
1721977228900000000,0.2525
1721977229000000000,0.2631
1721977229100000000,-0.049
1721977229200000000,-0.1683
1721977229300000000,0.1699
1721977229400000000,-0.2422
1721977229500000000,-0.0679
1721977229600000000,-0.5271
1721977229700000000,-0.2213
1721977229800000000,-0.298
1721977229900000000,-0.023
1721977230000000000,-0.0256
1721977230100000000,-0.0042
1721977230200000000,-0.3427
1721977230300000000,0.3671
1721977230400000000,-0.0561
1721977230500000000,-0.3107
1721977230600000000,-0.1044
1721977230700000000,-0.2526
1721977230800000000,0.0458
1721977230900000000,-0.011
1721977231000000000,0.0964
1721977231100000000,0.1012
1721977231200000000,0.0064
1721977231300000000,-0.0882
1721977231400000000,0.2464
1721977231500000000,0.1004
1721977231600000000,0.2999
1721977231700000000,-0.3384
1721977231800000000,0.1051
1721977231900000000,-0.0853
1721977232000000000,-0.1318
1721977232100000000,0.083
1721977232200000000,0.3823
1721977232300000000,0.0631
1721977232400000000,0.2633
1721977232500000000,0.3331
1721977232600000000,0.1564
1721977232700000000,-0.0185
1721977232800000000,-0.3875
1721977232900000000,-0.054
1721977233000000000,0.0598
1721977233100000000,-0.001
1721977233200000000,-0.2641
1721977233300000000,0.169
1721977233400000000,0.1705
1721977233500000000,0.2327
1721977233600000000,-0.2663
1721977233700000000,0.2804
1721977233800000000,-0.1146
1721977233900000000,0.1022
1721977234000000000,0.208
1721977234100000000,-0.0592
1721977234200000000,-0.0074
1721977234300000000,0.1115
1721977234400000000,0.1692
1721977234500000000,-0.0571
1721977234600000000,0.3743
1721977234700000000,0.2491
1721977234800000000,-0.0766
1721977234900000000,-0.1624
