timestamp_ns,value
1721977200000000000,0.5558
1721977200100000000,0.63
1721977200200000000,0.7499
1721977200300000000,0.4108
1721977200400000000,0.5072
1721977200500000000,0.3724
1721977200600000000,0.5354
1721977200700000000,0.8437
1721977200800000000,0.5915
1721977200900000000,0.4029
1721977201000000000,0.7759
1721977201100000000,0.1842
1721977201200000000,0.4363
1721977201300000000,0.2625
1721977201400000000,0.2623
1721977201500000000,0.5281
1721977201600000000,0.213
1721977201700000000,0.4042
1721977201800000000,0.4494
1721977201900000000,0.6658
1721977202000000000,0.6134
1721977202100000000,0.5459
1721977202200000000,0.385
1721977202300000000,0.7695
1721977202400000000,0.873
1721977202500000000,0.2699
1721977202600000000,0.4819
1721977202700000000,0.651
1721977202800000000,0.5958
1721977202900000000,0.4949
1721977203000000000,0.4237
1721977203100000000,0.602
1721977203200000000,0.5315
1721977203300000000,0.5192
1721977203400000000,0.4706
1721977203500000000,0.7131
1721977203600000000,0.6039
1721977203700000000,0.4778
1721977203800000000,0.5327
1721977203900000000,0.6047
1721977204000000000,0.5275
1721977204100000000,0.8159
1721977204200000000,0.7628
1721977204300000000,0.54
1721977204400000000,0.5376
1721977204500000000,0.7437
1721977204600000000,0.7908
1721977204700000000,0.4869
1721977204800000000,0.3632
1721977204900000000,0.7624
1721977205000000000,0.2628
1721977205100000000,0.3782
1721977205200000000,0.5114
1721977205300000000,0.8088
1721977205400000000,0.1518
1721977205500000000,0.3977
1721977205600000000,0.4957
1721977205700000000,0.6378
1721977205800000000,0.6159
1721977205900000000,0.3106
1721977206000000000,0.6274
1721977206100000000,0.5459
1721977206200000000,0.4277
1721977206300000000,0.4425
1721977206400000000,0.28
1721977206500000000,0.6058
1721977206600000000,0.3999
1721977206700000000,0.8155
1721977206800000000,0.4921
1721977206900000000,0.6419
1721977207000000000,0.6078
1721977207100000000,0.7044
1721977207200000000,0.3551
1721977207300000000,0.6565
1721977207400000000,0.7577
1721977207500000000,0.3605
1721977207600000000,0.2878
1721977207700000000,0.4673
1721977207800000000,0.6732
1721977207900000000,0.4801
1721977208000000000,0.6944
1721977208100000000,0.4812
1721977208200000000,0.6291
1721977208300000000,0.3894
1721977208400000000,0.5162
1721977208500000000,0.6582
1721977208600000000,0.4803
1721977208700000000,0.5894
1721977208800000000,0.5073
1721977208900000000,0.6431
1721977209000000000,0.6072
1721977209100000000,0.3466
1721977209200000000,0.2748
1721977209300000000,-0.0382
1721977209400000000,0.7709
1721977209500000000,0.3716
1721977209600000000,0.3962
1721977209700000000,0.1724
1721977209800000000,-0.1336
1721977209900000000,0.8538
1721977210000000000,0.338
1721977210100000000,0.2852
1721977210200000000,0.4997
1721977210300000000,0.5547
1721977210400000000,0.4374
1721977210500000000,0.5187
1721977210600000000,0.5289
1721977210700000000,0.1898
1721977210800000000,0.2507
1721977210900000000,0.3351
1721977211000000000,0.5243
1721977211100000000,0.6061
1721977211200000000,0.3683
1721977211300000000,0.4749
1721977211400000000,0.6597
1721977211500000000,0.0342
1721977211600000000,0.7517
1721977211700000000,0.5598
1721977211800000000,0.4428
1721977211900000000,0.7794
1721977212000000000,0.53
1721977212100000000,0.6344
1721977212200000000,0.7877
1721977212300000000,0.5843
1721977212400000000,0.8898
1721977212500000000,0.4632
1721977212600000000,0.4246
1721977212700000000,0.4833
1721977212800000000,0.189
1721977212900000000,0.4716
1721977213000000000,0.5075
1721977213100000000,1.0441
1721977213200000000,0.6106
1721977213300000000,0.8995
1721977213400000000,0.3956
1721977213500000000,0.4171
1721977213600000000,0.1977
1721977213700000000,0.4858
1721977213800000000,0.4523
1721977213900000000,0.7708
1721977214000000000,0.3699
1721977214100000000,0.4821
1721977214200000000,0.3757
1721977214300000000,0.5309
1721977214400000000,0.4235
1721977214500000000,0.6283
1721977214600000000,0.5763
1721977214700000000,0.7786
1721977214800000000,0.3862
1721977214900000000,0.5883
1721977215000000000,0.4913
1721977215100000000,0.7768
1721977215200000000,0.4146
1721977215300000000,0.2881
1721977215400000000,0.7413
1721977215500000000,0.3539
1721977215600000000,0.3743
1721977215700000000,0.5102
1721977215800000000,0.5448
1721977215900000000,0.5123
1721977216000000000,0.6307
1721977216100000000,0.4972
1721977216200000000,0.7231
1721977216300000000,0.2134
1721977216400000000,0.44
1721977216500000000,0.71
1721977216600000000,0.619
1721977216700000000,0.5496
1721977216800000000,0.5267
1721977216900000000,0.6318
1721977217000000000,0.383
1721977217100000000,0.7543
