timestamp_ns,value
1721372400000000000,645.3417
1721372400100000000,695.1042
1721372400200000000,654.1182
1721372400300000000,610.8779
1721372400400000000,653.4529
1721372400500000000,654.2383
1721372400600000000,619.7013
1721372400700000000,690.9663
1721372400800000000,645.3393
1721372400900000000,676.0303
1721372401000000000,663.2973
1721372401100000000,677.2165
1721372401200000000,678.9966
1721372401300000000,721.8696
1721372401400000000,665.2255
1721372401500000000,595.9743
1721372401600000000,668.6892
1721372401700000000,630.784
1721372401800000000,622.3814
1721372401900000000,541.379
1721372402000000000,645.8707
1721372402100000000,668.5533
1721372402200000000,666.6881
1721372402300000000,621.6985
1721372402400000000,637.895
1721372402500000000,656.7722
1721372402600000000,633.9481
1721372402700000000,718.3049
1721372402800000000,637.4798
1721372402900000000,668.5429
1721372403000000000,658.4416
1721372403100000000,675.5197
1721372403200000000,632.9305
1721372403300000000,625.4472
1721372403400000000,661.6795
1721372403500000000,639.9714
1721372403600000000,677.9261
1721372403700000000,662.6887
1721372403800000000,642.5409
1721372403900000000,665.5322
1721372404000000000,618.4398
1721372404100000000,660.5996
1721372404200000000,660.5078
1721372404300000000,634.1921
1721372404400000000,638.4594
1721372404500000000,716.239
1721372404600000000,670.6973
1721372404700000000,650.8785
1721372404800000000,649.052
1721372404900000000,681.2436
1721372405000000000,618.59
1721372405100000000,682.1154
1721372405200000000,662.754
1721372405300000000,660.6579
1721372405400000000,686.5566
1721372405500000000,621.8243
1721372405600000000,576.772
1721372405700000000,646.0293
1721372405800000000,584.7201
1721372405900000000,639.365
1721372406000000000,647.2132
1721372406100000000,631.5125
1721372406200000000,654.104
1721372406300000000,631.8808
1721372406400000000,654.7327
1721372406500000000,669.0643
1721372406600000000,654.9838
1721372406700000000,662.0997
1721372406800000000,617.7632
1721372406900000000,687.9491
1721372407000000000,656.7314
1721372407100000000,634.3157
1721372407200000000,637.8287
1721372407300000000,641.3245
1721372407400000000,602.3818
1721372407500000000,661.8258
1721372407600000000,674.4954
1721372407700000000,686.4215
1721372407800000000,670.5642
1721372407900000000,669.0364
1721372408000000000,621.1622
1721372408100000000,653.5471
1721372408200000000,701.4333
1721372408300000000,643.5661
1721372408400000000,632.0651
1721372408500000000,635.4671
1721372408600000000,631.4116
1721372408700000000,731.7015
1721372408800000000,686.7899
1721372408900000000,635.5069
1721372409000000000,632.762
1721372409100000000,645.3012
1721372409200000000,687.9142
1721372409300000000,662.8742
1721372409400000000,654.5917
1721372409500000000,643.6164
1721372409600000000,638.6184
1721372409700000000,599.9912
1721372409800000000,657.3704
1721372409900000000,640.1676
1721372410000000000,673.4812
1721372410100000000,638.1368
1721372410200000000,616.1628
1721372410300000000,585.4186
1721372410400000000,600.1525
1721372410500000000,650.9512
1721372410600000000,586.8276
1721372410700000000,624.3176
1721372410800000000,665.3283
1721372410900000000,617.876
1721372411000000000,614.9895
1721372411100000000,633.456
1721372411200000000,662.3083
1721372411300000000,647.493
1721372411400000000,632.1896
1721372411500000000,667.5117
1721372411600000000,664.7374
1721372411700000000,642.0911
1721372411800000000,682.6169
1721372411900000000,647.4344
1721372412000000000,0.1379
1721372412100000000,4.1174
1721372412200000000,1.5193
1721372412300000000,0.8117
1721372412400000000,2.5373
1721372412500000000,0.3462
1721372412600000000,0.4789
1721372412700000000,3.7659
1721372412800000000,1.7132
1721372412900000000,3.5963
1721372413000000000,2.8832
1721372413100000000,4.9474
1721372413200000000,1.2202
1721372413300000000,2.1417
1721372413400000000,2.8356
1721372413500000000,2.0681
1721372413600000000,3.6846
1721372413700000000,1.7591
1721372413800000000,3.7177
1721372413900000000,2.9373
1721372414000000000,3.5814
1721372414100000000,0.7475
1721372414200000000,0.4293
1721372414300000000,2.8803
1721372414400000000,3.1497
1721372414500000000,1.5935
1721372414600000000,1.842
1721372414700000000,1.6599
1721372414800000000,1.3708
1721372414900000000,2.5849
1721372415000000000,690.7508
1721372415100000000,655.1341
1721372415200000000,662.8996
1721372415300000000,645.2837
1721372415400000000,602.6688
1721372415500000000,596.8859
1721372415600000000,635.1763
1721372415700000000,648.8899
1721372415800000000,624.4281
1721372415900000000,623.7871
1721372416000000000,618.4866
1721372416100000000,685.9498
1721372416200000000,645.5856
1721372416300000000,612.6934
1721372416400000000,611.8179
1721372416500000000,651.6063
1721372416600000000,630.4675
1721372416700000000,624.8536
1721372416800000000,599.8673
1721372416900000000,647.3643
1721372417000000000,587.7662
1721372417100000000,685.1699
1721372417200000000,639.5757
1721372417300000000,631.3898
1721372417400000000,669.3059
1721372417500000000,642.5396
1721372417600000000,610.4204
1721372417700000000,656.2795
1721372417800000000,642.1497
1721372417900000000,649.6349
1721372418000000000,614.1807
1721372418100000000,652.5352
1721372418200000000,649.2758
1721372418300000000,649.3605
1721372418400000000,646.1837
1721372418500000000,648.6669
1721372418600000000,670.8682
1721372418700000000,657.0158
1721372418800000000,677.7202
1721372418900000000,594.9126
1721372419000000000,663.9341
1721372419100000000,661.2272
1721372419200000000,670.2576
1721372419300000000,616.8968
1721372419400000000,617.0591
1721372419500000000,623.5531
1721372419600000000,608.8199
1721372419700000000,637.2636
1721372419800000000,697.8443
1721372419900000000,626.1108
1721372420000000000,664.1364
1721372420100000000,666.3885
1721372420200000000,634.2573
1721372420300000000,644.8111
1721372420400000000,627.068
1721372420500000000,639.8323
1721372420600000000,731.8391
1721372420700000000,702.3691
1721372420800000000,605.8139
1721372420900000000,652.07
1721372421000000000,578.0108
1721372421100000000,656.1152
1721372421200000000,620.7994
1721372421300000000,665.387
1721372421400000000,643.9074
1721372421500000000,682.5291
1721372421600000000,623.6745
1721372421700000000,628.3978
1721372421800000000,687.3014
1721372421900000000,693.6889
1721372422000000000,649.5608
1721372422100000000,671.2968
1721372422200000000,627.6555
1721372422300000000,627.906
1721372422400000000,630.8103
1721372422500000000,726.8744
1721372422600000000,651.013
1721372422700000000,636.4442
1721372422800000000,596.9739
1721372422900000000,708.2293
1721372423000000000,658.2554
1721372423100000000,667.765
1721372423200000000,599.8453
1721372423300000000,681.8685
1721372423400000000,643.2333
1721372423500000000,631.7895
1721372423600000000,669.9054
1721372423700000000,695.5221
1721372423800000000,670.8365
1721372423900000000,643.7687
1721372424000000000,674.442
1721372424100000000,626.4709
1721372424200000000,646.0373
1721372424300000000,610.5608
1721372424400000000,702.0635
1721372424500000000,638.8679
1721372424600000000,609.0261
1721372424700000000,661.0518
1721372424800000000,684.5899
1721372424900000000,620.809
1721372425000000000,639.0824
1721372425100000000,641.2526
1721372425200000000,689.4866
1721372425300000000,633.8888
1721372425400000000,725.277
1721372425500000000,669.264
1721372425600000000,682.9687
1721372425700000000,620.9951
1721372425800000000,658.4038
1721372425900000000,620.5273
1721372426000000000,652.6912
1721372426100000000,615.0736
1721372426200000000,673.6144
1721372426300000000,622.1431
1721372426400000000,686.0087
1721372426500000000,617.3525
1721372426600000000,654.5001
1721372426700000000,673.3808
1721372426800000000,642.059
1721372426900000000,655.762
1721372427000000000,2.318
1721372427100000000,2.5712
1721372427200000000,0.991
1721372427300000000,3.6087
1721372427400000000,1.8196
1721372427500000000,3.5676
1721372427600000000,2.1892
1721372427700000000,4.8125
1721372427800000000,4.7901
1721372427900000000,1.8201
1721372428000000000,2.3938
1721372428100000000,4.4501
1721372428200000000,4.5229
1721372428300000000,0.4179
1721372428400000000,2.6037
1721372428500000000,2.7552
1721372428600000000,1.7859
1721372428700000000,1.5809
1721372428800000000,4.7587
1721372428900000000,0.7691
1721372429000000000,4.5449
1721372429100000000,4.585
1721372429200000000,1.4858
1721372429300000000,0.024
1721372429400000000,4.0043
1721372429500000000,4.0752
1721372429600000000,2.3872
1721372429700000000,0.0606
1721372429800000000,4.702
1721372429900000000,3.1206
1721372430000000000,650.4529
1721372430100000000,644.2617
1721372430200000000,614.1154
1721372430300000000,595.8977
1721372430400000000,616.7878
1721372430500000000,655.515
1721372430600000000,691.769
1721372430700000000,693.3109
1721372430800000000,622.6941
1721372430900000000,636.7077
1721372431000000000,658.6347
1721372431100000000,640.1414
1721372431200000000,685.0468
1721372431300000000,672.1465
1721372431400000000,639.5707
1721372431500000000,692.326
1721372431600000000,617.1098
1721372431700000000,658.4356
1721372431800000000,579.696
1721372431900000000,668.1418
1721372432000000000,592.9612
1721372432100000000,660.8111
1721372432200000000,592.6559
1721372432300000000,688.2136
1721372432400000000,650.2296
1721372432500000000,617.0552
1721372432600000000,665.7563
1721372432700000000,626.1557
1721372432800000000,576.3366
1721372432900000000,654.9423
1721372433000000000,681.378
1721372433100000000,644.4968
1721372433200000000,691.1781
1721372433300000000,670.2339
1721372433400000000,679.4575
1721372433500000000,668.4544
1721372433600000000,672.6274
1721372433700000000,631.5963
1721372433800000000,650.4772
1721372433900000000,673.2739
1721372434000000000,643.9412
1721372434100000000,650.718
1721372434200000000,616.5488
1721372434300000000,676.0516
1721372434400000000,687.6438
1721372434500000000,607.9039
1721372434600000000,618.1338
1721372434700000000,712.7444
1721372434800000000,620.3524
1721372434900000000,681.1488
1721372435000000000,668.4303
1721372435100000000,715.2855
1721372435200000000,654.8104
1721372435300000000,644.8126
1721372435400000000,616.3462
1721372435500000000,654.0497
1721372435600000000,685.0956
1721372435700000000,646.8083
1721372435800000000,681.4045
1721372435900000000,671.9439
1721372436000000000,684.226
1721372436100000000,595.5899
1721372436200000000,596.3635
1721372436300000000,687.1785
1721372436400000000,619.7093
1721372436500000000,656.2159
1721372436600000000,637.1685
1721372436700000000,644.8983
1721372436800000000,682.6604
1721372436900000000,671.1137
1721372437000000000,658.5018
1721372437100000000,675.8825
1721372437200000000,613.0195
1721372437300000000,598.8945
1721372437400000000,660.7463
1721372437500000000,679.6131
1721372437600000000,604.12
1721372437700000000,647.5226
1721372437800000000,695.8332
1721372437900000000,680.6702
1721372438000000000,671.147
1721372438100000000,671.993
1721372438200000000,610.8791
1721372438300000000,651.0296
1721372438400000000,665.5032
1721372438500000000,655.2756
1721372438600000000,617.4531
1721372438700000000,609.2161
1721372438800000000,670.1315
1721372438900000000,676.1839
1721372439000000000,650.3066
1721372439100000000,682.3945
1721372439200000000,615.8735
1721372439300000000,685.9517
1721372439400000000,683.3312
1721372439500000000,716.6166
1721372439600000000,638.5071
1721372439700000000,657.9741
1721372439800000000,672.2662
1721372439900000000,621.3779
1721372440000000000,621.0669
1721372440100000000,652.328
1721372440200000000,680.8586
1721372440300000000,594.4236
1721372440400000000,621.5539
1721372440500000000,648.7459
1721372440600000000,586.0985
1721372440700000000,619.4782
1721372440800000000,648.6993
1721372440900000000,643.5162
1721372441000000000,653.4018
1721372441100000000,647.9034
1721372441200000000,699.3369
1721372441300000000,630.2881
1721372441400000000,651.8915
1721372441500000000,681.4252
1721372441600000000,665.3372
1721372441700000000,633.5959
1721372441800000000,656.4471
1721372441900000000,689.675
1721372442000000000,0.8149
1721372442100000000,3.4315
1721372442200000000,3.533
1721372442300000000,0.3591
1721372442400000000,1.9323
1721372442500000000,4.9235
1721372442600000000,1.3009
1721372442700000000,3.857
1721372442800000000,3.0527
1721372442900000000,4.4722
1721372443000000000,3.6334
1721372443100000000,3.9039
1721372443200000000,0.5773
1721372443300000000,1.3726
1721372443400000000,4.0143
1721372443500000000,2.1755
1721372443600000000,4.0323
1721372443700000000,2.6723
1721372443800000000,0.8452
1721372443900000000,1.3406
1721372444000000000,3.6154
1721372444100000000,4.8058
1721372444200000000,1.5151
1721372444300000000,3.8284
1721372444400000000,2.6625
1721372444500000000,0.3576
1721372444600000000,2.416
1721372444700000000,0.9639
1721372444800000000,2.046
1721372444900000000,4.2615
1721372445000000000,633.5563
1721372445100000000,686.8246
1721372445200000000,628.5737
1721372445300000000,660.7399
1721372445400000000,633.5076
1721372445500000000,652.4125
1721372445600000000,632.3654
1721372445700000000,680.0758
1721372445800000000,651.3775
1721372445900000000,668.9842
1721372446000000000,705.0101
1721372446100000000,675.2586
1721372446200000000,609.1253
1721372446300000000,633.0832
1721372446400000000,695.7059
1721372446500000000,661.6536
1721372446600000000,648.4135
1721372446700000000,636.8398
1721372446800000000,676.7154
1721372446900000000,646.6797
1721372447000000000,643.0245
1721372447100000000,632.5277
1721372447200000000,644.7438
1721372447300000000,587.8353
1721372447400000000,705.4645
1721372447500000000,604.0937
1721372447600000000,623.809
1721372447700000000,600.1782
