timestamp_ns,value
1721394000000000000,532.9932
1721394000100000000,484.7877
1721394000200000000,549.1475
1721394000300000000,511.7427
1721394000400000000,492.8354
1721394000500000000,513.5554
1721394000600000000,496.0347
1721394000700000000,557.272
1721394000800000000,511.2611
1721394000900000000,530.9128
1721394001000000000,530.5334
1721394001100000000,529.1971
1721394001200000000,502.387
1721394001300000000,527.7662
1721394001400000000,535.8458
1721394001500000000,485.3013
1721394001600000000,519.7607
1721394001700000000,511.6633
1721394001800000000,543.4123
1721394001900000000,539.9116
1721394002000000000,503.5443
1721394002100000000,519.1172
1721394002200000000,504.9702
1721394002300000000,520.7505
1721394002400000000,464.9022
1721394002500000000,521.6661
1721394002600000000,558.874
1721394002700000000,536.4883
1721394002800000000,507.9197
1721394002900000000,546.2124
1721394003000000000,495.5878
1721394003100000000,505.6882
1721394003200000000,496.3757
1721394003300000000,490.8981
1721394003400000000,531.6938
1721394003500000000,492.2378
1721394003600000000,569.9582
1721394003700000000,547.0575
1721394003800000000,505.0255
1721394003900000000,509.3778
1721394004000000000,525.8294
1721394004100000000,519.1315
1721394004200000000,493.9096
1721394004300000000,484.1939
1721394004400000000,471.9775
1721394004500000000,547.45
1721394004600000000,518.0524
1721394004700000000,566.1748
1721394004800000000,550.4273
1721394004900000000,504.2947
1721394005000000000,482.9554
1721394005100000000,507.6542
1721394005200000000,535.1891
1721394005300000000,513.1056
1721394005400000000,524.5905
1721394005500000000,514.7729
1721394005600000000,451.0521
1721394005700000000,529.2571
1721394005800000000,550.2687
1721394005900000000,539.0337
1721394006000000000,482.2716
1721394006100000000,588.1473
1721394006200000000,503.0951
1721394006300000000,507.4862
1721394006400000000,510.6482
1721394006500000000,496.3705
1721394006600000000,524.401
1721394006700000000,581.2265
1721394006800000000,496.8705
1721394006900000000,511.5488
1721394007000000000,540.216
1721394007100000000,519.2742
1721394007200000000,500.4044
1721394007300000000,501.1929
1721394007400000000,498.5811
1721394007500000000,505.7234
1721394007600000000,514.997
1721394007700000000,523.4375
1721394007800000000,521.1932
1721394007900000000,520.56
1721394008000000000,475.7746
1721394008100000000,519.5513
1721394008200000000,486.191
1721394008300000000,499.6706
1721394008400000000,527.6034
1721394008500000000,498.5332
1721394008600000000,481.702
1721394008700000000,504.9845
1721394008800000000,524.1126
1721394008900000000,529.0025
1721394009000000000,532.8708
1721394009100000000,551.9433
1721394009200000000,489.4459
1721394009300000000,536.5714
1721394009400000000,440.1311
1721394009500000000,503.178
1721394009600000000,508.0238
1721394009700000000,501.3422
1721394009800000000,495.6596
1721394009900000000,510.6262
1721394010000000000,466.4934
1721394010100000000,507.3657
1721394010200000000,532.8549
1721394010300000000,524.7944
1721394010400000000,517.8171
1721394010500000000,504.0051
1721394010600000000,495.1842
1721394010700000000,535.6408
1721394010800000000,524.012
1721394010900000000,526.1724
1721394011000000000,537.2048
1721394011100000000,522.0744
1721394011200000000,540.886
1721394011300000000,525.2093
1721394011400000000,508.362
1721394011500000000,482.7924
1721394011600000000,497.307
1721394011700000000,519.5656
1721394011800000000,551.3826
1721394011900000000,530.1196
1721394012000000000,2.1462
1721394012100000000,2.7583
1721394012200000000,2.19
1721394012300000000,1.6975
1721394012400000000,2.2534
1721394012500000000,2.0016
1721394012600000000,4.1748
1721394012700000000,1.5251
1721394012800000000,0.2541
1721394012900000000,2.6842
1721394013000000000,4.4575
1721394013100000000,1.4067
1721394013200000000,2.2245
1721394013300000000,0.5684
1721394013400000000,2.8871
1721394013500000000,1.3586
1721394013600000000,3.8586
1721394013700000000,3.8468
1721394013800000000,4.2376
1721394013900000000,3.6414
1721394014000000000,4.3937
1721394014100000000,3.4708
1721394014200000000,0.1128
1721394014300000000,2.3779
1721394014400000000,0.5229
1721394014500000000,0.7836
1721394014600000000,4.4391
1721394014700000000,1.9366
1721394014800000000,4.8869
1721394014900000000,4.7976
1721394015000000000,525.9519
1721394015100000000,492.9238
1721394015200000000,511.4485
1721394015300000000,501.1429
1721394015400000000,513.376
1721394015500000000,529.136
1721394015600000000,533.0867
1721394015700000000,541.9127
1721394015800000000,460.9717
1721394015900000000,504.7518
1721394016000000000,497.7714
1721394016100000000,589.6234
1721394016200000000,537.5091
1721394016300000000,512.1595
1721394016400000000,549.9086
1721394016500000000,463.6951
1721394016600000000,541.3162
1721394016700000000,499.5572
1721394016800000000,501.5586
1721394016900000000,514.3844
1721394017000000000,488.4267
1721394017100000000,516.7329
1721394017200000000,512.2349
1721394017300000000,485.191
1721394017400000000,498.8211
1721394017500000000,565.6942
1721394017600000000,549.7396
1721394017700000000,561.5403
1721394017800000000,508.7196
1721394017900000000,533.9533
1721394018000000000,501.2794
1721394018100000000,538.3266
1721394018200000000,550.9726
1721394018300000000,549.5672
1721394018400000000,529.1429
1721394018500000000,527.3899
1721394018600000000,479.5749
1721394018700000000,535.2371
1721394018800000000,526.0603
1721394018900000000,526.7496
1721394019000000000,519.0998
1721394019100000000,537.8094
1721394019200000000,522.4619
1721394019300000000,495.2227
1721394019400000000,504.4221
1721394019500000000,502.0921
1721394019600000000,490.8736
1721394019700000000,504.878
1721394019800000000,531.2547
1721394019900000000,585.2599
1721394020000000000,528.5896
1721394020100000000,495.7696
1721394020200000000,484.4355
1721394020300000000,503.6543
1721394020400000000,477.7864
1721394020500000000,580.3997
1721394020600000000,492.8076
1721394020700000000,511.1646
1721394020800000000,526.0344
1721394020900000000,494.0486
1721394021000000000,534.9547
1721394021100000000,561.4089
1721394021200000000,541.8961
1721394021300000000,543.8287
1721394021400000000,512.4807
1721394021500000000,517.505
1721394021600000000,523.7357
1721394021700000000,506.4614
1721394021800000000,587.4887
1721394021900000000,498.6181
1721394022000000000,568.8536
1721394022100000000,580.4357
1721394022200000000,532.4518
1721394022300000000,508.2631
1721394022400000000,499.5014
1721394022500000000,563.8511
1721394022600000000,490.3186
1721394022700000000,520.1726
1721394022800000000,515.4446
1721394022900000000,484.477
1721394023000000000,536.6658
1721394023100000000,487.1254
1721394023200000000,529.6817
1721394023300000000,508.1859
1721394023400000000,514.3746
1721394023500000000,560.5234
1721394023600000000,537.462
1721394023700000000,538.4125
1721394023800000000,465.9759
1721394023900000000,548.0727
1721394024000000000,526.3456
1721394024100000000,494.8895
1721394024200000000,503.3619
1721394024300000000,537.7216
1721394024400000000,507.8822
1721394024500000000,526.9989
1721394024600000000,524.8795
1721394024700000000,527.5247
1721394024800000000,509.4794
1721394024900000000,514.8765
1721394025000000000,498.1272
1721394025100000000,509.7216
1721394025200000000,524.2042
1721394025300000000,525.2539
1721394025400000000,563.1137
1721394025500000000,513.8607
1721394025600000000,529.6428
1721394025700000000,489.175
1721394025800000000,522.3487
1721394025900000000,553.0869
1721394026000000000,524.9957
1721394026100000000,482.7719
1721394026200000000,551.1965
1721394026300000000,541.8504
1721394026400000000,540.6682
1721394026500000000,529.1314
1721394026600000000,491.1422
1721394026700000000,535.2798
1721394026800000000,510.7842
1721394026900000000,491.3855
1721394027000000000,2.3489
1721394027100000000,0.5974
1721394027200000000,2.6571
1721394027300000000,2.6961
1721394027400000000,0.9815
1721394027500000000,0.137
1721394027600000000,1.4416
1721394027700000000,3.0542
1721394027800000000,0.8484
1721394027900000000,2.0682
1721394028000000000,2.8243
1721394028100000000,0.9758
1721394028200000000,0.8064
1721394028300000000,2.1814
1721394028400000000,1.6602
1721394028500000000,0.8544
1721394028600000000,2.5155
1721394028700000000,2.6906
1721394028800000000,2.9041
1721394028900000000,2.7958
1721394029000000000,3.0208
1721394029100000000,4.9547
1721394029200000000,1.0739
1721394029300000000,4.2569
1721394029400000000,3.1893
1721394029500000000,0.3144
1721394029600000000,4.0602
1721394029700000000,1.2203
1721394029800000000,0.9844
1721394029900000000,1.4803
1721394030000000000,502.4051
1721394030100000000,544.8867
1721394030200000000,518.7401
1721394030300000000,494.9429
1721394030400000000,509.0627
1721394030500000000,527.5198
1721394030600000000,562.0764
1721394030700000000,518.8241
1721394030800000000,514.5166
1721394030900000000,470.0705
1721394031000000000,524.6848
1721394031100000000,584.2796
1721394031200000000,526.217
1721394031300000000,511.2704
1721394031400000000,533.2577
1721394031500000000,497.9721
1721394031600000000,498.3107
1721394031700000000,501.9489
1721394031800000000,500.8589
1721394031900000000,520.1541
1721394032000000000,519.251
1721394032100000000,512.173
1721394032200000000,533.5227
1721394032300000000,555.0784
1721394032400000000,522.4099
1721394032500000000,523.0224
1721394032600000000,465.4633
1721394032700000000,486.9032
1721394032800000000,514.0018
1721394032900000000,492.9048
1721394033000000000,480.3762
1721394033100000000,489.5721
1721394033200000000,515.2437
1721394033300000000,528.4864
1721394033400000000,548.961
1721394033500000000,523.0628
1721394033600000000,548.5721
1721394033700000000,499.3764
1721394033800000000,552.2778
1721394033900000000,511.5292
1721394034000000000,497.5286
1721394034100000000,504.3146
1721394034200000000,520.5224
1721394034300000000,499.2303
1721394034400000000,504.8742
1721394034500000000,562.5554
1721394034600000000,519.2082
1721394034700000000,510.4885
1721394034800000000,538.5995
1721394034900000000,519.4112
1721394035000000000,543.4181
1721394035100000000,538.1994
1721394035200000000,519.7291
1721394035300000000,507.3784
1721394035400000000,493.7189
1721394035500000000,487.0978
1721394035600000000,505.5442
1721394035700000000,496.8292
1721394035800000000,499.3783
1721394035900000000,518.9249
1721394036000000000,519.719
1721394036100000000,545.9541
1721394036200000000,494.0925
1721394036300000000,513.5431
1721394036400000000,531.7825
1721394036500000000,534.4406
1721394036600000000,488.7327
1721394036700000000,491.7644
1721394036800000000,499.3809
1721394036900000000,514.5896
1721394037000000000,468.2069
1721394037100000000,526.8052
1721394037200000000,491.1953
1721394037300000000,503.4785
1721394037400000000,529.4502
1721394037500000000,538.7097
1721394037600000000,511.9163
1721394037700000000,548.1478
1721394037800000000,494.4418
1721394037900000000,495.1843
1721394038000000000,505.333
1721394038100000000,526.5852
1721394038200000000,513.2695
1721394038300000000,518.4384
1721394038400000000,526.8832
1721394038500000000,509.89
1721394038600000000,568.9953
1721394038700000000,520.5279
1721394038800000000,517.2211
1721394038900000000,591.0618
1721394039000000000,472.699
1721394039100000000,517.8111
1721394039200000000,508.6349
1721394039300000000,485.2121
1721394039400000000,511.8217
1721394039500000000,545.9462
1721394039600000000,536.2988
1721394039700000000,515.6352
1721394039800000000,526.9139
1721394039900000000,547.1246
1721394040000000000,545.0216
1721394040100000000,514.17
1721394040200000000,530.9999
1721394040300000000,515.9703
1721394040400000000,521.2085
1721394040500000000,540.8942
1721394040600000000,527.6025
1721394040700000000,462.8137
1721394040800000000,510.2628
1721394040900000000,502.2234
1721394041000000000,524.0306
1721394041100000000,514.07
1721394041200000000,524.684
1721394041300000000,516.3337
1721394041400000000,513.3109
1721394041500000000,548.0569
1721394041600000000,546.4704
1721394041700000000,559.7281
1721394041800000000,450.7979
1721394041900000000,505.6073
1721394042000000000,0.6556
1721394042100000000,1.3943
1721394042200000000,4.1132
1721394042300000000,3.8854
1721394042400000000,3.6045
1721394042500000000,3.8442
1721394042600000000,0.7379
1721394042700000000,4.7954
1721394042800000000,3.2626
1721394042900000000,4.3296
1721394043000000000,2.4094
1721394043100000000,2.0005
1721394043200000000,1.7322
1721394043300000000,4.5058
1721394043400000000,3.7643
1721394043500000000,2.0263
1721394043600000000,4.8042
1721394043700000000,4.0832
1721394043800000000,1.3678
1721394043900000000,1.3742
1721394044000000000,4.3668
1721394044100000000,2.5331
1721394044200000000,4.847
1721394044300000000,3.9377
1721394044400000000,4.2993
1721394044500000000,3.5072
1721394044600000000,0.4847
1721394044700000000,2.5396
1721394044800000000,3.1299
1721394044900000000,3.8361
1721394045000000000,541.2141
1721394045100000000,486.0912
1721394045200000000,496.4597
1721394045300000000,510.3512
1721394045400000000,537.4259
1721394045500000000,542.6081
1721394045600000000,534.4184
1721394045700000000,520.7634
1721394045800000000,505.1049
1721394045900000000,520.2733
1721394046000000000,468.3757
1721394046100000000,539.9417
1721394046200000000,505.0794
1721394046300000000,526.2901
1721394046400000000,539.3462
1721394046500000000,496.8357
1721394046600000000,478.0272
1721394046700000000,537.0205
1721394046800000000,489.9953
1721394046900000000,461.1551
1721394047000000000,555.4593
1721394047100000000,561.7917
1721394047200000000,520.833
1721394047300000000,537.2979
1721394047400000000,513.7344
1721394047500000000,588.7605
1721394047600000000,521.4875
1721394047700000000,498.6901
1721394047800000000,513.8029
1721394047900000000,495.0243
1721394048000000000,529.8655
1721394048100000000,533.6548
1721394048200000000,483.2162
1721394048300000000,516.0474
1721394048400000000,503.1486
1721394048500000000,525.2616
1721394048600000000,530.8262
1721394048700000000,509.984
1721394048800000000,568.9363
1721394048900000000,534.5325
1721394049000000000,502.9436
1721394049100000000,540.7491
1721394049200000000,454.6882
1721394049300000000,464.4891
1721394049400000000,519.7327
1721394049500000000,480.0737
1721394049600000000,537.0694
1721394049700000000,517.3906
1721394049800000000,513.0357
1721394049900000000,529.0526
1721394050000000000,511.0673
1721394050100000000,507.0016
1721394050200000000,551.4356
1721394050300000000,513.6898
1721394050400000000,507.0206
1721394050500000000,531.2948
1721394050600000000,527.5006
1721394050700000000,491.8953
1721394050800000000,490.816
1721394050900000000,576.9225
1721394051000000000,532.2751
1721394051100000000,529.8731
1721394051200000000,531.353
1721394051300000000,506.3628
1721394051400000000,493.9096
1721394051500000000,522.8898
1721394051600000000,523.3204
1721394051700000000,546.4265
1721394051800000000,519.9909
1721394051900000000,500.6787
1721394052000000000,533.2441
1721394052100000000,528.2403
1721394052200000000,531.4742
1721394052300000000,509.1084
1721394052400000000,542.2095
1721394052500000000,533.3353
1721394052600000000,521.9275
1721394052700000000,516.1194
1721394052800000000,546.8488
1721394052900000000,552.8069
1721394053000000000,559.9801
1721394053100000000,498.6057
1721394053200000000,562.5652
1721394053300000000,554.2663
1721394053400000000,526.2594
1721394053500000000,540.1247
1721394053600000000,530.0618
1721394053700000000,520.3551
1721394053800000000,497.9305
1721394053900000000,543.652
1721394054000000000,533.5667
1721394054100000000,557.7965
1721394054200000000,505.1311
1721394054300000000,519.4821
1721394054400000000,515.503
1721394054500000000,497.0038
1721394054600000000,514.0116
1721394054700000000,503.3782
1721394054800000000,532.5008
1721394054900000000,533.4005
1721394055000000000,542.4092
1721394055100000000,474.7235
1721394055200000000,545.7073
1721394055300000000,517.1363
1721394055400000000,536.1531
1721394055500000000,533.8834
1721394055600000000,514.6385
1721394055700000000,514.5709
1721394055800000000,516.682
1721394055900000000,531.7857
1721394056000000000,545.9158
1721394056100000000,496.6876
1721394056200000000,555.9644
1721394056300000000,504.4157
1721394056400000000,531.8028
1721394056500000000,535.7573
1721394056600000000,508.5352
1721394056700000000,523.156
1721394056800000000,536.1125
1721394056900000000,483.5748
1721394057000000000,1.6006
1721394057100000000,3.1955
1721394057200000000,3.5616
1721394057300000000,2.6901
1721394057400000000,3.9998
1721394057500000000,1.6852
1721394057600000000,4.209
1721394057700000000,1.7675
1721394057800000000,0.9284
1721394057900000000,3.3926
1721394058000000000,2.5386
1721394058100000000,2.4498
1721394058200000000,2.6028
1721394058300000000,3.3923
1721394058400000000,0.6902
1721394058500000000,2.1728
1721394058600000000,2.9334
1721394058700000000,4.5813
1721394058800000000,0.1673
1721394058900000000,2.0147
1721394059000000000,4.1602
1721394059100000000,4.0709
1721394059200000000,3.1204
1721394059300000000,1.8076
1721394059400000000,4.2945
1721394059500000000,4.6734
1721394059600000000,4.0538
1721394059700000000,4.0776
1721394059800000000,3.0157
1721394059900000000,1.4876
1721394060000000000,540.1616
1721394060100000000,484.3432
1721394060200000000,557.9022
1721394060300000000,496.5239
1721394060400000000,555.6321
1721394060500000000,523.2909
1721394060600000000,484.9984
1721394060700000000,532.0076
1721394060800000000,514.5236
1721394060900000000,509.4391
1721394061000000000,537.2883
1721394061100000000,495.686
1721394061200000000,520.1263
1721394061300000000,481.8563
1721394061400000000,482.3277
1721394061500000000,483.1144
1721394061600000000,559.6311
1721394061700000000,554.046
1721394061800000000,480.3618
1721394061900000000,523.122
1721394062000000000,513.2686
1721394062100000000,489.331
1721394062200000000,500.2645
1721394062300000000,570.1028
1721394062400000000,518.2404
1721394062500000000,553.1148
1721394062600000000,495.2506
1721394062700000000,502.0138
1721394062800000000,515.3365
1721394062900000000,524.5798
1721394063000000000,513.8336
1721394063100000000,514.4235
1721394063200000000,586.873
1721394063300000000,496.2875
1721394063400000000,545.6239
1721394063500000000,531.059
1721394063600000000,516.0256
1721394063700000000,555.6872
1721394063800000000,499.7257
1721394063900000000,535.178
1721394064000000000,539.6664
1721394064100000000,521.2485
1721394064200000000,535.7176
1721394064300000000,496.5751
1721394064400000000,542.1775
1721394064500000000,517.966
1721394064600000000,489.3052
1721394064700000000,549.4411
1721394064800000000,495.9523
1721394064900000000,494.5414
1721394065000000000,557.14
1721394065100000000,529.7799
1721394065200000000,529.2417
1721394065300000000,494.3955
1721394065400000000,493.6008
1721394065500000000,472.3861
1721394065600000000,537.3375
1721394065700000000,510.9779
1721394065800000000,544.5266
1721394065900000000,476.132
1721394066000000000,517.108
1721394066100000000,578.0142
1721394066200000000,509.7515
1721394066300000000,481.6812
1721394066400000000,524.3775
1721394066500000000,517.8849
1721394066600000000,505.3525
1721394066700000000,459.5322
1721394066800000000,523.4031
1721394066900000000,513.5563
1721394067000000000,538.3205
1721394067100000000,520.8876
1721394067200000000,536.968
1721394067300000000,504.133
1721394067400000000,507.9237
1721394067500000000,462.5358
1721394067600000000,501.3748
1721394067700000000,512.8681
1721394067800000000,502.9084
1721394067900000000,552.362
1721394068000000000,526.5854
1721394068100000000,534.1098
1721394068200000000,515.3263
1721394068300000000,482.6811
1721394068400000000,512.4331
1721394068500000000,521.6299
1721394068600000000,546.5582
1721394068700000000,470.552
1721394068800000000,486.1561
1721394068900000000,541.4028
1721394069000000000,527.548
1721394069100000000,500.8371
