timestamp_ns,value_K
1720947600000000000,289.20
1720947600010000000,300.14
1720947600020000000,304.89
1720947600030000000,297.14
1720947600040000000,307.80
1720947600050000000,291.08
1720947600060000000,299.87
1720947600070000000,309.46
1720947600080000000,296.27
1720947600090000000,295.85
1720947600100000000,294.82
1720947600110000000,301.83
1720947600120000000,288.30
1720947600130000000,307.58
1720947600140000000,295.91
1720947600150000000,294.40
1720947600160000000,291.79
1720947600170000000,309.54
1720947600180000000,308.77
1720947600190000000,288.88
1720947600200000000,299.67
1720947600210000000,302.46
1720947600220000000,298.56
1720947600230000000,299.85
1720947600240000000,309.37
1720947600250000000,292.30
1720947600260000000,291.73
1720947600270000000,306.89
1720947600280000000,302.81
1720947600290000000,304.26
1720947600300000000,301.08
1720947600310000000,295.35
1720947600320000000,305.01
1720947600330000000,301.07
1720947600340000000,294.14
1720947600350000000,278.74
1720947600360000000,302.49
1720947600370000000,305.76
1720947600380000000,302.11
1720947600390000000,299.84
1720947600400000000,309.27
1720947600410000000,299.97
1720947600420000000,303.88
1720947600430000000,300.37
1720947600440000000,302.11
1720947600450000000,303.19
1720947600460000000,308.86
1720947600470000000,292.07
1720947600480000000,300.57
1720947600490000000,298.32
1720947600500000000,309.96
1720947600510000000,291.11
1720947600520000000,308.46
1720947600530000000,305.80
1720947600540000000,295.11
1720947600550000000,304.37
1720947600560000000,306.67
1720947600570000000,309.48
1720947600580000000,300.95
1720947600590000000,302.03
1720947600600000000,301.09
1720947600610000000,294.63
1720947600620000000,303.67
1720947600630000000,293.62
1720947600640000000,307.26
1720947600650000000,303.17
1720947600660000000,298.10
1720947600670000000,299.55
1720947600680000000,301.58
1720947600690000000,301.02
1720947600700000000,301.93
1720947600710000000,302.94
1720947600720000000,295.84
1720947600730000000,307.99
1720947600740000000,293.47
1720947600750000000,300.36
1720947600760000000,287.10
1720947600770000000,299.30
1720947600780000000,295.55
1720947600790000000,286.94
1720947600800000000,292.11
1720947600810000000,295.55
1720947600820000000,292.71
1720947600830000000,297.41
1720947600840000000,288.25
1720947600850000000,302.04
1720947600860000000,296.54
1720947600870000000,291.67
1720947600880000000,304.49
1720947600890000000,288.14
1720947600900000000,298.43
1720947600910000000,302.95
1720947600920000000,288.86
1720947600930000000,299.53
1720947600940000000,300.93
1720947600950000000,290.93
1720947600960000000,305.22
1720947600970000000,302.81
1720947600980000000,304.72
1720947600990000000,306.26
1720947601000000000,298.79
1720947601010000000,292.71
1720947601020000000,296.99
1720947601030000000,309.05
1720947601040000000,301.48
1720947601050000000,293.68
1720947601060000000,303.10
1720947601070000000,305.69
1720947601080000000,303.07
1720947601090000000,294.85
1720947601100000000,300.67
1720947601110000000,302.66
1720947601120000000,304.37
1720947601130000000,304.89
1720947601140000000,298.38
1720947601150000000,292.73
1720947601160000000,299.75
1720947601170000000,304.63
1720947601180000000,304.24
1720947601190000000,298.25
1720947601200000000,298.48
1720947601210000000,299.49
1720947601220000000,295.75
1720947601230000000,307.20
1720947601240000000,298.01
1720947601250000000,306.96
1720947601260000000,302.88
1720947601270000000,288.06
1720947601280000000,303.08
1720947601290000000,303.53
1720947601300000000,314.57
1720947601310000000,302.89
1720947601320000000,300.21
1720947601330000000,301.12
1720947601340000000,293.45
1720947601350000000,307.20
1720947601360000000,302.58
1720947601370000000,305.78
1720947601380000000,290.98
1720947601390000000,300.75
1720947601400000000,300.35
1720947601410000000,292.99
1720947601420000000,306.04
1720947601430000000,303.16
1720947601440000000,304.18
1720947601450000000,296.86
1720947601460000000,300.78
1720947601470000000,298.67
1720947601480000000,296.78
1720947601490000000,307.10
1720947601500000000,315.30
1720947601510000000,302.85
1720947601520000000,306.89
1720947601530000000,303.11
1720947601540000000,300.08
1720947601550000000,303.16
1720947601560000000,301.94
1720947601570000000,293.92
1720947601580000000,304.15
1720947601590000000,284.56
1720947601600000000,298.40
1720947601610000000,297.42
1720947601620000000,291.64
1720947601630000000,299.78
1720947601640000000,309.10
1720947601650000000,294.85
1720947601660000000,300.65
1720947601670000000,307.23
1720947601680000000,306.80
1720947601690000000,302.28
1720947601700000000,311.77
1720947601710000000,305.74
1720947601720000000,304.94
1720947601730000000,298.31
1720947601740000000,298.23
1720947601750000000,293.58
1720947601760000000,304.32
1720947601770000000,294.54
1720947601780000000,299.36
1720947601790000000,300.94
1720947601800000000,300.74
1720947601810000000,299.98
1720947601820000000,288.86
1720947601830000000,289.25
1720947601840000000,303.27
1720947601850000000,294.40
1720947601860000000,301.43
1720947601870000000,302.14
1720947601880000000,305.45
1720947601890000000,297.19
1720947601900000000,303.41
1720947601910000000,304.94
1720947601920000000,299.26
1720947601930000000,299.64
1720947601940000000,302.45
1720947601950000000,299.11
1720947601960000000,307.48
1720947601970000000,287.20
1720947601980000000,293.26
1720947601990000000,302.26
1720947602000000000,282.23
1720947602009999999,314.35
1720947602020000000,308.61
1720947602029999999,317.71
1720947602040000000,295.56
1720947602049999999,318.66
1720947602060000000,359.30
1720947602069999999,316.23
1720947602080000000,320.14
1720947602089999999,353.47
1720947602100000000,359.94
1720947602109999999,391.11
1720947602120000000,380.21
1720947602130000000,366.86
1720947602140000000,367.14
1720947602150000000,374.50
1720947602160000000,388.41
1720947602170000000,393.94
1720947602180000000,409.01
1720947602190000000,419.05
1720947602200000000,406.56
1720947602210000000,416.78
1720947602220000000,401.39
1720947602230000000,455.10
1720947602240000000,438.61
1720947602250000000,456.78
1720947602260000000,432.14
1720947602270000000,446.52
1720947602280000000,445.82
1720947602290000000,477.39
1720947602300000000,457.02
1720947602310000000,475.23
1720947602320000000,486.45
1720947602330000000,477.61
1720947602340000000,491.30
1720947602350000000,487.61
1720947602360000000,511.42
1720947602370000000,499.20
1720947602380000000,501.58
1720947602390000000,519.65
1720947602400000000,528.00
1720947602410000000,525.60
1720947602420000000,521.34
1720947602430000000,527.57
1720947602440000000,531.93
1720947602450000000,565.69
1720947602460000000,542.62
1720947602470000000,592.98
1720947602480000000,569.30
1720947602490000000,564.32
1720947602500000000,584.49
1720947602510000000,583.86
1720947602520000000,627.38
1720947602530000000,631.65
1720947602540000000,621.53
1720947602550000000,606.36
1720947602560000000,603.82
1720947602570000000,620.96
1720947602580000000,644.34
1720947602590000000,620.59
1720947602600000000,683.90
1720947602610000000,655.95
1720947602620000000,672.54
1720947602630000000,635.87
1720947602640000000,679.47
1720947602650000000,649.74
1720947602660000000,692.22
1720947602670000000,706.59
1720947602680000000,690.18
1720947602690000000,715.55
1720947602700000000,687.85
1720947602710000000,694.50
1720947602720000000,711.41
1720947602730000000,715.60
1720947602740000000,735.04
1720947602750000000,720.17
1720947602760000000,732.62
1720947602770000000,756.30
1720947602780000000,767.93
1720947602790000000,761.56
1720947602800000000,766.62
1720947602810000000,774.90
1720947602820000000,745.97
1720947602830000000,769.39
1720947602840000000,800.11
1720947602850000000,786.55
1720947602860000000,791.71
1720947602870000000,798.45
1720947602880000000,795.51
1720947602890000000,787.11
1720947602900000000,833.94
1720947602910000000,819.68
1720947602920000000,821.25
1720947602930000000,830.67
1720947602940000000,838.11
1720947602950000000,871.04
1720947602960000000,859.39
1720947602970000000,869.54
1720947602980000000,862.88
1720947602990000000,863.72
1720947603000000000,920.87
1720947603010000000,921.44
1720947603020000000,906.41
1720947603030000000,921.98
1720947603040000000,934.61
1720947603050000000,928.70
1720947603060000000,938.33
1720947603070000000,903.84
1720947603080000000,925.97
1720947603090000000,926.37
1720947603100000000,943.45
1720947603110000000,948.84
1720947603120000000,944.15
1720947603130000000,923.66
1720947603140000000,926.88
1720947603150000000,931.42
1720947603160000000,914.16
1720947603170000000,934.18
1720947603180000000,933.86
1720947603190000000,956.86
1720947603200000000,936.48
1720947603210000000,938.36
1720947603220000000,957.11
1720947603230000000,939.98
1720947603240000000,921.20
1720947603250000000,947.74
1720947603260000000,974.49
1720947603270000000,917.01
1720947603280000000,953.92
1720947603290000000,953.53
1720947603300000000,951.15
1720947603310000000,950.93
1720947603320000000,923.36
1720947603330000000,969.02
1720947603340000000,934.66
1720947603350000000,965.59
1720947603360000000,942.25
1720947603370000000,939.26
1720947603380000000,971.72
1720947603390000000,931.11
1720947603400000000,952.98
1720947603410000000,962.04
1720947603420000000,952.01
1720947603430000000,965.35
1720947603440000000,943.45
1720947603450000000,991.80
1720947603460000000,955.47
