timestamp_ns,value_g_rms
1720947600000000000,0.071
1720947600010000000,0.000
1720947600020000000,0.059
1720947600030000000,0.000
1720947600040000000,0.022
1720947600050000000,0.161
1720947600060000000,0.007
1720947600070000000,0.326
1720947600080000000,0.000
1720947600090000000,0.268
1720947600100000000,0.000
1720947600110000000,0.000
1720947600120000000,0.042
1720947600130000000,0.175
1720947600140000000,0.000
1720947600150000000,0.126
1720947600160000000,0.000
1720947600170000000,0.000
1720947600180000000,0.000
1720947600190000000,0.000
1720947600200000000,0.028
1720947600210000000,0.177
1720947600220000000,0.000
1720947600230000000,0.000
1720947600240000000,0.000
1720947600250000000,0.019
1720947600260000000,0.172
1720947600270000000,0.000
1720947600280000000,0.013
1720947600290000000,0.154
1720947600300000000,0.134
1720947600310000000,0.233
1720947600320000000,0.000
1720947600330000000,0.261
1720947600340000000,0.000
1720947600350000000,0.111
1720947600360000000,0.000
1720947600370000000,0.218
1720947600380000000,0.164
1720947600390000000,0.015
1720947600400000000,0.000
1720947600410000000,0.000
1720947600420000000,0.198
1720947600430000000,0.203
1720947600440000000,0.140
1720947600450000000,0.080
1720947600460000000,0.104
1720947600470000000,0.156
1720947600480000000,0.000
1720947600490000000,0.000
1720947600500000000,0.000
1720947600510000000,0.000
1720947600520000000,0.000
1720947600530000000,0.060
1720947600540000000,0.003
1720947600550000000,0.397
1720947600560000000,0.068
1720947600570000000,0.000
1720947600580000000,0.026
1720947600590000000,0.331
1720947600600000000,0.000
1720947600610000000,0.051
1720947600620000000,0.334
1720947600630000000,0.154
1720947600640000000,0.184
1720947600650000000,0.111
1720947600660000000,0.000
1720947600670000000,0.115
1720947600680000000,0.000
1720947600690000000,0.089
1720947600700000000,0.165
1720947600710000000,0.152
1720947600720000000,0.107
1720947600730000000,0.000
1720947600740000000,0.186
1720947600750000000,0.175
1720947600760000000,0.010
1720947600770000000,0.108
1720947600780000000,0.240
1720947600790000000,0.061
1720947600800000000,0.000
1720947600810000000,0.000
1720947600820000000,0.000
1720947600830000000,0.000
1720947600840000000,0.000
1720947600850000000,0.337
1720947600860000000,0.029
1720947600870000000,0.048
1720947600880000000,0.165
1720947600890000000,0.161
1720947600900000000,0.233
1720947600910000000,0.000
1720947600920000000,0.093
1720947600930000000,0.000
1720947600940000000,0.068
1720947600950000000,0.000
1720947600960000000,0.220
1720947600970000000,0.000
1720947600980000000,0.002
1720947600990000000,0.060
1720947601000000000,0.074
1720947601010000000,0.000
1720947601020000000,0.010
1720947601030000000,0.097
1720947601040000000,0.000
1720947601050000000,0.180
1720947601060000000,0.000
1720947601070000000,0.000
1720947601080000000,0.274
1720947601090000000,0.000
1720947601100000000,0.060
1720947601110000000,0.065
1720947601120000000,0.000
1720947601130000000,0.001
1720947601140000000,0.011
1720947601150000000,0.000
1720947601160000000,0.000
1720947601170000000,0.179
1720947601180000000,0.000
1720947601190000000,0.000
1720947601200000000,0.000
1720947601210000000,0.036
1720947601220000000,0.237
1720947601230000000,0.125
1720947601240000000,0.000
1720947601250000000,0.113
1720947601260000000,0.377
1720947601270000000,0.000
1720947601280000000,0.000
1720947601290000000,0.000
1720947601300000000,0.000
1720947601310000000,0.119
1720947601320000000,0.000
1720947601330000000,0.149
1720947601340000000,0.009
1720947601350000000,0.000
1720947601360000000,0.114
1720947601370000000,0.028
1720947601380000000,0.001
1720947601390000000,0.000
1720947601400000000,0.177
1720947601410000000,0.032
1720947601420000000,0.000
1720947601430000000,0.000
1720947601440000000,0.065
1720947601450000000,0.000
1720947601460000000,0.074
1720947601470000000,0.000
1720947601480000000,0.069
1720947601490000000,0.007
1720947601500000000,0.000
1720947601510000000,0.000
1720947601520000000,0.087
1720947601530000000,0.162
1720947601540000000,0.000
1720947601550000000,0.000
1720947601560000000,0.000
1720947601570000000,0.133
1720947601580000000,0.000
1720947601590000000,0.092
1720947601600000000,0.000
1720947601610000000,0.034
1720947601620000000,0.302
1720947601630000000,0.000
1720947601640000000,0.002
1720947601650000000,0.195
1720947601660000000,0.000
1720947601670000000,0.000
1720947601680000000,0.000
1720947601690000000,0.000
1720947601700000000,0.122
1720947601710000000,0.076
1720947601720000000,0.000
1720947601730000000,0.089
1720947601740000000,0.000
1720947601750000000,0.032
1720947601760000000,0.032
1720947601770000000,0.000
1720947601780000000,0.000
1720947601790000000,0.000
1720947601800000000,0.000
1720947601810000000,0.151
1720947601820000000,0.256
1720947601830000000,0.064
1720947601840000000,0.082
1720947601850000000,0.328
1720947601860000000,0.213
1720947601870000000,0.156
1720947601880000000,0.000
1720947601890000000,0.000
1720947601900000000,0.192
1720947601910000000,0.105
1720947601920000000,0.070
1720947601930000000,0.076
1720947601940000000,0.116
1720947601950000000,0.000
1720947601960000000,0.000
1720947601970000000,0.053
1720947601980000000,0.000
1720947601990000000,0.000
1720947602000000000,0.000
1720947602009999999,0.000
1720947602020000000,0.000
1720947602029999999,0.000
1720947602040000000,0.524
1720947602049999999,0.056
1720947602060000000,0.123
1720947602069999999,0.139
1720947602080000000,0.000
1720947602089999999,0.000
1720947602100000000,0.059
1720947602109999999,0.000
1720947602120000000,0.000
1720947602130000000,0.221
1720947602140000000,0.000
1720947602150000000,0.000
1720947602160000000,0.027
1720947602170000000,0.000
1720947602180000000,0.027
1720947602190000000,0.329
1720947602200000000,0.022
1720947602210000000,0.566
1720947602220000000,0.710
1720947602230000000,0.204
1720947602240000000,0.228
1720947602250000000,0.137
1720947602260000000,1.072
1720947602270000000,0.831
1720947602280000000,0.028
1720947602290000000,0.747
1720947602300000000,0.696
1720947602310000000,0.737
1720947602320000000,0.000
1720947602330000000,0.915
1720947602340000000,0.259
1720947602350000000,0.266
1720947602360000000,0.284
1720947602370000000,0.308
1720947602380000000,0.000
1720947602390000000,0.449
1720947602400000000,0.516
1720947602410000000,0.000
1720947602420000000,0.443
1720947602430000000,0.177
1720947602440000000,0.794
1720947602450000000,0.379
1720947602460000000,0.517
1720947602470000000,0.137
1720947602480000000,0.072
1720947602490000000,0.246
1720947602500000000,0.253
1720947602510000000,1.009
1720947602520000000,0.629
1720947602530000000,0.340
1720947602540000000,0.539
1720947602550000000,0.853
1720947602560000000,0.996
1720947602570000000,0.896
1720947602580000000,0.087
1720947602590000000,0.526
1720947602600000000,1.201
1720947602610000000,0.742
1720947602620000000,0.501
1720947602630000000,0.098
1720947602640000000,1.000
1720947602650000000,1.084
1720947602660000000,0.230
1720947602670000000,1.117
1720947602680000000,0.215
1720947602690000000,0.504
1720947602700000000,0.872
1720947602710000000,0.336
1720947602720000000,0.121
1720947602730000000,0.952
1720947602740000000,0.237
1720947602750000000,0.508
1720947602760000000,1.096
1720947602770000000,0.900
1720947602780000000,0.825
1720947602790000000,0.933
1720947602800000000,1.021
1720947602810000000,0.564
1720947602820000000,1.228
1720947602830000000,0.787
1720947602840000000,0.526
1720947602850000000,0.645
1720947602860000000,0.761
1720947602870000000,0.507
1720947602880000000,0.631
1720947602890000000,0.300
1720947602900000000,1.033
1720947602910000000,1.807
1720947602920000000,0.923
1720947602930000000,0.837
1720947602940000000,1.464
1720947602950000000,1.083
1720947602960000000,1.323
1720947602970000000,1.100
1720947602980000000,1.155
1720947602990000000,0.000
1720947603000000000,0.731
1720947603010000000,0.520
1720947603020000000,2.101
1720947603030000000,1.585
1720947603040000000,0.939
1720947603050000000,0.765
1720947603060000000,1.496
1720947603070000000,0.487
1720947603080000000,1.284
1720947603090000000,1.517
1720947603100000000,0.974
1720947603110000000,1.263
1720947603120000000,1.536
1720947603130000000,1.141
1720947603140000000,1.270
1720947603150000000,1.206
1720947603160000000,1.734
1720947603170000000,1.839
1720947603180000000,1.532
1720947603190000000,1.098
1720947603200000000,1.379
1720947603210000000,1.469
1720947603220000000,1.617
1720947603230000000,1.148
1720947603240000000,1.110
1720947603250000000,1.466
1720947603260000000,1.356
1720947603270000000,1.037
1720947603280000000,1.441
1720947603290000000,1.221
1720947603300000000,1.436
1720947603310000000,0.538
1720947603320000000,1.068
1720947603330000000,1.340
1720947603340000000,1.518
1720947603350000000,1.304
1720947603360000000,1.133
1720947603370000000,1.750
1720947603380000000,1.075
1720947603390000000,1.439
1720947603400000000,1.319
1720947603410000000,0.862
1720947603420000000,2.035
1720947603430000000,0.663
1720947603440000000,0.970
1720947603450000000,1.494
1720947603460000000,0.836
1720947603470000000,0.848
1720947603480000000,1.204
1720947603490000000,1.375
1720947603500000000,1.258
1720947603510000000,1.179
1720947603520000000,1.188
1720947603530000000,1.295
1720947603540000000,0.912
1720947603550000000,1.786
1720947603560000000,1.242
1720947603570000000,1.060
1720947603580000000,1.030
1720947603590000000,0.929
