timestamp_ns,value_kg/s
1721206800000000000,0.000
1721206800010000000,0.000
1721206800020000000,0.000
1721206800030000000,0.000
1721206800040000000,0.000
1721206800050000000,0.000
1721206800060000000,0.004
1721206800070000000,0.004
1721206800080000000,0.002
1721206800090000000,0.010
1721206800100000000,0.000
1721206800110000000,0.000
1721206800120000000,0.000
1721206800130000000,0.028
1721206800140000000,0.023
1721206800150000000,0.001
1721206800160000000,0.000
1721206800170000000,0.038
1721206800180000000,0.017
1721206800190000000,0.000
1721206800200000000,0.000
1721206800210000000,0.000
1721206800220000000,0.021
1721206800230000000,0.000
1721206800240000000,0.000
1721206800250000000,0.000
1721206800260000000,0.031
1721206800270000000,0.000
1721206800280000000,0.027
1721206800290000000,0.009
1721206800300000000,0.006
1721206800310000000,0.000
1721206800320000000,0.000
1721206800330000000,0.010
1721206800340000000,0.000
1721206800350000000,0.033
1721206800360000000,0.004
1721206800370000000,0.010
1721206800380000000,0.000
1721206800390000000,0.040
1721206800400000000,0.015
1721206800410000000,0.000
1721206800420000000,0.000
1721206800430000000,0.009
1721206800440000000,0.004
1721206800450000000,0.000
1721206800460000000,0.012
1721206800470000000,0.007
1721206800480000000,0.036
1721206800490000000,0.042
1721206800500000000,0.000
1721206800510000000,0.000
1721206800520000000,0.029
1721206800530000000,0.012
1721206800540000000,0.000
1721206800550000000,0.000
1721206800560000000,0.000
1721206800570000000,0.000
1721206800580000000,0.013
1721206800590000000,0.026
1721206800600000000,0.029
1721206800610000000,0.000
1721206800620000000,0.000
1721206800630000000,0.001
1721206800640000000,0.004
1721206800650000000,0.002
1721206800660000000,0.000
1721206800670000000,0.000
1721206800680000000,0.001
1721206800690000000,0.000
1721206800700000000,0.007
1721206800710000000,0.007
1721206800720000000,0.000
1721206800730000000,0.030
1721206800740000000,0.000
1721206800750000000,0.015
1721206800760000000,0.030
1721206800770000000,0.054
1721206800780000000,0.019
1721206800790000000,0.020
1721206800800000000,0.000
1721206800810000000,0.000
1721206800820000000,0.000
1721206800830000000,0.019
1721206800840000000,0.000
1721206800850000000,0.000
1721206800860000000,0.000
1721206800870000000,0.000
1721206800880000000,0.021
1721206800890000000,0.000
1721206800900000000,0.000
1721206800910000000,0.027
1721206800920000000,0.000
1721206800930000000,0.023
1721206800940000000,0.002
1721206800950000000,0.017
1721206800960000000,0.000
1721206800970000000,0.007
1721206800980000000,0.007
1721206800990000000,0.039
1721206801000000000,0.005
1721206801010000000,0.010
1721206801020000000,0.000
1721206801030000000,0.014
1721206801040000000,0.008
1721206801050000000,0.039
1721206801060000000,0.005
1721206801070000000,0.001
1721206801080000000,0.026
1721206801090000000,0.033
1721206801100000000,0.000
1721206801110000000,0.000
1721206801120000000,0.010
1721206801130000000,0.035
1721206801140000000,0.000
1721206801150000000,0.000
1721206801160000000,0.000
1721206801170000000,0.006
1721206801180000000,0.000
1721206801190000000,0.026
1721206801200000000,0.014
1721206801210000000,0.004
1721206801220000000,0.000
1721206801230000000,0.000
1721206801240000000,0.023
1721206801250000000,0.000
1721206801260000000,0.027
1721206801270000000,0.008
1721206801280000000,0.000
1721206801290000000,0.000
1721206801300000000,0.000
1721206801310000000,0.000
1721206801320000000,0.000
1721206801330000000,0.000
1721206801340000000,0.012
1721206801350000000,0.012
1721206801360000000,0.000
1721206801370000000,0.021
1721206801380000000,0.013
1721206801390000000,0.016
1721206801400000000,0.000
1721206801410000000,0.000
1721206801420000000,0.000
1721206801430000000,0.000
1721206801440000000,0.006
1721206801450000000,0.000
1721206801460000000,0.000
1721206801470000000,0.000
1721206801480000000,0.025
1721206801490000000,0.000
1721206801500000000,0.000
1721206801510000000,0.014
1721206801520000000,0.000
1721206801530000000,0.000
1721206801540000000,0.000
1721206801550000000,0.040
1721206801560000000,0.000
1721206801570000000,0.000
1721206801580000000,0.011
