timestamp_ns,value_rpm
1721984400000000000,0
1721984400010000000,0
1721984400020000000,32
1721984400030000000,0
1721984400040000000,0
1721984400050000000,29
1721984400060000000,104
1721984400070000000,0
1721984400080000000,0
1721984400090000000,0
1721984400100000000,98
1721984400110000000,0
1721984400120000000,10
1721984400130000000,0
1721984400140000000,0
1721984400150000000,4
1721984400160000000,0
1721984400170000000,0
1721984400180000000,0
1721984400190000000,85
1721984400200000000,0
1721984400210000000,0
1721984400220000000,0
1721984400230000000,78
1721984400240000000,53
1721984400250000000,0
1721984400260000000,0
1721984400270000000,0
1721984400280000000,134
1721984400290000000,107
1721984400300000000,87
1721984400310000000,0
1721984400320000000,0
1721984400330000000,0
1721984400340000000,0
1721984400350000000,52
1721984400360000000,0
1721984400370000000,240
1721984400380000000,11
1721984400390000000,74
1721984400400000000,0
1721984400410000000,126
1721984400420000000,95
1721984400430000000,44
1721984400440000000,28
1721984400450000000,0
1721984400460000000,233
1721984400470000000,0
1721984400480000000,129
1721984400490000000,3
1721984400500000000,37
1721984400510000000,0
1721984400520000000,36
1721984400530000000,115
1721984400540000000,0
1721984400550000000,0
1721984400560000000,49
1721984400570000000,44
1721984400580000000,92
1721984400590000000,70
1721984400600000000,93
1721984400610000000,127
1721984400620000000,0
1721984400630000000,0
1721984400640000000,0
1721984400650000000,0
1721984400660000000,197
1721984400670000000,35
1721984400680000000,33
1721984400690000000,135
1721984400700000000,0
1721984400710000000,0
1721984400720000000,0
1721984400730000000,0
1721984400740000000,36
1721984400750000000,35
1721984400760000000,118
1721984400770000000,68
1721984400780000000,109
1721984400790000000,36
1721984400800000000,67
1721984400810000000,79
1721984400820000000,28
1721984400830000000,1
1721984400840000000,51
1721984400850000000,0
1721984400860000000,39
1721984400870000000,0
1721984400880000000,0
1721984400890000000,0
1721984400900000000,0
1721984400910000000,68
1721984400920000000,140
1721984400930000000,149
1721984400940000000,47
1721984400950000000,0
1721984400960000000,0
1721984400970000000,0
1721984400980000000,0
1721984400990000000,112
1721984401000000000,0
1721984401010000000,28
1721984401020000000,86
1721984401030000000,70
1721984401040000000,0
1721984401050000000,8
1721984401060000000,21
1721984401070000000,0
1721984401080000000,0
1721984401090000000,0
1721984401100000000,80
1721984401110000000,0
1721984401120000000,0
1721984401130000000,66
1721984401140000000,203
1721984401150000000,103
1721984401160000000,0
1721984401170000000,0
1721984401180000000,51
1721984401190000000,33
1721984401200000000,0
1721984401210000000,0
1721984401220000000,72
1721984401230000000,130
1721984401240000000,11
1721984401250000000,130
1721984401260000000,60
1721984401270000000,0
1721984401280000000,0
1721984401290000000,25
1721984401300000000,62
1721984401310000000,0
1721984401320000000,0
1721984401330000000,47
1721984401340000000,0
1721984401350000000,53
1721984401360000000,57
1721984401370000000,13
1721984401380000000,0
1721984401390000000,0
1721984401400000000,132
1721984401410000000,0
1721984401420000000,76
1721984401430000000,0
1721984401440000000,21
1721984401450000000,0
1721984401460000000,0
1721984401470000000,0
1721984401480000000,42
1721984401490000000,37
1721984401500000000,103
1721984401510000000,0
1721984401520000000,41
1721984401530000000,26
1721984401540000000,31
1721984401550000000,63
1721984401560000000,73
1721984401570000000,0
1721984401580000000,62
1721984401590000000,13
1721984401600000000,0
1721984401610000000,123
1721984401620000000,43
1721984401630000000,79
1721984401640000000,0
1721984401650000000,159
1721984401660000000,0
1721984401670000000,0
1721984401680000000,145
1721984401690000000,0
1721984401700000000,50
1721984401710000000,0
1721984401720000000,115
1721984401730000000,0
1721984401740000000,0
1721984401750000000,0
1721984401760000000,0
1721984401770000000,115
1721984401780000000,0
1721984401790000000,47
1721984401800000000,0
1721984401810000000,49
1721984401820000000,147
1721984401830000000,0
1721984401840000000,0
1721984401850000000,0
1721984401860000000,55
1721984401870000000,48
1721984401880000000,29
1721984401890000000,0
1721984401900000000,7
1721984401910000000,0
1721984401920000000,20
1721984401930000000,0
1721984401940000000,0
1721984401950000000,16
1721984401960000000,36
1721984401970000000,99
1721984401980000000,19
1721984401990000000,0
1721984402000000000,0
1721984402009999999,673
1721984402020000000,541
1721984402029999999,312
1721984402040000000,1133
1721984402049999999,1578
1721984402060000000,1267
1721984402069999999,1623
1721984402080000000,2193
1721984402089999999,2392
1721984402100000000,2709
1721984402109999999,2563
1721984402120000000,2739
1721984402130000000,3272
1721984402140000000,3670
1721984402150000000,3400
1721984402160000000,4369
1721984402170000000,4543
1721984402180000000,4618
1721984402190000000,4629
1721984402200000000,5363
1721984402210000000,5450
1721984402220000000,5550
1721984402230000000,5945
1721984402240000000,6089
1721984402250000000,6295
1721984402260000000,6379
1721984402270000000,6882
1721984402280000000,7269
1721984402290000000,7452
1721984402300000000,7580
1721984402310000000,7944
1721984402320000000,8001
1721984402330000000,8744
1721984402340000000,8613
1721984402350000000,8974
1721984402360000000,9078
1721984402370000000,9381
1721984402380000000,9524
1721984402390000000,9878
1721984402400000000,10623
1721984402410000000,10707
1721984402420000000,11163
1721984402430000000,10702
1721984402440000000,11286
1721984402450000000,11449
1721984402460000000,11583
1721984402470000000,12158
1721984402480000000,12145
1721984402490000000,12639
1721984402500000000,12952
1721984402510000000,13026
1721984402520000000,13231
1721984402530000000,13342
1721984402540000000,14049
1721984402550000000,13979
1721984402560000000,14436
1721984402570000000,14526
1721984402580000000,14974
1721984402590000000,14750
1721984402600000000,15420
1721984402610000000,15575
1721984402620000000,15887
1721984402630000000,16068
1721984402640000000,16417
1721984402650000000,16632
1721984402660000000,16532
1721984402670000000,17033
1721984402680000000,17562
1721984402690000000,17481
1721984402700000000,18159
1721984402710000000,18085
1721984402720000000,18108
1721984402730000000,18566
1721984402740000000,18777
1721984402750000000,18748
1721984402760000000,18981
1721984402770000000,19772
1721984402780000000,20049
1721984402790000000,20082
1721984402800000000,20349
1721984402810000000,20634
1721984402820000000,20894
1721984402830000000,21352
1721984402840000000,21655
1721984402850000000,21943
1721984402860000000,21771
1721984402870000000,22140
1721984402880000000,22298
1721984402890000000,22944
1721984402900000000,22772
1721984402910000000,23152
1721984402920000000,23481
1721984402930000000,23714
1721984402940000000,23953
1721984402950000000,24205
1721984402960000000,24284
1721984402970000000,24854
1721984402980000000,25029
1721984402990000000,25275
1721984403000000000,27777
1721984403010000000,27918
1721984403020000000,27696
1721984403030000000,28104
1721984403040000000,27394
1721984403050000000,27898
1721984403060000000,28005
1721984403070000000,28164
1721984403080000000,28368
1721984403090000000,27905
1721984403100000000,28140
1721984403110000000,28423
1721984403120000000,28296
1721984403130000000,28479
1721984403140000000,28224
1721984403150000000,28450
1721984403160000000,28171
1721984403170000000,28571
1721984403180000000,28054
1721984403190000000,28599
1721984403200000000,28655
1721984403210000000,28686
1721984403220000000,28479
1721984403230000000,28811
1721984403240000000,28372
1721984403250000000,29057
1721984403260000000,28881
1721984403270000000,28757
1721984403280000000,28746
1721984403290000000,28681
1721984403300000000,29122
1721984403310000000,28841
1721984403320000000,28825
1721984403330000000,29017
1721984403340000000,29518
1721984403350000000,29257
1721984403360000000,29116
1721984403370000000,29313
1721984403380000000,29392
1721984403390000000,29326
1721984403400000000,29318
1721984403410000000,29591
1721984403420000000,29387
1721984403430000000,29305
1721984403440000000,29628
1721984403450000000,29213
1721984403460000000,29657
1721984403470000000,29643
1721984403480000000,29614
1721984403490000000,29492
1721984403500000000,29621
1721984403510000000,30321
1721984403520000000,29991
1721984403530000000,29980
1721984403540000000,30249
1721984403550000000,30484
1721984403560000000,30291
1721984403570000000,30288
1721984403580000000,30384
1721984403590000000,30406
1721984403600000000,30136
1721984403610000000,30199
1721984403620000000,30503
1721984403630000000,30500
1721984403640000000,30417
1721984403650000000,31007
1721984403660000000,31128
1721984403670000000,30643
1721984403680000000,31048
1721984403690000000,31152
1721984403700000000,30912
1721984403710000000,31163
1721984403720000000,31232
1721984403730000000,31081
1721984403740000000,31387
1721984403750000000,31809
1721984403760000000,31451
1721984403770000000,31421
1721984403780000000,31617
1721984403790000000,31928
1721984403800000000,31985
1721984403810000000,31725
1721984403820000000,31814
1721984403830000000,32044
1721984403840000000,32375
1721984403850000000,32281
1721984403860000000,32277
1721984403870000000,32672
1721984403880000000,32591
1721984403890000000,32464
1721984403900000000,32734
1721984403910000000,32841
1721984403920000000,32827
1721984403930000000,33238
1721984403940000000,32864
1721984403950000000,33146
1721984403960000000,33002
1721984403970000000,33187
1721984403980000000,32998
1721984403990000000,33483
1721984404000000000,33511
1721984404010000000,33560
1721984404019999999,33341
1721984404030000000,33848
1721984404040000000,33757
1721984404050000000,33834
1721984404059999999,33967
1721984404070000000,34316
1721984404080000000,33919
1721984404090000000,34139
1721984404099999999,34513
1721984404110000000,34020
1721984404120000000,34688
1721984404130000000,34632
1721984404139999999,34512
1721984404150000000,34864
1721984404160000000,35081
1721984404170000000,35261
1721984404179999999,35792
1721984404190000000,35217
1721984404200000000,35353
1721984404210000000,35456
1721984404219999999,35601
1721984404230000000,35521
1721984404240000000,35822
1721984404250000000,36021
1721984404260000000,36366
1721984404269999999,36395
1721984404280000000,36388
1721984404290000000,36630
1721984404300000000,36609
1721984404310000000,36799
1721984404320000000,36996
1721984404330000000,37098
1721984404340000000,37812
1721984404350000000,36968
1721984404360000000,37271
1721984404370000000,37703
1721984404380000000,37441
1721984404390000000,37977
1721984404400000000,38189
1721984404410000000,37950
1721984404420000000,38335
1721984404430000000,38314
1721984404440000000,38437
1721984404450000000,38596
1721984404460000000,38679
1721984404470000000,38728
1721984404480000000,38959
1721984404490000000,39231
1721984404500000000,39436
1721984404510000000,39503
1721984404520000000,39197
1721984404530000000,39589
1721984404540000000,39516
1721984404550000000,40162
1721984404560000000,39914
1721984404570000000,40526
1721984404580000000,40355
