timestamp_ns,value_bar
1722243600000000000,0.057
1722243600010000000,0.369
1722243600020000000,0.305
1722243600030000000,0.186
1722243600040000000,0.000
1722243600050000000,0.000
1722243600060000000,0.000
1722243600070000000,0.147
1722243600080000000,0.000
1722243600090000000,0.000
1722243600100000000,0.000
1722243600110000000,0.000
1722243600120000000,0.000
1722243600130000000,0.144
1722243600140000000,0.059
1722243600150000000,0.558
1722243600160000000,0.000
1722243600170000000,0.401
1722243600180000000,0.000
1722243600190000000,0.427
1722243600200000000,0.234
1722243600210000000,0.000
1722243600220000000,0.352
1722243600230000000,0.404
1722243600240000000,0.104
1722243600250000000,0.000
1722243600260000000,0.000
1722243600270000000,0.065
1722243600280000000,0.000
1722243600290000000,0.289
1722243600300000000,0.000
1722243600310000000,0.000
1722243600320000000,0.000
1722243600330000000,0.026
1722243600340000000,0.110
1722243600350000000,0.000
1722243600360000000,0.000
1722243600370000000,0.000
1722243600380000000,0.000
1722243600390000000,0.000
1722243600400000000,0.077
1722243600410000000,0.071
1722243600420000000,0.054
1722243600430000000,0.000
1722243600440000000,0.294
1722243600450000000,0.000
1722243600460000000,0.096
1722243600470000000,0.509
1722243600480000000,0.272
1722243600490000000,0.843
1722243600500000000,0.028
1722243600510000000,0.322
1722243600520000000,0.000
1722243600530000000,0.323
1722243600540000000,0.000
1722243600550000000,0.000
1722243600560000000,0.226
1722243600570000000,0.886
1722243600580000000,0.000
1722243600590000000,0.000
1722243600600000000,0.000
1722243600610000000,0.010
1722243600620000000,0.179
1722243600630000000,0.243
1722243600640000000,0.137
1722243600650000000,0.000
1722243600660000000,0.182
1722243600670000000,0.000
1722243600680000000,0.000
1722243600690000000,0.000
1722243600700000000,0.329
1722243600710000000,0.000
1722243600720000000,0.000
1722243600730000000,0.174
1722243600740000000,0.000
1722243600750000000,0.000
1722243600760000000,0.017
1722243600770000000,0.000
1722243600780000000,0.245
1722243600790000000,0.344
1722243600800000000,0.000
1722243600810000000,0.208
1722243600820000000,0.172
1722243600830000000,0.062
1722243600840000000,0.146
1722243600850000000,0.000
1722243600860000000,0.000
1722243600870000000,0.145
1722243600880000000,0.359
1722243600890000000,0.000
1722243600900000000,0.000
1722243600910000000,0.000
1722243600920000000,0.000
1722243600930000000,0.078
1722243600940000000,0.000
1722243600950000000,0.000
1722243600960000000,0.000
1722243600970000000,0.296
1722243600980000000,0.150
1722243600990000000,0.000
1722243601000000000,0.050
1722243601010000000,0.000
1722243601020000000,0.000
1722243601030000000,0.007
1722243601040000000,0.482
1722243601050000000,0.000
1722243601060000000,0.159
1722243601070000000,0.119
1722243601080000000,0.177
1722243601090000000,0.000
1722243601100000000,0.000
1722243601110000000,0.275
1722243601120000000,0.399
1722243601130000000,0.092
1722243601140000000,0.000
1722243601150000000,0.197
1722243601160000000,0.179
1722243601170000000,0.000
1722243601180000000,0.182
1722243601190000000,0.000
1722243601200000000,0.000
1722243601210000000,0.000
1722243601220000000,0.093
1722243601230000000,0.241
1722243601240000000,0.000
1722243601250000000,0.000
1722243601260000000,0.134
1722243601270000000,0.058
1722243601280000000,0.000
1722243601290000000,0.000
1722243601300000000,0.334
1722243601310000000,0.054
1722243601320000000,0.084
1722243601330000000,0.000
1722243601340000000,0.000
1722243601350000000,0.000
1722243601360000000,0.000
1722243601370000000,0.047
1722243601380000000,0.000
1722243601390000000,0.037
1722243601400000000,0.000
1722243601410000000,0.735
1722243601420000000,0.000
1722243601430000000,0.000
1722243601440000000,0.000
1722243601450000000,0.000
1722243601460000000,0.444
1722243601470000000,0.539
1722243601480000000,0.000
1722243601490000000,0.271
1722243601500000000,0.000
1722243601510000000,0.060
1722243601520000000,0.011
1722243601530000000,0.372
1722243601540000000,0.000
1722243601550000000,0.000
1722243601560000000,0.000
1722243601570000000,0.135
1722243601580000000,0.000
1722243601590000000,0.234
1722243601600000000,0.000
1722243601610000000,0.000
1722243601620000000,0.366
1722243601630000000,0.000
1722243601640000000,0.188
1722243601650000000,0.000
1722243601660000000,0.000
1722243601670000000,0.000
1722243601680000000,0.000
1722243601690000000,0.000
1722243601700000000,0.000
1722243601710000000,0.000
1722243601720000000,0.000
1722243601730000000,0.000
1722243601740000000,0.000
1722243601750000000,0.000
1722243601760000000,0.000
1722243601770000000,0.000
1722243601780000000,0.613
1722243601790000000,0.828
1722243601800000000,0.000
1722243601810000000,0.176
1722243601820000000,0.000
1722243601830000000,0.000
1722243601840000000,0.273
1722243601850000000,0.000
1722243601860000000,0.169
1722243601870000000,0.291
1722243601880000000,0.000
1722243601890000000,0.209
1722243601900000000,0.000
1722243601910000000,0.834
1722243601920000000,0.000
1722243601930000000,0.000
1722243601940000000,0.260
1722243601950000000,0.000
1722243601960000000,0.000
1722243601970000000,0.054
1722243601980000000,0.000
1722243601990000000,0.179
1722243602000000000,0.000
1722243602009999999,0.000
1722243602020000000,0.000
1722243602029999999,1.071
1722243602040000000,1.784
1722243602049999999,2.391
1722243602060000000,1.701
1722243602069999999,2.650
1722243602080000000,3.347
1722243602089999999,1.852
1722243602100000000,2.736
1722243602109999999,3.495
1722243602120000000,3.997
1722243602130000000,4.105
1722243602140000000,3.469
1722243602150000000,4.033
1722243602160000000,4.064
1722243602170000000,5.034
1722243602180000000,4.722
1722243602190000000,4.705
1722243602200000000,5.662
1722243602210000000,6.276
1722243602220000000,7.841
1722243602230000000,7.786
1722243602240000000,7.605
1722243602250000000,8.106
1722243602260000000,8.358
1722243602270000000,8.651
1722243602280000000,7.558
1722243602290000000,8.875
1722243602300000000,9.786
1722243602310000000,10.659
1722243602320000000,9.477
1722243602330000000,10.420
1722243602340000000,9.328
1722243602350000000,10.200
1722243602360000000,9.499
1722243602370000000,10.742
1722243602380000000,10.044
1722243602390000000,11.004
1722243602400000000,10.229
1722243602410000000,12.049
1722243602420000000,11.668
1722243602430000000,11.402
1722243602440000000,11.832
1722243602450000000,12.890
1722243602460000000,12.772
1722243602470000000,14.813
1722243602480000000,11.601
1722243602490000000,14.133
1722243602500000000,14.547
1722243602510000000,14.499
1722243602520000000,14.839
1722243602530000000,15.133
1722243602540000000,14.448
1722243602550000000,15.765
1722243602560000000,16.370
1722243602570000000,17.312
1722243602580000000,16.202
1722243602590000000,16.230
1722243602600000000,16.712
1722243602610000000,16.956
1722243602620000000,16.757
1722243602630000000,18.061
