timestamp_ns,value_bar
1722243600000000000,0.367
1722243600010000000,0.049
1722243600020000000,0.000
1722243600030000000,0.265
1722243600040000000,0.000
1722243600050000000,0.000
1722243600060000000,0.000
1722243600070000000,0.000
1722243600080000000,0.102
1722243600090000000,0.522
1722243600100000000,0.000
1722243600110000000,0.000
1722243600120000000,0.000
1722243600130000000,0.485
1722243600140000000,0.403
1722243600150000000,0.324
1722243600160000000,0.321
1722243600170000000,0.000
1722243600180000000,0.000
1722243600190000000,0.000
1722243600200000000,0.108
1722243600210000000,0.000
1722243600220000000,0.536
1722243600230000000,0.170
1722243600240000000,0.335
1722243600250000000,0.000
1722243600260000000,0.000
1722243600270000000,0.031
1722243600280000000,0.000
1722243600290000000,0.421
1722243600300000000,0.000
1722243600310000000,0.166
1722243600320000000,0.126
1722243600330000000,0.000
1722243600340000000,0.000
1722243600350000000,0.327
1722243600360000000,0.000
1722243600370000000,0.000
1722243600380000000,0.000
1722243600390000000,0.000
1722243600400000000,0.000
1722243600410000000,0.078
1722243600420000000,0.230
1722243600430000000,0.018
1722243600440000000,0.194
1722243600450000000,0.000
1722243600460000000,0.166
1722243600470000000,0.186
1722243600480000000,0.000
1722243600490000000,0.000
1722243600500000000,0.000
1722243600510000000,0.000
1722243600520000000,0.401
1722243600530000000,0.025
1722243600540000000,0.290
1722243600550000000,0.000
1722243600560000000,0.316
1722243600570000000,0.284
1722243600580000000,0.000
1722243600590000000,0.017
1722243600600000000,0.000
1722243600610000000,0.000
1722243600620000000,0.142
1722243600630000000,0.791
1722243600640000000,0.000
1722243600650000000,0.436
1722243600660000000,0.000
1722243600670000000,0.000
1722243600680000000,0.000
1722243600690000000,0.000
1722243600700000000,0.142
1722243600710000000,0.000
1722243600720000000,0.497
1722243600730000000,0.080
1722243600740000000,0.220
1722243600750000000,0.583
1722243600760000000,0.108
1722243600770000000,0.000
1722243600780000000,0.000
1722243600790000000,0.301
1722243600800000000,0.166
1722243600810000000,0.066
1722243600820000000,0.147
1722243600830000000,0.000
1722243600840000000,0.157
1722243600850000000,0.156
1722243600860000000,0.191
1722243600870000000,0.467
1722243600880000000,0.000
1722243600890000000,0.000
1722243600900000000,0.000
1722243600910000000,0.000
1722243600920000000,0.394
1722243600930000000,0.000
1722243600940000000,0.000
1722243600950000000,0.174
1722243600960000000,0.416
1722243600970000000,0.371
1722243600980000000,0.000
1722243600990000000,0.000
1722243601000000000,0.000
1722243601010000000,0.000
1722243601020000000,0.000
1722243601030000000,0.402
1722243601040000000,0.096
1722243601050000000,0.044
1722243601060000000,0.785
1722243601070000000,0.574
1722243601080000000,0.173
1722243601090000000,0.000
1722243601100000000,0.294
1722243601110000000,0.268
1722243601120000000,0.000
1722243601130000000,0.180
1722243601140000000,0.000
1722243601150000000,0.000
1722243601160000000,0.000
1722243601170000000,0.000
1722243601180000000,0.000
1722243601190000000,0.332
1722243601200000000,0.159
1722243601210000000,0.400
1722243601220000000,0.000
1722243601230000000,0.025
1722243601240000000,0.000
1722243601250000000,0.000
1722243601260000000,0.000
1722243601270000000,0.488
1722243601280000000,0.534
1722243601290000000,0.013
1722243601300000000,0.741
1722243601310000000,0.000
1722243601320000000,0.000
1722243601330000000,0.075
1722243601340000000,0.229
1722243601350000000,0.210
1722243601360000000,0.000
1722243601370000000,0.354
1722243601380000000,0.557
1722243601390000000,0.000
1722243601400000000,0.000
1722243601410000000,0.000
1722243601420000000,0.098
1722243601430000000,0.350
1722243601440000000,0.323
1722243601450000000,0.010
1722243601460000000,0.000
1722243601470000000,0.000
1722243601480000000,0.000
1722243601490000000,0.000
1722243601500000000,0.588
1722243601510000000,0.120
1722243601520000000,0.399
1722243601530000000,0.000
1722243601540000000,0.000
1722243601550000000,0.000
1722243601560000000,0.000
1722243601570000000,0.000
1722243601580000000,0.000
1722243601590000000,0.078
1722243601600000000,0.356
1722243601610000000,0.087
1722243601620000000,0.000
1722243601630000000,0.720
1722243601640000000,0.120
1722243601650000000,0.000
1722243601660000000,0.000
1722243601670000000,0.000
1722243601680000000,0.000
1722243601690000000,0.283
1722243601700000000,0.000
1722243601710000000,0.179
1722243601720000000,0.483
1722243601730000000,0.000
1722243601740000000,0.061
1722243601750000000,0.661
1722243601760000000,0.222
1722243601770000000,0.132
1722243601780000000,0.325
1722243601790000000,0.767
1722243601800000000,0.640
1722243601810000000,0.522
1722243601820000000,0.000
1722243601830000000,0.558
1722243601840000000,0.154
1722243601850000000,0.000
1722243601860000000,0.446
1722243601870000000,0.000
1722243601880000000,0.000
1722243601890000000,0.200
1722243601900000000,0.067
1722243601910000000,0.000
1722243601920000000,0.079
1722243601930000000,0.676
1722243601940000000,0.000
1722243601950000000,0.000
1722243601960000000,0.000
1722243601970000000,0.000
1722243601980000000,0.000
1722243601990000000,0.000
1722243602000000000,0.000
1722243602009999999,0.000
1722243602020000000,0.000
1722243602029999999,0.711
1722243602040000000,1.238
1722243602049999999,0.000
1722243602060000000,1.176
1722243602069999999,1.507
1722243602080000000,3.071
1722243602089999999,1.863
1722243602100000000,1.544
1722243602109999999,2.677
1722243602120000000,3.860
1722243602130000000,4.722
1722243602140000000,4.783
1722243602150000000,4.175
1722243602160000000,4.563
1722243602170000000,4.023
1722243602180000000,5.254
1722243602190000000,6.246
1722243602200000000,6.040
1722243602210000000,4.149
1722243602220000000,6.986
1722243602230000000,6.137
1722243602240000000,5.750
1722243602250000000,6.041
1722243602260000000,8.028
1722243602270000000,9.453
1722243602280000000,8.950
1722243602290000000,8.049
1722243602300000000,9.076
1722243602310000000,9.841
1722243602320000000,8.457
1722243602330000000,10.533
1722243602340000000,8.845
1722243602350000000,11.048
1722243602360000000,11.115
1722243602370000000,10.217
1722243602380000000,10.770
1722243602390000000,11.186
1722243602400000000,10.422
1722243602410000000,10.473
1722243602420000000,12.116
1722243602430000000,13.440
1722243602440000000,12.516
1722243602450000000,12.862
1722243602460000000,12.546
1722243602470000000,13.098
