timestamp_ns,value_K
1722243600000000000,298.85
1722243600010000000,297.70
1722243600020000000,298.05
1722243600030000000,299.30
1722243600040000000,299.94
1722243600050000000,299.48
1722243600060000000,300.22
1722243600070000000,300.33
1722243600080000000,298.15
1722243600090000000,299.26
1722243600100000000,298.92
1722243600110000000,299.30
1722243600120000000,301.03
1722243600130000000,300.13
1722243600140000000,301.64
1722243600150000000,298.68
1722243600160000000,301.46
1722243600170000000,298.67
1722243600180000000,300.20
1722243600190000000,300.08
1722243600200000000,299.65
1722243600210000000,300.82
1722243600220000000,301.00
1722243600230000000,299.25
1722243600240000000,302.57
1722243600250000000,300.07
1722243600260000000,299.50
1722243600270000000,298.76
1722243600280000000,298.94
1722243600290000000,299.41
1722243600300000000,299.85
1722243600310000000,301.03
1722243600320000000,298.95
1722243600330000000,297.20
1722243600340000000,299.74
1722243600350000000,301.26
1722243600360000000,300.23
1722243600370000000,300.24
1722243600380000000,299.96
1722243600390000000,304.73
1722243600400000000,298.43
1722243600410000000,298.98
1722243600420000000,300.27
1722243600430000000,299.77
1722243600440000000,299.80
1722243600450000000,299.51
1722243600460000000,300.45
1722243600470000000,300.55
1722243600480000000,299.47
1722243600490000000,300.29
1722243600500000000,298.49
1722243600510000000,303.22
1722243600520000000,301.81
1722243600530000000,299.51
1722243600540000000,300.86
1722243600550000000,301.75
1722243600560000000,299.19
1722243600570000000,300.52
1722243600580000000,299.31
1722243600590000000,299.52
1722243600600000000,297.40
1722243600610000000,299.63
1722243600620000000,299.96
1722243600630000000,301.01
1722243600640000000,299.78
1722243600650000000,299.28
1722243600660000000,302.01
1722243600670000000,298.83
1722243600680000000,299.54
1722243600690000000,299.94
1722243600700000000,299.46
1722243600710000000,299.94
1722243600720000000,300.12
1722243600730000000,298.20
1722243600740000000,300.20
1722243600750000000,299.77
1722243600760000000,297.79
1722243600770000000,299.39
1722243600780000000,300.03
1722243600790000000,299.32
1722243600800000000,299.75
1722243600810000000,301.15
1722243600820000000,301.91
1722243600830000000,300.66
1722243600840000000,299.60
1722243600850000000,299.55
1722243600860000000,300.40
1722243600870000000,299.95
1722243600880000000,300.84
1722243600890000000,301.37
1722243600900000000,301.96
1722243600910000000,302.09
1722243600920000000,300.79
1722243600930000000,300.99
1722243600940000000,301.03
1722243600950000000,298.63
1722243600960000000,300.12
1722243600970000000,298.13
1722243600980000000,300.46
1722243600990000000,298.11
1722243601000000000,301.15
1722243601010000000,299.33
1722243601020000000,299.07
1722243601030000000,299.42
1722243601040000000,300.65
1722243601050000000,299.26
1722243601060000000,297.75
1722243601070000000,299.62
1722243601080000000,296.95
1722243601090000000,300.35
1722243601100000000,299.11
1722243601110000000,298.78
1722243601120000000,300.80
1722243601130000000,300.49
1722243601140000000,298.95
1722243601150000000,299.26
1722243601160000000,298.50
1722243601170000000,301.06
1722243601180000000,299.67
