timestamp_ns,value_bar
1722502800000000000,3.570
1722502800010000000,3.556
1722502800020000000,3.568
1722502800030000000,3.569
1722502800040000000,3.577
1722502800050000000,3.575
1722502800060000000,3.574
1722502800070000000,3.572
1722502800080000000,3.569
1722502800090000000,3.558
1722502800100000000,3.542
1722502800110000000,3.573
1722502800120000000,3.568
1722502800130000000,3.569
1722502800140000000,3.551
1722502800150000000,3.584
1722502800160000000,3.561
1722502800170000000,3.580
1722502800180000000,3.575
1722502800190000000,3.577
1722502800200000000,3.581
1722502800210000000,3.567
1722502800220000000,3.585
1722502800230000000,3.569
1722502800240000000,3.566
1722502800250000000,3.573
1722502800260000000,3.579
1722502800270000000,3.567
1722502800280000000,3.547
1722502800290000000,3.571
1722502800300000000,3.574
1722502800310000000,3.589
1722502800320000000,3.568
1722502800330000000,3.562
1722502800340000000,3.546
1722502800350000000,3.554
1722502800360000000,3.575
1722502800370000000,3.551
1722502800380000000,3.576
1722502800390000000,3.591
1722502800400000000,3.564
1722502800410000000,3.587
1722502800420000000,3.578
1722502800430000000,3.595
1722502800440000000,3.570
1722502800450000000,3.559
1722502800460000000,3.586
1722502800470000000,3.573
1722502800480000000,3.563
1722502800490000000,3.569
1722502800500000000,3.585
1722502800510000000,3.572
1722502800520000000,3.570
1722502800530000000,3.551
1722502800540000000,3.576
1722502800550000000,3.569
1722502800560000000,3.568
1722502800570000000,3.568
1722502800580000000,3.553
1722502800590000000,3.563
1722502800600000000,3.558
1722502800610000000,3.561
1722502800620000000,3.570
1722502800630000000,3.572
1722502800640000000,3.571
1722502800650000000,3.559
1722502800660000000,3.565
1722502800670000000,3.588
1722502800680000000,3.573
1722502800690000000,3.564
1722502800700000000,3.555
1722502800710000000,3.578
1722502800720000000,3.574
1722502800730000000,3.550
1722502800740000000,3.570
1722502800750000000,3.568
1722502800760000000,3.567
1722502800770000000,3.564
1722502800780000000,3.576
1722502800790000000,3.584
1722502800800000000,3.578
1722502800810000000,3.567
1722502800820000000,3.559
1722502800830000000,3.586
1722502800840000000,3.559
1722502800850000000,3.569
1722502800860000000,3.577
1722502800870000000,3.546
1722502800880000000,3.561
1722502800890000000,3.579
1722502800900000000,3.571
1722502800910000000,3.570
1722502800920000000,3.592
1722502800930000000,3.550
1722502800940000000,3.554
1722502800950000000,3.565
1722502800960000000,3.579
1722502800970000000,3.585
1722502800980000000,3.557
1722502800990000000,3.593
1722502801000000000,3.573
1722502801010000000,3.574
1722502801020000000,3.578
1722502801030000000,3.576
1722502801040000000,3.571
1722502801050000000,3.579
1722502801060000000,3.584
1722502801070000000,3.561
1722502801080000000,3.562
1722502801090000000,3.584
1722502801100000000,3.577
1722502801110000000,3.587
1722502801120000000,3.575
1722502801130000000,3.563
1722502801140000000,3.561
1722502801150000000,3.577
1722502801160000000,3.564
1722502801170000000,3.561
1722502801180000000,3.566
1722502801190000000,3.589
1722502801200000000,3.575
1722502801210000000,3.549
1722502801220000000,3.585
1722502801230000000,3.589
1722502801240000000,3.559
1722502801250000000,3.551
1722502801260000000,3.555
1722502801270000000,3.553
1722502801280000000,3.568
1722502801290000000,3.556
1722502801300000000,3.578
1722502801310000000,3.569
1722502801320000000,3.574
1722502801330000000,3.590
1722502801340000000,3.568
1722502801350000000,3.556
1722502801360000000,3.577
1722502801370000000,3.575
1722502801380000000,3.550
1722502801390000000,3.558
1722502801400000000,3.571
1722502801410000000,3.593
1722502801420000000,3.567
1722502801430000000,3.576
1722502801440000000,3.558
1722502801450000000,3.579
1722502801460000000,3.586
1722502801470000000,3.572
1722502801480000000,3.569
1722502801490000000,3.561
1722502801500000000,3.570
1722502801510000000,3.546
1722502801520000000,3.589
1722502801530000000,3.585
1722502801540000000,3.591
1722502801550000000,3.571
1722502801560000000,3.606
1722502801570000000,3.578
1722502801580000000,3.581
1722502801590000000,3.560
1722502801600000000,3.539
1722502801610000000,3.578
1722502801620000000,3.579
1722502801630000000,3.587
1722502801640000000,3.571
1722502801650000000,3.570
1722502801660000000,3.564
1722502801670000000,3.561
1722502801680000000,3.544
1722502801690000000,3.573
1722502801700000000,3.557
1722502801710000000,3.568
1722502801720000000,3.566
1722502801730000000,3.568
1722502801740000000,3.575
1722502801750000000,3.580
1722502801760000000,3.568
1722502801770000000,3.565
1722502801780000000,3.571
1722502801790000000,3.564
1722502801800000000,3.537
1722502801810000000,3.568
1722502801820000000,3.578
1722502801830000000,3.554
1722502801840000000,3.587
1722502801850000000,3.579
1722502801860000000,3.563
1722502801870000000,3.581
1722502801880000000,3.566
1722502801890000000,3.569
1722502801900000000,3.595
1722502801910000000,3.568
1722502801920000000,3.582
1722502801930000000,3.545
1722502801940000000,3.574
1722502801950000000,3.570
1722502801960000000,3.581
1722502801970000000,3.569
1722502801980000000,3.577
1722502801990000000,3.580
1722502802000000000,4.224
1722502802009999999,4.274
1722502802020000000,4.137
1722502802029999999,4.179
1722502802040000000,4.158
1722502802049999999,4.207
1722502802060000000,4.213
1722502802069999999,4.197
1722502802080000000,4.151
1722502802089999999,4.269
1722502802100000000,4.215
1722502802109999999,4.175
1722502802120000000,4.220
1722502802130000000,4.236
1722502802140000000,4.157
1722502802150000000,4.210
1722502802160000000,4.207
1722502802170000000,4.257
1722502802180000000,4.250
1722502802190000000,4.199
1722502802200000000,4.134
1722502802210000000,4.147
1722502802220000000,4.191
1722502802230000000,4.183
1722502802240000000,4.160
1722502802250000000,4.214
1722502802260000000,4.163
1722502802270000000,4.233
1722502802280000000,4.208
1722502802290000000,4.171
1722502802300000000,4.205
1722502802310000000,4.218
1722502802320000000,4.242
1722502802330000000,4.164
1722502802340000000,4.189
1722502802350000000,4.193
1722502802360000000,4.199
1722502802370000000,4.221
1722502802380000000,4.223
1722502802390000000,4.167
1722502802400000000,4.199
1722502802410000000,4.245
1722502802420000000,4.272
1722502802430000000,4.198
1722502802440000000,4.213
1722502802450000000,4.216
1722502802460000000,4.242
1722502802470000000,4.238
1722502802480000000,4.204
1722502802490000000,4.199
1722502802500000000,4.203
1722502802510000000,4.160
1722502802520000000,4.260
1722502802530000000,4.201
1722502802540000000,4.182
1722502802550000000,4.169
1722502802560000000,4.248
1722502802570000000,4.193
1722502802580000000,4.170
1722502802590000000,4.146
1722502802600000000,4.208
1722502802610000000,4.187
1722502802620000000,4.184
1722502802630000000,4.209
1722502802640000000,4.221
1722502802650000000,4.214
1722502802660000000,4.167
1722502802670000000,4.191
1722502802680000000,4.268
1722502802690000000,4.158
1722502802700000000,4.238
1722502802710000000,4.181
1722502802720000000,4.209
1722502802730000000,4.169
1722502802740000000,4.139
1722502802750000000,4.168
1722502802760000000,4.238
1722502802770000000,4.203
1722502802780000000,4.213
1722502802790000000,4.169
1722502802800000000,4.198
1722502802810000000,4.194
1722502802820000000,4.215
1722502802830000000,4.228
1722502802840000000,4.183
1722502802850000000,4.157
1722502802860000000,4.180
1722502802870000000,4.147
1722502802880000000,4.233
1722502802890000000,4.206
1722502802900000000,4.188
1722502802910000000,4.228
1722502802920000000,4.187
1722502802930000000,4.187
1722502802940000000,4.204
1722502802950000000,4.184
1722502802960000000,4.194
1722502802970000000,4.123
1722502802980000000,4.196
1722502802990000000,4.176
1722502803000000000,4.241
1722502803010000000,4.215
1722502803020000000,4.197
1722502803030000000,4.219
1722502803040000000,4.255
1722502803050000000,4.230
1722502803060000000,4.251
1722502803070000000,4.158
1722502803080000000,4.222
1722502803090000000,4.231
1722502803100000000,4.222
1722502803110000000,4.114
1722502803120000000,4.232
1722502803130000000,4.190
1722502803140000000,4.215
1722502803150000000,4.215
1722502803160000000,4.221
1722502803170000000,4.138
1722502803180000000,4.212
1722502803190000000,4.234
1722502803200000000,4.185
1722502803210000000,4.192
1722502803220000000,4.158
1722502803230000000,4.200
1722502803240000000,4.204
1722502803250000000,4.195
1722502803260000000,4.183
1722502803270000000,4.141
1722502803280000000,4.235
1722502803290000000,4.152
1722502803300000000,4.192
1722502803310000000,4.142
1722502803320000000,4.181
1722502803330000000,4.147
1722502803340000000,4.173
1722502803350000000,4.190
1722502803360000000,4.194
1722502803370000000,4.209
1722502803380000000,4.186
1722502803390000000,4.177
1722502803400000000,4.179
1722502803410000000,4.219
1722502803420000000,4.182
1722502803430000000,4.201
1722502803440000000,4.176
1722502803450000000,4.132
1722502803460000000,4.205
1722502803470000000,4.157
1722502803480000000,4.240
1722502803490000000,4.172
1722502803500000000,4.217
1722502803510000000,4.177
