timestamp_ns,value_ustrain
1722502800000000000,2.498
1722502800010000000,0.990
1722502800020000000,-3.772
1722502800030000000,2.094
1722502800040000000,5.173
1722502800050000000,-5.707
1722502800060000000,-5.879
1722502800070000000,1.816
1722502800080000000,-0.482
1722502800090000000,-0.907
1722502800100000000,1.670
1722502800110000000,1.211
1722502800120000000,-0.583
1722502800130000000,-4.794
1722502800140000000,-2.220
1722502800150000000,-2.354
1722502800160000000,-1.745
1722502800170000000,-1.868
1722502800180000000,-2.515
1722502800190000000,-0.823
1722502800200000000,1.955
1722502800210000000,-6.436
1722502800220000000,2.190
1722502800230000000,-4.172
1722502800240000000,2.202
1722502800250000000,-3.140
1722502800260000000,-1.869
1722502800270000000,-2.903
1722502800280000000,1.785
1722502800290000000,-1.662
1722502800300000000,-1.022
1722502800310000000,-0.255
1722502800320000000,-0.323
1722502800330000000,-1.814
1722502800340000000,-2.841
1722502800350000000,1.309
1722502800360000000,2.707
1722502800370000000,8.599
1722502800380000000,1.260
1722502800390000000,0.498
1722502800400000000,-3.564
1722502800410000000,-1.066
1722502800420000000,1.842
1722502800430000000,6.408
1722502800440000000,1.530
1722502800450000000,-2.504
1722502800460000000,1.382
1722502800470000000,3.616
1722502800480000000,-5.679
1722502800490000000,2.337
1722502800500000000,-0.465
1722502800510000000,-0.064
1722502800520000000,2.370
1722502800530000000,-4.611
1722502800540000000,-2.457
1722502800550000000,0.775
1722502800560000000,2.088
1722502800570000000,-0.573
1722502800580000000,-0.275
1722502800590000000,3.049
1722502800600000000,2.813
1722502800610000000,5.631
1722502800620000000,-4.793
1722502800630000000,1.292
1722502800640000000,0.495
1722502800650000000,-0.862
1722502800660000000,-1.387
1722502800670000000,-2.741
1722502800680000000,0.531
1722502800690000000,-5.102
1722502800700000000,-3.377
1722502800710000000,-5.948
1722502800720000000,0.890
1722502800730000000,2.773
1722502800740000000,3.498
1722502800750000000,-2.646
1722502800760000000,-1.810
1722502800770000000,-0.452
1722502800780000000,1.342
1722502800790000000,3.129
1722502800800000000,7.429
1722502800810000000,-2.255
1722502800820000000,-4.807
1722502800830000000,-1.053
1722502800840000000,-2.347
1722502800850000000,5.035
1722502800860000000,-0.286
1722502800870000000,-0.181
1722502800880000000,0.391
1722502800890000000,2.702
1722502800900000000,0.137
1722502800910000000,2.354
1722502800920000000,-0.644
1722502800930000000,-2.087
1722502800940000000,1.256
1722502800950000000,-2.619
1722502800960000000,-0.343
1722502800970000000,0.265
1722502800980000000,0.661
1722502800990000000,0.369
1722502801000000000,-0.891
1722502801010000000,0.834
1722502801020000000,0.478
1722502801030000000,-1.202
1722502801040000000,-2.192
1722502801050000000,0.423
1722502801060000000,-1.160
1722502801070000000,2.878
1722502801080000000,-0.598
1722502801090000000,-1.247
1722502801100000000,1.151
1722502801110000000,-3.538
1722502801120000000,0.974
1722502801130000000,3.113
1722502801140000000,-1.581
1722502801150000000,2.601
1722502801160000000,0.750
1722502801170000000,-2.608
1722502801180000000,1.652
1722502801190000000,0.751
1722502801200000000,0.169
1722502801210000000,-0.691
1722502801220000000,1.047
1722502801230000000,-2.239
1722502801240000000,0.268
1722502801250000000,6.386
1722502801260000000,2.124
1722502801270000000,-0.215
1722502801280000000,2.251
1722502801290000000,2.621
1722502801300000000,2.298
1722502801310000000,-1.464
1722502801320000000,-0.504
1722502801330000000,-0.874
1722502801340000000,0.304
1722502801350000000,3.482
1722502801360000000,4.764
1722502801370000000,-0.734
1722502801380000000,-1.165
1722502801390000000,-3.022
1722502801400000000,-3.332
1722502801410000000,-1.481
1722502801420000000,1.935
1722502801430000000,-1.980
1722502801440000000,-3.011
1722502801450000000,4.345
1722502801460000000,8.307
1722502801470000000,-0.647
1722502801480000000,3.313
1722502801490000000,1.778
1722502801500000000,4.353
1722502801510000000,1.410
1722502801520000000,-2.523
1722502801530000000,2.767
1722502801540000000,-1.483
1722502801550000000,1.807
1722502801560000000,0.931
1722502801570000000,2.380
1722502801580000000,1.358
1722502801590000000,-1.506
1722502801600000000,4.232
1722502801610000000,-1.383
1722502801620000000,-2.287
1722502801630000000,1.357
1722502801640000000,-0.284
1722502801650000000,-0.215
1722502801660000000,-2.558
1722502801670000000,-2.068
1722502801680000000,0.447
1722502801690000000,1.631
1722502801700000000,-5.872
1722502801710000000,2.178
1722502801720000000,0.385
1722502801730000000,-1.803
1722502801740000000,-0.900
1722502801750000000,-0.629
1722502801760000000,-0.820
1722502801770000000,0.858
1722502801780000000,-0.692
1722502801790000000,4.672
1722502801800000000,0.714
1722502801810000000,-5.297
1722502801820000000,-3.836
1722502801830000000,0.306
1722502801840000000,-1.157
1722502801850000000,-0.813
1722502801860000000,-4.126
1722502801870000000,-3.255
1722502801880000000,-2.620
1722502801890000000,4.566
1722502801900000000,0.954
1722502801910000000,1.560
1722502801920000000,1.645
1722502801930000000,-5.678
1722502801940000000,1.488
1722502801950000000,-1.998
1722502801960000000,-1.617
1722502801970000000,0.650
1722502801980000000,-3.410
1722502801990000000,-2.901
1722502802000000000,-5.638
1722502802009999999,11.436
1722502802020000000,3.575
1722502802029999999,15.847
1722502802040000000,19.700
1722502802049999999,10.466
1722502802060000000,4.336
1722502802069999999,11.768
1722502802080000000,15.239
1722502802089999999,8.872
1722502802100000000,3.520
1722502802109999999,8.076
1722502802120000000,2.851
1722502802130000000,23.869
1722502802140000000,18.634
1722502802150000000,21.100
1722502802160000000,20.720
1722502802170000000,30.823
1722502802180000000,16.721
1722502802190000000,27.628
1722502802200000000,18.337
1722502802210000000,23.837
1722502802220000000,28.266
1722502802230000000,29.881
1722502802240000000,25.336
1722502802250000000,35.526
1722502802260000000,27.564
1722502802270000000,49.808
1722502802280000000,20.644
1722502802290000000,47.318
1722502802300000000,53.680
1722502802310000000,44.763
1722502802320000000,43.161
1722502802330000000,36.173
1722502802340000000,35.449
1722502802350000000,52.824
1722502802360000000,63.764
1722502802370000000,55.468
1722502802380000000,49.027
1722502802390000000,53.621
1722502802400000000,43.584
1722502802410000000,46.704
1722502802420000000,68.394
1722502802430000000,66.908
1722502802440000000,47.105
1722502802450000000,64.017
1722502802460000000,64.828
1722502802470000000,68.226
1722502802480000000,63.968
1722502802490000000,67.921
1722502802500000000,75.814
1722502802510000000,59.840
1722502802520000000,69.251
1722502802530000000,81.612
1722502802540000000,76.425
1722502802550000000,76.048
1722502802560000000,75.287
1722502802570000000,80.438
1722502802580000000,62.855
1722502802590000000,71.181
1722502802600000000,85.583
1722502802610000000,90.507
1722502802620000000,84.788
1722502802630000000,88.425
1722502802640000000,90.410
1722502802650000000,97.041
1722502802660000000,86.292
1722502802670000000,85.329
1722502802680000000,88.701
1722502802690000000,98.682
1722502802700000000,95.409
1722502802710000000,102.596
1722502802720000000,100.820
1722502802730000000,99.719
1722502802740000000,104.670
1722502802750000000,92.401
1722502802760000000,107.245
1722502802770000000,105.888
1722502802780000000,116.418
1722502802790000000,102.744
1722502802800000000,115.306
1722502802810000000,102.620
1722502802820000000,117.860
1722502802830000000,119.468
1722502802840000000,112.879
1722502802850000000,117.927
1722502802860000000,110.861
1722502802870000000,110.337
1722502802880000000,109.798
1722502802890000000,115.058
1722502802900000000,119.179
1722502802910000000,116.830
1722502802920000000,123.387
1722502802930000000,125.716
1722502802940000000,119.636
1722502802950000000,118.339
1722502802960000000,134.871
1722502802970000000,122.581
1722502802980000000,150.770
