timestamp_ns,value_K
1722502800000000000,300.19
1722502800010000000,298.61
1722502800020000000,299.09
1722502800030000000,299.06
1722502800040000000,298.13
1722502800050000000,298.92
1722502800060000000,300.44
1722502800070000000,300.15
1722502800080000000,300.36
1722502800090000000,299.16
1722502800100000000,298.01
1722502800110000000,299.65
1722502800120000000,299.18
1722502800130000000,300.49
1722502800140000000,297.15
1722502800150000000,301.45
1722502800160000000,301.33
1722502800170000000,300.13
1722502800180000000,302.20
1722502800190000000,302.97
1722502800200000000,299.48
1722502800210000000,299.60
1722502800220000000,300.91
1722502800230000000,301.04
1722502800240000000,297.31
1722502800250000000,300.74
1722502800260000000,301.60
1722502800270000000,300.46
1722502800280000000,300.61
1722502800290000000,301.12
1722502800300000000,299.85
1722502800310000000,300.71
1722502800320000000,299.56
1722502800330000000,298.91
1722502800340000000,299.22
1722502800350000000,298.50
1722502800360000000,300.52
1722502800370000000,301.30
1722502800380000000,300.94
1722502800390000000,302.63
1722502800400000000,300.35
1722502800410000000,299.95
1722502800420000000,299.47
1722502800430000000,299.57
1722502800440000000,299.15
1722502800450000000,300.71
1722502800460000000,301.93
1722502800470000000,300.22
1722502800480000000,301.03
1722502800490000000,298.66
1722502800500000000,298.75
1722502800510000000,295.56
1722502800520000000,300.23
1722502800530000000,300.22
1722502800540000000,301.63
1722502800550000000,301.21
1722502800560000000,297.11
1722502800570000000,297.47
1722502800580000000,298.83
1722502800590000000,298.87
1722502800600000000,299.15
1722502800610000000,296.70
1722502800620000000,300.80
1722502800630000000,300.48
1722502800640000000,302.64
1722502800650000000,301.78
1722502800660000000,298.97
1722502800670000000,299.22
1722502800680000000,299.97
1722502800690000000,301.74
1722502800700000000,299.41
1722502800710000000,297.21
1722502800720000000,301.57
1722502800730000000,299.32
1722502800740000000,302.79
1722502800750000000,300.20
1722502800760000000,302.12
1722502800770000000,297.09
1722502800780000000,297.28
1722502800790000000,301.11
1722502800800000000,298.91
1722502800810000000,297.06
1722502800820000000,299.41
1722502800830000000,300.54
1722502800840000000,299.08
1722502800850000000,298.03
1722502800860000000,301.42
1722502800870000000,299.07
1722502800880000000,299.55
1722502800890000000,299.59
1722502800900000000,299.93
1722502800910000000,298.69
1722502800920000000,300.09
1722502800930000000,301.07
1722502800940000000,300.46
1722502800950000000,296.57
1722502800960000000,301.16
1722502800970000000,299.00
1722502800980000000,298.24
1722502800990000000,298.38
1722502801000000000,296.88
1722502801010000000,299.61
1722502801020000000,298.51
1722502801030000000,299.18
1722502801040000000,299.04
1722502801050000000,298.30
1722502801060000000,298.95
1722502801070000000,302.62
1722502801080000000,300.48
1722502801090000000,298.33
1722502801100000000,300.85
1722502801110000000,297.36
1722502801120000000,298.87
1722502801130000000,299.37
1722502801140000000,302.04
1722502801150000000,302.63
1722502801160000000,301.72
1722502801170000000,300.96
1722502801180000000,297.92
1722502801190000000,300.95
1722502801200000000,299.76
1722502801210000000,300.72
1722502801220000000,297.83
1722502801230000000,298.32
1722502801240000000,300.18
1722502801250000000,298.83
1722502801260000000,300.47
1722502801270000000,300.72
1722502801280000000,301.56
1722502801290000000,300.06
1722502801300000000,299.81
1722502801310000000,299.06
1722502801320000000,300.07
1722502801330000000,303.22
1722502801340000000,299.21
1722502801350000000,299.84
1722502801360000000,300.30
1722502801370000000,301.45
1722502801380000000,300.10
1722502801390000000,298.72
1722502801400000000,301.10
1722502801410000000,298.88
1722502801420000000,302.66
1722502801430000000,299.10
1722502801440000000,299.48
1722502801450000000,300.27
1722502801460000000,299.62
1722502801470000000,302.05
1722502801480000000,300.12
1722502801490000000,299.68
1722502801500000000,299.63
1722502801510000000,303.64
1722502801520000000,297.92
1722502801530000000,297.98
1722502801540000000,301.27
1722502801550000000,300.26
1722502801560000000,300.82
1722502801570000000,301.05
1722502801580000000,300.47
1722502801590000000,298.14
1722502801600000000,300.04
1722502801610000000,301.66
1722502801620000000,299.86
1722502801630000000,299.88
1722502801640000000,302.20
1722502801650000000,302.46
1722502801660000000,300.58
1722502801670000000,297.72
1722502801680000000,302.70
1722502801690000000,299.14
1722502801700000000,300.61
1722502801710000000,302.49
1722502801720000000,300.52
1722502801730000000,298.26
1722502801740000000,300.10
1722502801750000000,300.92
1722502801760000000,300.29
1722502801770000000,299.12
1722502801780000000,300.93
1722502801790000000,305.31
1722502801800000000,299.73
1722502801810000000,300.66
1722502801820000000,302.00
1722502801830000000,298.51
1722502801840000000,300.03
1722502801850000000,300.26
1722502801860000000,297.83
1722502801870000000,298.92
1722502801880000000,301.32
1722502801890000000,301.85
1722502801900000000,298.05
1722502801910000000,300.02
1722502801920000000,299.98
1722502801930000000,301.84
1722502801940000000,300.49
1722502801950000000,300.10
1722502801960000000,300.11
1722502801970000000,299.04
1722502801980000000,297.83
1722502801990000000,301.24
1722502802000000000,296.17
1722502802009999999,300.67
1722502802020000000,298.86
1722502802029999999,310.38
1722502802040000000,307.73
1722502802049999999,308.18
1722502802060000000,298.63
1722502802069999999,306.51
1722502802080000000,307.87
1722502802089999999,303.33
1722502802100000000,307.47
1722502802109999999,303.18
1722502802120000000,308.22
1722502802130000000,306.93
1722502802140000000,309.77
1722502802150000000,306.21
1722502802160000000,304.14
1722502802170000000,309.31
1722502802180000000,311.64
1722502802190000000,313.11
1722502802200000000,316.96
1722502802210000000,310.74
1722502802220000000,315.17
1722502802230000000,311.24
1722502802240000000,310.75
1722502802250000000,311.86
1722502802260000000,312.52
1722502802270000000,306.99
1722502802280000000,314.38
1722502802290000000,316.48
1722502802300000000,308.35
1722502802310000000,322.77
1722502802320000000,306.80
1722502802330000000,321.43
1722502802340000000,321.82
1722502802350000000,320.54
1722502802360000000,319.01
1722502802370000000,322.17
1722502802380000000,316.08
1722502802390000000,317.52
1722502802400000000,315.25
1722502802410000000,326.07
1722502802420000000,320.52
1722502802430000000,318.44
1722502802440000000,322.90
1722502802450000000,323.92
1722502802460000000,325.39
1722502802470000000,327.17
1722502802480000000,324.14
1722502802490000000,320.20
1722502802500000000,333.22
1722502802510000000,325.41
1722502802520000000,328.58
1722502802530000000,325.53
1722502802540000000,325.52
1722502802550000000,325.18
1722502802560000000,330.68
1722502802570000000,329.80
1722502802580000000,324.48
1722502802590000000,327.22
1722502802600000000,332.44
1722502802610000000,321.66
1722502802620000000,335.03
1722502802630000000,334.80
1722502802640000000,333.73
1722502802650000000,332.57
1722502802660000000,330.82
1722502802670000000,336.13
1722502802680000000,339.83
1722502802690000000,333.81
1722502802700000000,339.33
1722502802710000000,338.37
1722502802720000000,327.34
1722502802730000000,339.82
1722502802740000000,334.18
1722502802750000000,328.32
1722502802760000000,338.54
1722502802770000000,334.58
1722502802780000000,339.68
1722502802790000000,340.46
1722502802800000000,331.50
1722502802810000000,331.85
1722502802820000000,342.80
1722502802830000000,340.05
1722502802840000000,341.15
1722502802850000000,342.91
1722502802860000000,340.04
1722502802870000000,339.29
1722502802880000000,344.97
1722502802890000000,334.86
1722502802900000000,345.46
1722502802910000000,336.27
1722502802920000000,338.99
1722502802930000000,346.22
1722502802940000000,347.14
1722502802950000000,345.69
1722502802960000000,343.72
1722502802970000000,343.95
1722502802980000000,351.94
