timestamp_ns,value_K
1722762000000000000,300.43
1722762000010000000,300.49
1722762000020000000,300.27
1722762000030000000,299.87
1722762000040000000,299.80
1722762000050000000,300.87
1722762000060000000,299.99
1722762000070000000,300.65
1722762000080000000,299.99
1722762000090000000,299.81
1722762000100000000,299.46
1722762000110000000,299.87
1722762000120000000,299.70
1722762000130000000,299.86
1722762000140000000,300.05
1722762000150000000,299.54
1722762000160000000,299.28
1722762000170000000,299.48
1722762000180000000,299.61
1722762000190000000,299.42
1722762000200000000,300.05
1722762000210000000,300.83
1722762000220000000,300.12
1722762000230000000,300.42
1722762000240000000,299.87
1722762000250000000,299.89
1722762000260000000,300.17
1722762000270000000,300.05
1722762000280000000,300.50
1722762000290000000,300.07
1722762000300000000,299.96
1722762000310000000,300.12
1722762000320000000,300.08
1722762000330000000,299.71
1722762000340000000,299.19
1722762000350000000,299.91
1722762000360000000,299.82
1722762000370000000,300.25
1722762000380000000,299.70
1722762000390000000,300.17
1722762000400000000,300.47
1722762000410000000,299.66
1722762000420000000,300.06
1722762000430000000,300.16
1722762000440000000,299.54
1722762000450000000,299.66
1722762000460000000,300.03
1722762000470000000,300.06
1722762000480000000,300.38
1722762000490000000,300.46
1722762000500000000,300.17
1722762000510000000,299.83
1722762000520000000,300.38
1722762000530000000,300.34
1722762000540000000,300.04
1722762000550000000,300.26
1722762000560000000,299.73
1722762000570000000,299.73
1722762000580000000,300.21
1722762000590000000,300.53
1722762000600000000,299.65
1722762000610000000,300.81
1722762000620000000,300.18
1722762000630000000,300.48
1722762000640000000,299.49
1722762000650000000,298.58
1722762000660000000,300.06
1722762000670000000,299.46
1722762000680000000,300.21
1722762000690000000,300.05
1722762000700000000,298.97
1722762000710000000,299.83
1722762000720000000,299.82
1722762000730000000,299.58
1722762000740000000,300.07
1722762000750000000,300.25
1722762000760000000,299.28
1722762000770000000,299.71
1722762000780000000,299.85
1722762000790000000,300.07
1722762000800000000,298.84
1722762000810000000,300.70
1722762000820000000,300.16
1722762000830000000,299.85
1722762000840000000,300.22
1722762000850000000,299.92
1722762000860000000,299.13
1722762000870000000,299.58
1722762000880000000,298.97
1722762000890000000,299.91
1722762000900000000,299.94
1722762000910000000,299.69
1722762000920000000,300.64
1722762000930000000,300.22
1722762000940000000,300.12
1722762000950000000,299.66
1722762000960000000,299.93
1722762000970000000,300.63
1722762000980000000,300.21
1722762000990000000,300.51
