timestamp_ns,value_K
1722762000000000000,309.44
1722762000010000000,293.54
1722762000020000000,299.64
1722762000030000000,296.40
1722762000040000000,301.96
1722762000050000000,297.73
1722762000060000000,299.46
1722762000070000000,301.25
1722762000080000000,298.62
1722762000090000000,305.24
1722762000100000000,301.18
1722762000110000000,304.03
1722762000120000000,299.07
1722762000130000000,299.34
1722762000140000000,301.91
1722762000150000000,306.48
1722762000160000000,294.60
1722762000170000000,300.00
1722762000180000000,304.30
1722762000190000000,298.94
1722762000200000000,299.85
1722762000210000000,302.06
1722762000220000000,303.22
1722762000230000000,301.97
1722762000240000000,297.46
1722762000250000000,289.71
1722762000260000000,292.38
1722762000270000000,296.89
1722762000280000000,295.95
1722762000290000000,287.72
1722762000300000000,298.82
1722762000310000000,298.16
1722762000320000000,307.57
1722762000330000000,297.66
1722762000340000000,303.37
1722762000350000000,302.29
1722762000360000000,304.16
1722762000370000000,296.54
1722762000380000000,302.99
1722762000390000000,290.58
1722762000400000000,302.43
1722762000410000000,300.51
1722762000420000000,296.05
1722762000430000000,294.01
1722762000440000000,298.63
1722762000450000000,294.79
1722762000460000000,302.90
1722762000470000000,298.61
1722762000480000000,297.28
1722762000490000000,304.91
1722762000500000000,302.66
1722762000510000000,301.46
1722762000520000000,294.44
1722762000530000000,301.70
1722762000540000000,300.89
1722762000550000000,306.71
1722762000560000000,295.51
1722762000570000000,303.02
1722762000580000000,299.29
1722762000590000000,297.85
1722762000600000000,303.22
1722762000610000000,309.53
1722762000620000000,295.88
1722762000630000000,305.26
1722762000640000000,302.48
1722762000650000000,299.29
1722762000660000000,298.79
1722762000670000000,293.89
1722762000680000000,291.98
1722762000690000000,295.72
1722762000700000000,296.78
1722762000710000000,294.66
1722762000720000000,297.20
1722762000730000000,303.73
1722762000740000000,299.78
1722762000750000000,297.48
1722762000760000000,295.65
1722762000770000000,300.49
1722762000780000000,299.78
1722762000790000000,301.77
1722762000800000000,307.79
1722762000810000000,305.21
1722762000820000000,303.57
1722762000830000000,300.95
1722762000840000000,303.52
1722762000850000000,301.53
1722762000860000000,298.24
1722762000870000000,303.77
1722762000880000000,293.62
1722762000890000000,295.64
1722762000900000000,295.55
1722762000910000000,294.76
1722762000920000000,303.35
1722762000930000000,299.99
1722762000940000000,300.66
1722762000950000000,299.40
1722762000960000000,303.52
1722762000970000000,302.14
1722762000980000000,305.44
1722762000990000000,294.59
1722762001000000000,296.52
1722762001010000000,301.76
1722762001020000000,299.42
1722762001030000000,298.86
1722762001040000000,303.88
1722762001050000000,298.38
1722762001060000000,292.71
1722762001070000000,297.07
1722762001080000000,308.85
1722762001090000000,300.30
1722762001100000000,298.67
1722762001110000000,298.69
1722762001120000000,310.52
1722762001130000000,296.56
1722762001140000000,292.02
