timestamp_ns,value_bar
1723539600000000000,0.172
1723539600010000000,0.468
1723539600020000000,0.000
1723539600030000000,0.072
1723539600040000000,0.217
1723539600050000000,0.000
1723539600060000000,0.012
1723539600070000000,0.232
1723539600080000000,0.305
1723539600090000000,0.616
1723539600100000000,0.000
1723539600110000000,0.000
1723539600120000000,0.089
1723539600130000000,0.229
1723539600140000000,0.000
1723539600150000000,0.000
1723539600160000000,0.000
1723539600170000000,0.000
1723539600180000000,0.016
1723539600190000000,0.176
1723539600200000000,0.169
1723539600210000000,0.083
1723539600220000000,0.000
1723539600230000000,0.000
1723539600240000000,0.279
1723539600250000000,0.000
1723539600260000000,0.000
1723539600270000000,0.312
1723539600280000000,0.000
1723539600290000000,0.257
1723539600300000000,0.474
1723539600310000000,0.389
1723539600320000000,0.187
1723539600330000000,0.000
1723539600340000000,0.073
1723539600350000000,0.000
1723539600360000000,0.025
1723539600370000000,0.426
1723539600380000000,0.000
1723539600390000000,0.313
1723539600400000000,0.000
1723539600410000000,0.000
1723539600420000000,0.000
1723539600430000000,0.363
1723539600440000000,0.000
1723539600450000000,0.470
1723539600460000000,0.000
1723539600470000000,0.000
1723539600480000000,0.000
1723539600490000000,0.201
1723539600500000000,0.001
1723539600510000000,0.023
1723539600520000000,0.000
1723539600530000000,0.000
1723539600540000000,0.020
1723539600550000000,0.000
1723539600560000000,0.000
1723539600570000000,0.000
1723539600580000000,0.000
1723539600590000000,0.000
1723539600600000000,0.028
1723539600610000000,0.000
1723539600620000000,0.000
1723539600630000000,0.000
1723539600640000000,0.000
1723539600650000000,0.360
1723539600660000000,0.135
1723539600670000000,0.406
1723539600680000000,0.372
1723539600690000000,0.074
1723539600700000000,0.460
1723539600710000000,0.238
1723539600720000000,0.000
1723539600730000000,0.313
1723539600740000000,0.171
1723539600750000000,0.495
1723539600760000000,0.086
1723539600770000000,0.103
1723539600780000000,0.000
1723539600790000000,0.000
1723539600800000000,0.424
1723539600810000000,0.168
1723539600820000000,0.000
1723539600830000000,0.111
1723539600840000000,0.000
1723539600850000000,0.103
1723539600860000000,0.000
1723539600870000000,0.000
1723539600880000000,0.000
1723539600890000000,0.000
1723539600900000000,0.247
1723539600910000000,0.000
1723539600920000000,0.144
1723539600930000000,0.052
1723539600940000000,0.410
1723539600950000000,0.180
1723539600960000000,0.399
1723539600970000000,0.522
1723539600980000000,0.086
1723539600990000000,0.211
1723539601000000000,0.567
1723539601010000000,0.000
1723539601020000000,0.000
1723539601030000000,0.148
1723539601040000000,0.162
1723539601050000000,0.437
1723539601060000000,0.011
1723539601070000000,0.000
1723539601080000000,0.211
1723539601090000000,0.186
1723539601100000000,0.382
1723539601110000000,0.031
1723539601120000000,0.000
1723539601130000000,0.000
1723539601140000000,0.000
1723539601150000000,0.266
1723539601160000000,0.000
1723539601170000000,0.000
1723539601180000000,0.000
1723539601190000000,0.179
1723539601200000000,0.264
1723539601210000000,0.286
1723539601220000000,0.078
1723539601230000000,0.121
1723539601240000000,0.000
1723539601250000000,0.000
1723539601260000000,0.119
1723539601270000000,0.228
1723539601280000000,0.256
1723539601290000000,0.000
1723539601300000000,0.000
1723539601310000000,0.141
1723539601320000000,0.126
1723539601330000000,0.272
1723539601340000000,0.093
1723539601350000000,0.000
1723539601360000000,0.000
1723539601370000000,0.435
1723539601380000000,0.000
1723539601390000000,0.000
1723539601400000000,0.000
1723539601410000000,0.188
1723539601420000000,0.148
1723539601430000000,0.000
1723539601440000000,0.000
1723539601450000000,0.138
1723539601460000000,0.108
1723539601470000000,0.100
1723539601480000000,0.398
1723539601490000000,0.015
1723539601500000000,0.000
1723539601510000000,0.000
1723539601520000000,0.073
1723539601530000000,0.000
1723539601540000000,0.000
1723539601550000000,0.000
1723539601560000000,0.000
1723539601570000000,0.046
1723539601580000000,0.107
1723539601590000000,0.345
1723539601600000000,0.000
1723539601610000000,0.000
1723539601620000000,0.000
1723539601630000000,0.188
1723539601640000000,0.000
1723539601650000000,0.171
1723539601660000000,0.101
1723539601670000000,0.308
1723539601680000000,0.347
1723539601690000000,0.000
1723539601700000000,0.396
1723539601710000000,0.000
1723539601720000000,0.000
1723539601730000000,0.000
1723539601740000000,0.000
1723539601750000000,0.000
1723539601760000000,0.151
1723539601770000000,0.000
1723539601780000000,0.000
1723539601790000000,0.000
1723539601800000000,0.000
1723539601810000000,0.000
1723539601820000000,0.000
1723539601830000000,0.028
1723539601840000000,0.123
1723539601850000000,0.000
1723539601860000000,0.072
1723539601870000000,0.000
1723539601880000000,0.000
1723539601890000000,0.000
1723539601900000000,0.300
1723539601910000000,0.444
1723539601920000000,0.000
1723539601930000000,0.362
1723539601940000000,0.000
1723539601950000000,0.000
1723539601960000000,0.214
1723539601970000000,0.000
1723539601980000000,0.000
1723539601990000000,0.000
1723539602000000000,0.000
1723539602009999999,0.535
1723539602020000000,0.057
1723539602029999999,0.900
1723539602040000000,0.683
1723539602049999999,1.675
1723539602060000000,2.944
1723539602069999999,1.418
1723539602080000000,2.424
1723539602089999999,2.232
1723539602100000000,2.820
1723539602109999999,2.320
1723539602120000000,3.562
1723539602130000000,4.114
1723539602140000000,2.831
1723539602150000000,4.434
1723539602160000000,4.171
1723539602170000000,4.906
1723539602180000000,5.376
1723539602190000000,4.131
1723539602200000000,4.885
1723539602210000000,5.436
1723539602220000000,6.401
1723539602230000000,6.159
1723539602240000000,6.049
1723539602250000000,6.159
1723539602260000000,6.465
1723539602270000000,7.458
1723539602280000000,7.028
1723539602290000000,7.181
1723539602300000000,6.589
1723539602310000000,8.918
1723539602320000000,9.476
1723539602330000000,10.155
1723539602340000000,9.021
1723539602350000000,9.690
1723539602360000000,9.675
1723539602370000000,10.186
1723539602380000000,10.515
1723539602390000000,10.500
1723539602400000000,10.009
1723539602410000000,10.717
1723539602420000000,11.205
1723539602430000000,10.629
1723539602440000000,12.189
1723539602450000000,11.578
1723539602460000000,12.031
1723539602470000000,12.977
1723539602480000000,12.796
1723539602490000000,13.222
1723539602500000000,13.640
1723539602510000000,13.101
1723539602520000000,13.135
1723539602530000000,14.512
1723539602540000000,15.377
1723539602550000000,15.224
1723539602560000000,15.455
1723539602570000000,14.695
1723539602580000000,16.066
1723539602590000000,16.640
1723539602600000000,17.243
1723539602610000000,15.265
1723539602620000000,15.449
1723539602630000000,18.273
1723539602640000000,17.176
1723539602650000000,16.498
1723539602660000000,17.118
1723539602670000000,17.607
1723539602680000000,17.735
1723539602690000000,18.679
1723539602700000000,19.451
1723539602710000000,18.652
1723539602720000000,18.019
1723539602730000000,19.973
1723539602740000000,19.885
1723539602750000000,20.189
1723539602760000000,19.997
1723539602770000000,20.584
1723539602780000000,20.992
1723539602790000000,21.083
1723539602800000000,21.807
1723539602810000000,21.329
1723539602820000000,22.525
1723539602830000000,22.253
1723539602840000000,23.206
1723539602850000000,23.416
1723539602860000000,23.755
1723539602870000000,23.484
1723539602880000000,24.151
1723539602890000000,24.070
1723539602900000000,24.406
1723539602910000000,24.395
1723539602920000000,24.996
1723539602930000000,25.052
1723539602940000000,25.282
1723539602950000000,25.320
1723539602960000000,26.136
1723539602970000000,25.795
1723539602980000000,27.175
1723539602990000000,27.897
1723539603000000000,28.893
1723539603010000000,28.714
1723539603020000000,28.313
1723539603030000000,29.660
1723539603040000000,31.143
1723539603050000000,29.773
1723539603060000000,28.618
1723539603070000000,29.938
1723539603080000000,30.013
1723539603090000000,29.456
1723539603100000000,31.076
1723539603110000000,30.824
1723539603120000000,29.837
1723539603130000000,30.851
1723539603140000000,29.778
1723539603150000000,29.747
1723539603160000000,29.830
1723539603170000000,30.299
1723539603180000000,30.526
1723539603190000000,30.921
1723539603200000000,30.739
1723539603210000000,30.383
1723539603220000000,31.158
1723539603230000000,30.557
1723539603240000000,30.745
1723539603250000000,30.613
1723539603260000000,30.892
1723539603270000000,30.973
1723539603280000000,31.890
1723539603290000000,31.644
1723539603300000000,30.721
1723539603310000000,30.497
1723539603320000000,30.678
1723539603330000000,31.927
1723539603340000000,30.622
1723539603350000000,29.409
1723539603360000000,30.748
1723539603370000000,31.566
1723539603380000000,31.561
1723539603390000000,30.287
1723539603400000000,31.002
1723539603410000000,30.759
1723539603420000000,30.767
1723539603430000000,31.290
1723539603440000000,30.839
1723539603450000000,31.429
1723539603460000000,31.671
1723539603470000000,31.061
1723539603480000000,30.779
1723539603490000000,31.560
1723539603500000000,31.340
1723539603510000000,32.838
1723539603520000000,32.002
1723539603530000000,33.448
1723539603540000000,31.518
1723539603550000000,32.852
1723539603560000000,32.384
1723539603570000000,32.618
1723539603580000000,31.932
1723539603590000000,32.332
1723539603600000000,31.500
1723539603610000000,32.894
1723539603620000000,33.027
1723539603630000000,31.757
1723539603640000000,31.732
1723539603650000000,32.669
1723539603660000000,32.955
1723539603670000000,32.846
1723539603680000000,32.255
1723539603690000000,33.653
1723539603700000000,32.763
1723539603710000000,32.835
1723539603720000000,34.371
1723539603730000000,34.036
1723539603740000000,32.386
1723539603750000000,33.449
1723539603760000000,32.404
1723539603770000000,33.147
1723539603780000000,32.561
1723539603790000000,33.331
1723539603800000000,33.164
1723539603810000000,34.785
1723539603820000000,33.296
1723539603830000000,33.998
1723539603840000000,33.903
1723539603850000000,34.514
1723539603860000000,34.648
1723539603870000000,35.206
1723539603880000000,34.459
1723539603890000000,34.529
1723539603900000000,35.065
1723539603910000000,34.654
1723539603920000000,33.881
1723539603930000000,35.253
1723539603940000000,34.345
1723539603950000000,34.741
1723539603960000000,35.263
1723539603970000000,35.069
1723539603980000000,35.190
1723539603990000000,36.142
1723539604000000000,34.890
1723539604010000000,36.114
1723539604019999999,34.751
1723539604030000000,34.759
1723539604040000000,35.391
1723539604050000000,35.282
1723539604059999999,36.831
1723539604070000000,35.556
1723539604080000000,36.860
1723539604090000000,35.986
1723539604099999999,36.399
1723539604110000000,36.287
1723539604120000000,37.446
1723539604130000000,36.041
1723539604139999999,36.078
1723539604150000000,37.378
1723539604160000000,37.746
1723539604170000000,37.924
1723539604179999999,36.502
1723539604190000000,37.239
1723539604200000000,38.472
1723539604210000000,36.509
1723539604219999999,38.014
1723539604230000000,37.830
1723539604240000000,37.461
1723539604250000000,38.945
1723539604260000000,36.939
1723539604269999999,37.860
1723539604280000000,39.236
1723539604290000000,37.714
1723539604300000000,38.191
1723539604310000000,39.301
1723539604320000000,40.105
1723539604330000000,38.844
1723539604340000000,38.897
1723539604350000000,39.351
1723539604360000000,39.104
1723539604370000000,39.819
1723539604380000000,40.688
1723539604390000000,40.012
1723539604400000000,40.207
1723539604410000000,39.875
1723539604420000000,40.272
1723539604430000000,40.731
1723539604440000000,40.570
1723539604450000000,40.164
1723539604460000000,40.538
1723539604470000000,41.930
1723539604480000000,41.149
1723539604490000000,41.696
1723539604500000000,42.278
1723539604510000000,41.573
1723539604520000000,41.479
1723539604530000000,42.451
1723539604540000000,42.657
1723539604550000000,42.195
1723539604560000000,43.211
1723539604570000000,42.227
1723539604580000000,43.691
1723539604590000000,42.587
1723539604600000000,42.173
1723539604610000000,42.495
1723539604620000000,42.264
1723539604630000000,43.273
1723539604640000000,43.427
1723539604650000000,42.688
1723539604660000000,45.072
1723539604670000000,43.523
1723539604680000000,44.834
1723539604690000000,44.760
1723539604700000000,45.653
1723539604710000000,45.745
1723539604720000000,45.281
1723539604730000000,45.807
1723539604740000000,45.657
1723539604750000000,45.756
1723539604760000000,46.465
1723539604770000000,45.461
1723539604780000000,45.324
1723539604790000000,46.353
1723539604800000000,46.640
1723539604810000000,46.672
1723539604820000000,47.333
1723539604830000000,46.415
1723539604840000000,47.499
1723539604850000000,46.677
1723539604860000000,48.422
1723539604870000000,47.329
1723539604880000000,47.251
1723539604890000000,47.414
1723539604900000000,47.924
1723539604910000000,48.518
1723539604920000000,49.087
1723539604930000000,48.355
1723539604940000000,50.346
1723539604950000000,49.613
1723539604960000000,48.562
1723539604970000000,49.961
1723539604980000000,50.907
1723539604990000000,49.144
1723539605000000000,49.970
1723539605010000000,50.880
1723539605020000000,50.968
1723539605030000000,50.964
1723539605040000000,51.539
1723539605050000000,51.535
1723539605060000000,52.153
1723539605070000000,51.432
1723539605080000000,51.192
1723539605090000000,50.929
1723539605100000000,52.457
