timestamp_ns,value_K
1723539600000000000,300.07
1723539600010000000,299.63
1723539600020000000,300.13
1723539600030000000,300.04
1723539600040000000,300.28
1723539600050000000,300.15
1723539600060000000,299.97
1723539600070000000,299.76
1723539600080000000,300.06
1723539600090000000,300.27
1723539600100000000,300.05
1723539600110000000,299.90
1723539600120000000,300.29
1723539600130000000,300.30
1723539600140000000,300.09
1723539600150000000,300.27
1723539600160000000,300.57
1723539600170000000,300.10
1723539600180000000,299.87
1723539600190000000,300.30
1723539600200000000,300.06
1723539600210000000,300.56
1723539600220000000,299.93
1723539600230000000,299.97
1723539600240000000,299.91
1723539600250000000,300.33
1723539600260000000,299.50
1723539600270000000,299.96
1723539600280000000,299.82
1723539600290000000,299.86
1723539600300000000,299.99
1723539600310000000,299.97
1723539600320000000,300.36
1723539600330000000,300.36
1723539600340000000,300.33
1723539600350000000,299.99
1723539600360000000,300.53
1723539600370000000,300.06
1723539600380000000,299.50
1723539600390000000,299.68
1723539600400000000,299.94
1723539600410000000,300.38
1723539600420000000,299.86
1723539600430000000,300.13
1723539600440000000,299.70
1723539600450000000,299.93
1723539600460000000,300.00
1723539600470000000,299.94
1723539600480000000,300.23
1723539600490000000,300.22
1723539600500000000,300.25
1723539600510000000,299.67
1723539600520000000,299.93
1723539600530000000,299.82
1723539600540000000,300.17
1723539600550000000,299.89
1723539600560000000,299.89
1723539600570000000,300.16
1723539600580000000,299.76
1723539600590000000,299.52
1723539600600000000,299.95
1723539600610000000,300.16
1723539600620000000,300.40
1723539600630000000,299.52
1723539600640000000,299.40
1723539600650000000,300.28
1723539600660000000,299.88
1723539600670000000,300.30
1723539600680000000,300.07
1723539600690000000,300.22
1723539600700000000,299.87
1723539600710000000,300.08
1723539600720000000,299.87
1723539600730000000,300.27
1723539600740000000,300.26
1723539600750000000,299.71
1723539600760000000,300.05
1723539600770000000,300.05
1723539600780000000,299.87
1723539600790000000,300.39
1723539600800000000,300.08
1723539600810000000,299.78
1723539600820000000,300.06
1723539600830000000,299.79
1723539600840000000,299.59
1723539600850000000,300.44
1723539600860000000,299.66
1723539600870000000,299.89
1723539600880000000,299.98
1723539600890000000,300.14
1723539600900000000,300.26
1723539600910000000,300.15
1723539600920000000,299.63
1723539600930000000,299.64
1723539600940000000,299.93
1723539600950000000,299.86
1723539600960000000,299.96
1723539600970000000,299.63
1723539600980000000,299.89
1723539600990000000,299.74
1723539601000000000,299.63
1723539601010000000,299.97
1723539601020000000,300.14
1723539601030000000,299.83
1723539601040000000,299.75
1723539601050000000,300.00
1723539601060000000,300.27
1723539601070000000,300.24
1723539601080000000,300.08
1723539601090000000,300.08
1723539601100000000,299.78
1723539601110000000,299.52
1723539601120000000,299.92
1723539601130000000,299.88
1723539601140000000,299.74
1723539601150000000,300.08
