timestamp_ns,value_bar
1723798800000000000,3.816
1723798800010000000,3.841
1723798800020000000,3.832
1723798800030000000,3.834
1723798800040000000,3.837
1723798800050000000,3.829
1723798800060000000,3.824
1723798800070000000,3.802
1723798800080000000,3.831
1723798800090000000,3.826
1723798800100000000,3.844
1723798800110000000,3.829
1723798800120000000,3.818
1723798800130000000,3.812
1723798800140000000,3.850
1723798800150000000,3.808
1723798800160000000,3.818
1723798800170000000,3.813
1723798800180000000,3.809
1723798800190000000,3.823
1723798800200000000,3.825
1723798800210000000,3.826
1723798800220000000,3.830
1723798800230000000,3.822
1723798800240000000,3.826
1723798800250000000,3.834
1723798800260000000,3.818
1723798800270000000,3.826
1723798800280000000,3.854
1723798800290000000,3.826
1723798800300000000,3.811
1723798800310000000,3.806
1723798800320000000,3.824
1723798800330000000,3.838
1723798800340000000,3.821
1723798800350000000,3.828
1723798800360000000,3.816
1723798800370000000,3.831
1723798800380000000,3.820
1723798800390000000,3.821
1723798800400000000,3.835
1723798800410000000,3.808
1723798800420000000,3.821
1723798800430000000,3.816
1723798800440000000,3.831
1723798800450000000,3.840
1723798800460000000,3.815
1723798800470000000,3.823
1723798800480000000,3.830
1723798800490000000,3.800
1723798800500000000,3.823
1723798800510000000,3.830
1723798800520000000,3.816
1723798800530000000,3.816
1723798800540000000,3.834
1723798800550000000,3.814
1723798800560000000,3.815
1723798800570000000,3.832
1723798800580000000,3.840
1723798800590000000,3.840
1723798800600000000,3.849
1723798800610000000,3.837
1723798800620000000,3.839
1723798800630000000,3.823
1723798800640000000,3.841
1723798800650000000,3.804
1723798800660000000,3.813
1723798800670000000,3.823
1723798800680000000,3.812
1723798800690000000,3.823
1723798800700000000,3.828
1723798800710000000,3.842
1723798800720000000,3.815
1723798800730000000,3.836
1723798800740000000,3.824
1723798800750000000,3.823
1723798800760000000,3.840
1723798800770000000,3.817
1723798800780000000,3.812
1723798800790000000,3.838
1723798800800000000,3.838
1723798800810000000,3.832
1723798800820000000,3.838
1723798800830000000,3.811
1723798800840000000,3.825
1723798800850000000,3.848
1723798800860000000,3.859
1723798800870000000,3.825
1723798800880000000,3.834
1723798800890000000,3.851
1723798800900000000,3.796
1723798800910000000,3.839
1723798800920000000,3.822
1723798800930000000,3.809
1723798800940000000,3.812
1723798800950000000,3.808
1723798800960000000,3.815
1723798800970000000,3.819
